自動車メーカー,車種,型式,エンジン型式,年式,適合詳細,備考,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,注意事項,定価,送料,SET価格
スバル,BRZ,ZC6,FA20,12/03～,,スプリングの付属はありません。,205936,,310232,264KT090-qq-e-52k,264KT090-qq-e-d-52k,264KT090,A'PEXi,N1エボリューションダンパー スプリングレスキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-20/-22<br>車高調整幅 mm 純正比(F/R):+40～-60/+20～-51<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),278000,0,223500
スバル,BRZ,ZC6,FA20,12/03～,,スプリング及びアッパーマウントの付属はありません。,162060,,310196,264-T090-qq-e-78k,264-T090-qq-e-d-78k,264-T090,A'PEXi,N1エボリューションダンパー ダンパーキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-20/-22<br>車高調整幅 mm 純正比(F/R):+40～-60/+20～-51,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),218000,0,178500
スバル,BRZ,ZC6,FA20,12/03～,,スプリング変更は可能ですが、軽量スプリング使用のためご希望の場合は事前にお問い合わせください。,220560,,310213,264CT090-qq-e-26k,264CT090-qq-e-d-26k,264CT090,A'PEXi,N1エボリューションダンパー フルキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-20/-22<br>車高調整幅 mm 純正比(F/R):+40～-60/+20～-51<br>バネ(F/R):φ65 6インチ 10k/φ65 7インチ 8K<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),298000,0,238500
スバル,インプレッサ,GDA/GDB,EJ20,GDA:00/08～07/06<br>GDB:00/08～04/05,,スプリングの付属はありません。,227873,,310237,265KF010-qq-e-50k,265KF010-qq-e-d-50k,265KF010,A'PEXi,N1エボリューションダンパー スプリングレスキット,タイプ(F/R):倒立単筒/倒立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-45/-20<br>車高調整幅 mm 純正比(F/R):-45～-75/-15～-115<br>キャンバー調整(F/R):調整式/調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),308000,0,249000
スバル,インプレッサ,GDA/GDB,EJ20,GDA:00/08～07/06<br>GDB:00/08～04/05,,スプリング及びアッパーマウントの付属はありません。,176685,,310233,265-F010-qq-e-76k,265-F010-qq-e-d-76k,265-F010,A'PEXi,N1エボリューションダンパー ダンパーキット,タイプ(F/R):倒立単筒/倒立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-45/-20<br>車高調整幅 mm 純正比(F/R):-45～-75/-15～-115,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),238000,0,196500
スバル,インプレッサ,GDA/GDB,EJ20,GDA:00/08～07/06<br>GDB:00/08～04/05,,スプリング変更は可能ですが、軽量スプリング使用のためご希望の場合は事前にお問い合わせください。,242499,,310235,265AF010-qq-e-24k,265AF010-qq-e-d-24k,265AF010,A'PEXi,N1エボリューションダンパー フルキット,タイプ(F/R):倒立単筒/倒立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-45/-20<br>車高調整幅 mm 純正比(F/R):-45～-75/-15～-115<br>バネ(F/R):φ65 9インチ 14k/φ65 8インチ 14k<br>キャンバー調整(F/R):調整式/調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),328000,0,264000
スバル,インプレッサ,GVB,EJ20,10/07～14/08,,車高未確認<br>スプリングの付属はありません。,213248,,310215,264KF021-qq-e-51k,264KF021-qq-e-d-51k,264KF021,A'PEXi,N1エボリューションダンパー スプリングレスキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),288000,0,234000
スバル,インプレッサ,GVB,EJ20,10/07～14/08,,車高未確認<br>スプリング及びアッパーマウントの付属はありません。,169372,,310179,264-F021-qq-e-77k,264-F021-qq-e-d-77k,264-F021,A'PEXi,N1エボリューションダンパー ダンパーキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),228000,0,189000
スバル,インプレッサ,GVB,EJ20,10/07～14/08,,車高未確認<br>スプリング変更は可能ですが、軽量スプリング使用のためご希望の場合は事前にお問い合わせください。,227873,,310197,264CF021-qq-e-25k,264CF021-qq-e-d-25k,264CF021,A'PEXi,N1エボリューションダンパー フルキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>バネ(F/R):φ65 7インチ 9k/φ65 9インチ 7k<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),308000,0,249000
トヨタ,86,ZN6,FA20,12/04～,,スプリングの付属はありません。,205936,,310231,264KT090-qq-e-30k,264KT090-qq-e-d-30k,264KT090,A'PEXi,N1エボリューションダンパー スプリングレスキット,タイプ(F/R):倒立単筒/正立単筒<br>ピストン径:φ46<br>出荷時車高 mm 純正比(F/R):-13/-15<br>車高調整幅 mm 純正比(F/R):+40～-70/+15～-65<br>キャンバー調整(F/R):調整式/非調整式,各数値は目安となります。<br>車高調整幅はアジャストケースによる車高調整可能範囲となります。(タイヤとフェンダー・アーム類・ドライブシャフトブーツの干渉は考慮されていません。),278000,0,223500
