自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
スズキ,Keiスポーツ,HN22S,2000/10～2003/9,,Fr：調整式ピロボール<br>Rr：固定式強化ラバー,227563,,211516,3AAA-SZ5-A1-00-qq-e-98,3AAA-SZ5-A1-00-qq-e-d-98,3AAA.SZ5.A1.00,Aragosta,全長調整式車高調,C,調整式ピロボール|固定式強化ラバー,180/5|150/3,30|30,+15/-25|+30/-5,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,290000,232500,受注生産　2～3週間程度
スズキ,アルトワークス,HA11S,1994/11～1998/10,,Fr：調整式ピロボール<br>Rr：固定式強化ラバー,227563,,212887,3AAA-SZ4-A1-00-qq-e-99,3AAA-SZ4-A1-00-qq-e-d-99,3AAA.SZ4.A1.00,Aragosta,全長調整式車高調,C,調整式ピロボール|固定式強化ラバー,200/6|(5),30|30,+30/-20|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/ショック・スプリング別置き、別体式,社外製リアスプリング使用,290000,232500,受注生産　2～3週間程度
スズキ,アルトワークス,HA36S,2015/12～,,Fr：純正流用<br>Rr：純正流用,196539,,211518,3AAA-SZ9-A1-R0-qq-e-2,3AAA-SZ9-A1-R0-qq-e-d-2,3AAA.SZ9.A1.R0,Aragosta,全長調整式車高調,C,純正流用|純正流用,150/6|(2-5),45|40,+30/-20|+35/-0,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/ショック・スプリング別置き、別体式,,250000,202500,受注生産　2～3週間程度
スズキ,アルトワークス,HA36S,2015/12～,,Fr：固定式ピロボール<br>Rr：純正流用,227563,,212532,3AAA-SZ9-A1-00-qq-e-1,3AAA-SZ9-A1-00-qq-e-d-1,3AAA.SZ9.A1.00,Aragosta,全長調整式車高調,C,固定式ピロボール|純正流用,150/7|(3-5),45|40,+30/-20|+35/-0,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/ショック・スプリング別置き、別体式,,290000,232500,受注生産　2～3週間程度
スズキ,スイフト,HT81S,2000/2～2005/5,,Fr：調整式ピロボール<br>Rr：上下ラバーブッシュ,212051,,212885,3AAA-SZ2-A1-00-qq-e-4,3AAA-SZ2-A1-00-qq-e-d-4,3AAA.SZ2.A1.00,Aragosta,全長調整式車高調,C,調整式ピロボール|上下ラバーブッシュ,200/6|(5-6),,,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/ショック・スプリング別置き、別体式,社外製リアスプリング使用,270000,217500,受注生産　2～3週間程度
スズキ,スイフトスポーツ,ZC31,2005.9～2010.9,,Fr：固定式ピロボール<br>Rr：純正流用,414834,,211514,3AAA-SZ3-A1-00-2CUP-qq-e-370,出さない,3AAA.SZ3.A1.00,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,C,固定式ピロボール|純正流用,200/8|200/3,30|40,+30/-30|+30/-35,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,510000,出さない,受注生産　1ヶ月程度
スズキ,スイフトスポーツ,ZC31,2005/9～2010/9,,Fr：純正流用<br>Rr：純正流用,196539,,211515,3AAA-SZ3-A1-R0-qq-e-6,3AAA-SZ3-A1-R0-qq-e-d-6,3AAA.SZ3.A1.R0,Aragosta,全長調整式車高調,C,純正流用|純正流用,200/8|200/3,30|40,+30/-30|+30/-35,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,250000,202500,受注生産　2～3週間程度
スズキ,スイフトスポーツ,ZC31,2005/9～2010/9,,Fr：固定式ピロボール<br>Rr：純正流用,227563,,212886,3AAA-SZ3-A1-00-qq-e-5,3AAA-SZ3-A1-00-qq-e-d-5,3AAA.SZ3.A1.00,Aragosta,全長調整式車高調,C,固定式ピロボール|純正流用,200/8|200/3,30|40,+30/-30|+30/-35,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,290000,232500,受注生産　2～3週間程度
スズキ,スイフトスポーツ,ZC32,2011.12～2016.12,,Fr：固定式ピロボール<br>Rr：純正流用,414834,,212531,3AAA-SZ6-A1-00-2CUP-qq-e-371,出さない,3AAA.SZ6.A1.00,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,C,固定式ピロボール|純正流用,175/8|175/6,40|30,+30/-40|+40/-8,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,510000,出さない,受注生産　1ヶ月程度
スズキ,スイフトスポーツ,ZC32,2011/12～2016/12,,Fr：純正流用<br>Rr：純正流用,196539,,211517,3AAA-SZ6-A1-R0-qq-e-8,3AAA-SZ6-A1-R0-qq-e-d-8,3AAA.SZ6.A1.R0,Aragosta,全長調整式車高調,C,純正流用|純正流用,175/8|175/6,40|30,+30/-40|+40/-8,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,250000,202500,受注生産　2～3週間程度
