自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
ALFAROMEO,145/146,930,1996～2000.12,TS,Fr：調整式ピロボール<br>Rr：上下ラバーブッシュ,406700,,212927,60AR-04-A1-111-2CUP-qq-e-100,出さない,60AR.04.A1.111,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,E,調整式ピロボール|上下ラバーブッシュ,200/6|(4.2),582|613,+20/-30|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/ショック・スプリング別置き、別体式,ダウン量は地上～フェンダーアーチ中央が目安,500000,出さない,受注生産　1ヶ月程度
ALFAROMEO,145/146,930/TS,1996～2000/12,,Fr：調整式ピロボール<br>Rr：上下ラバーブッシュ,219807,,211573,60AR-04-A1-111-qq-e-66,出さない,60AR.04.A1.111,Aragosta,全長調整式車高調,E,調整式ピロボール|上下ラバーブッシュ,200/6|(4.2),582|613,+20/-30|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/ショック・スプリング別置き、別体式,ダウン量は地上～フェンダーアーチ中央が目安,280000,出さない,受注生産　2～3週間程度
ALFAROMEO,145/146,930/TS,1996～2000/12,,Fr：純正流用<br>Rr：上下ラバーブッシュ,196539,,212594,60AR-04-A1-000-qq-e-64,出さない,60AR.04.A1.000,Aragosta,全長調整式車高調,E,純正流用|上下ラバーブッシュ,200/6|(4.2),582|613,+25/-50|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/ショック・スプリング別置き、別体式,ダウン量は地上～フェンダーアーチ中央が目安,250000,出さない,受注生産　2～3週間程度
ALFAROMEO,147,937,2000.11～2010.6,TS,Fr：固定式ピロボール<br>Rr：純正流用,406700,,211567,60AR-01-A1-111-2CUP-qq-e-90,出さない,60AR.01.A1.111,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,E,固定式ピロボール|純正流用,200/8|200/3,20|20,+30/-10|+30/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,,500000,出さない,受注生産　1ヶ月程度
ALFAROMEO,147,937,2000.11～2010.6,V6-GTA,Fr：固定式ピロボール<br>Rr：純正流用,406700,,212269,60AR-01-B1-111-2CUP-qq-e-53,出さない,60AR.01.B1.111,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,E,固定式ピロボール|純正流用,200/9|200/3,20|20,+30/-10|+30/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,,500000,出さない,受注生産　1ヶ月程度
ALFAROMEO,147,937/TS,2000/11～2010/6,,Fr：純正流用<br>Rr：純正流用,204295,,211566,60AR-01-A1-000-qq-e-56,60AR-01-A1-000-qq-e-d-56,60AR.01.A1.000,Aragosta,全長調整式車高調,E,純正流用|純正流用,200/8|200/3,20|20,+30/-10|+30/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,,260000,230000,受注生産　2～3週間程度
ALFAROMEO,147,937/TS,2000/11～2010/6,,Fr：固定式ピロボール<br>Rr：純正流用,227563,,211568,60AR-01-A1-111-qq-e-55,60AR-01-A1-111-qq-e-d-55,60AR.01.A1.111,Aragosta,全長調整式車高調,E,固定式ピロボール|純正流用,200/8|200/3,20|20,+30/-10|+30/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,,290000,252500,受注生産　2～3週間程度
ALFAROMEO,147,937/V6-GTA,2000/11～2010/6,,Fr：純正流用<br>Rr：純正流用,204295,,212593,60AR-01-B1-000-qq-e-58,60AR-01-B1-000-qq-e-d-58,60AR.01.B1.000,Aragosta,全長調整式車高調,E,純正流用|純正流用,200/9|200/3,20|20,+30/-10|+30/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,,260000,230000,受注生産　2～3週間程度
ALFAROMEO,147,937/V6-GTA,2000/11～2010/6,,Fr：固定式ピロボール<br>Rr：純正流用,227563,,212924,60AR-01-B1-111-qq-e-59,60AR-01-B1-111-qq-e-d-59,60AR.01.B1.111,Aragosta,全長調整式車高調,E,固定式ピロボール|純正流用,200/9|200/3,20|20,+30/-10|+30/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,,290000,252500,受注生産　2～3週間程度
ALFAROMEO,155,167,1992～1997.9,Q4,Fr：調整式ピロボール<br>Rr：上下ラバーブッシュ,406700,,211935,60AR-04-C1-111-2CUP-qq-e-123,出さない,60AR.04.C1.111,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,E,調整式ピロボール|上下ラバーブッシュ,200/7|(4.2),35|30,+30/-30|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/ショック・スプリング別置き、別体式,,500000,出さない,受注生産　1ヶ月程度
