自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
BMW,5シリーズ,F10,2010.3～,523i/528i/535i 電子制御ダンパー無し,Fr：固定式ピロボール<br>Rr：固定式ピロボール,561246,,211652,3AA-BMG-A1-000-2CUP-qq-e-79,出さない,3AA.BMG.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,225/11+4|250/7+4,25|27,+30/-35|+35/-27,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,690000,出さない,受注生産　1ヶ月程度
BMW,5シリーズ,F10,2010.3～,523i/528i/535i 電子制御ダンパー無し,Fr：固定式ピロボール<br>Rr：固定式ピロボール,626318,,212009,3AA-BMG-A1-000-4CUP-qq-e-148,出さない,3AA.BMG.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,225/11+4|250/7+4,25|27,+30/-35|+35/-27,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,770000,出さない,受注生産　1ヶ月程度
BMW,5シリーズ,F10/523i/528i/535i,2010/3～,電子制御ダンパー無し,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,285731,,211653,3AA-BMG-A1-R00-qq-e-20,3AA-BMG-A1-R00-qq-e-d-20,3AA.BMG.A1.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,225/11+4|250/7+4,25|27,+30/-45|+53/-22,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,365000,308800,受注生産　2～3週間程度
BMW,5シリーズ,F10/523i/528i/535i,2010/3～,電子制御ダンパー無し,Fr：固定式ピロボール<br>Rr：固定式ピロボール,297365,,212335,3AA-BMG-A1-000-qq-e-18,3AA-BMG-A1-000-qq-e-d-18,3AA.BMG.A1.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,225/11+4|250/7+4,25|27,+30/-35|+35/-27,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,380000,320000,受注生産　2～3週間程度
BMW,6シリーズ,F06,2012.6～,640i 電子制御ダンパー無し,Fr：固定式ピロボール<br>Rr：固定式ピロボール,496174,,211654,3AA-BMI-A1-000-2CUP-qq-e-82,出さない,3AA.BMI.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,250/9|250/7,30|30,+30/-35|+30/-40,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,610000,出さない,受注生産　1ヶ月程度
BMW,6シリーズ,F06,2012.6～,640i 電子制御ダンパー無し,Fr：固定式ピロボール<br>Rr：固定式ピロボール,642586,,212011,3AA-BMI-A1-000-4CUP-qq-e-147,出さない,3AA.BMI.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,250/9|250/7,30|30,+30/-35|+30/-40,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,790000,出さない,受注生産　1ヶ月程度
BMW,6シリーズ,F06/640i,2012/6～,電子制御ダンパー無し,Fr：固定式ピロボール<br>Rr：固定式ピロボール,312876,,211292,3AA-BMI-A1-000-qq-e-22,3AA-BMI-A1-000-qq-e-d-22,3AA.BMI.A1.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,250/9|250/7,30|30,+30/-35|+30/-40,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,400000,335000,受注生産　2～3週間程度
BMW,6シリーズ,F06/640i,2012/6～,電子制御ダンパー無し,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,301243,,211655,3AA-BMI-A1-R00-qq-e-23,3AA-BMI-A1-R00-qq-e-d-23,3AA.BMI.A1.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,250/9|250/7,30|30,+30/-45|+30/-50,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,385000,323800,受注生産　2～3週間程度
MERCEDESBENZ,Eクラス,W210/E60,1995/6～2002/3,,Fr：純正流用<br>Rr：純正流用,281853,,211308,3AA-MB7-A1-000-qq-e-80,出さない,3AA.MB7.A1.000,Aragosta,全長調整式車高調,P,純正流用|純正流用,175/18|225/14,30|35,+50/-30|+60/-15,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/ショック・スプリング別置き、別体式,リアスプリングレート変更不可,360000,出さない,受注生産　2～3週間程度
トヨタ,2000GT,MF10,,,Fr：純正流用<br>Rr：純正流用,196539,,211849,3AAA-PL-A1-000-qq-e-16,出さない,3AAA.PL.A1.000,Aragosta,全長調整式車高調,P,純正流用|純正流用,200/6|250/6,,,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,特注対応車種,250000,出さない,受注生産　2～3週間程度
トヨタ,クラウン/クラウンアスリート,GRS180/GRS182/GRS184,2003.12～2008.2,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,431102,,212553,3AAA-TE-A1-000-2CUP-qq-e-156,出さない,3AAA.TE.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,250/10|250/8,30|30,+40/-28|+40/-18,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
トヨタ,クラウン/クラウンアスリート,GRS180/GRS182/GRS184,2003.12～2008.2,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,577514,,212554,3AAA-TE-A1-000-4CUP-qq-e-566,出さない,3AAA.TE.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,250/10|250/8,30|30,+40/-28|+40/-18,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,710000,出さない,受注生産　1ヶ月程度
トヨタ,クラウン/クラウンアスリート,GRS180/GRS182/GRS184,2003/12～2008/2,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,239197,,211904,3AAA-TE-A1-R00-qq-e-69,3AAA-TE-A1-R00-qq-e-d-69,3AAA.TE.A1.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,250/10|250/8,30|30,+40/-25|+40/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,305000,243800,受注生産　2～3週間程度
トヨタ,クラウン/クラウンアスリート,GRS180/GRS182/GRS184,2003/12～2008/2,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,250831,,212247,3AAA-TE-A1-000-qq-e-66,3AAA-TE-A1-000-qq-e-d-66,3AAA.TE.A1.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,250/10|250/8,30|30,+40/-28|+40/-18,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,320000,255000,受注生産　2～3週間程度
