自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
ALFAROMEO,145/146,930,1996～2000.12,TS,Fr：調整式ピロボール<br>Rr：固定式ピロボール,431102,,212311,3AA-AR1-A1-000-2CUP-qq-e-80,出さない,3AA.AR1.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,調整式ピロボール|固定式ピロボール,200/8|(4.2),582|613,+10/-10|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,ダウン量は地上～フェンダーアーチ中央が目安,530000,出さない,受注生産　1ヶ月程度
ALFAROMEO,145/146,930/TS,1996～2000/12,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,243075,,211619,3AA-AR1-A1-000-qq-e-65,出さない,3AA.AR1.A1.000,Aragosta,全長調整式車高調,S,調整式ピロボール|固定式ピロボール,200/8|(4.2),582|613,+10/-10|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,ダウン量は地上～フェンダーアーチ中央が目安,310000,出さない,受注生産　2～3週間程度
ALFAROMEO,147,937,2000.11～2010.6,TS,Fr：固定式ピロボール<br>Rr：純正流用,431102,,211620,3AA-AR3-A1-000-2CUP-qq-e-41,出さない,3AA.AR3.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|純正流用,150/12|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
ALFAROMEO,147,937,2000.11～2010.6,TS,Fr：固定式ピロボール<br>Rr：固定式ピロボール,455504,,211621,3AA-AR3-A1-111-2CUP-qq-e-86,出さない,3AA.AR3.A1.111,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|固定式ピロボール,150/12|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,560000,出さない,受注生産　1ヶ月程度
ALFAROMEO,147,937,2000.11～2010.6,V6-GTA,Fr：固定式ピロボール<br>Rr：純正流用,431102,,211980,3AA-AR3-B1-000-2CUP-qq-e-50,出さない,3AA.AR3.B1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|純正流用,150/13|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
ALFAROMEO,147,937,2000.11～2010.6,V6-GTA,Fr：固定式ピロボール<br>Rr：固定式ピロボール,455504,,212965,3AA-AR3-B1-111-2CUP-qq-e-97,出さない,3AA.AR3.B1.111,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|固定式ピロボール,150/13|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,560000,出さない,受注生産　1ヶ月程度
ALFAROMEO,147,937/TS,2000/11～2010/6,,Fr：固定式ピロボール<br>Rr：純正流用,250831,,211979,3AA-AR3-A1-000-qq-e-53,3AA-AR3-A1-000-qq-e-d-53,3AA.AR3.A1.000,Aragosta,全長調整式車高調,S,固定式ピロボール|純正流用,150/12|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,320000,275000,受注生産　2～3週間程度
ALFAROMEO,147,937/TS,2000/11～2010/6,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,274098,,212312,3AA-AR3-A1-111-qq-e-54,3AA-AR3-A1-111-qq-e-d-54,3AA.AR3.A1.111,Aragosta,全長調整式車高調,S,固定式ピロボール|固定式ピロボール,150/12|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,350000,297500,受注生産　2～3週間程度
ALFAROMEO,147,937/V6-GTA,2000/11～2010/6,,Fr：固定式ピロボール<br>Rr：純正流用,250831,,211622,3AA-AR3-B1-000-qq-e-60,3AA-AR3-B1-000-qq-e-d-60,3AA.AR3.B1.000,Aragosta,全長調整式車高調,S,固定式ピロボール|純正流用,150/13|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,320000,275000,受注生産　2～3週間程度
ALFAROMEO,147,937/V6-GTA,2000/11～2010/6,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,274098,,211981,3AA-AR3-B1-111-qq-e-57,3AA-AR3-B1-111-qq-e-d-57,3AA.AR3.B1.111,Aragosta,全長調整式車高調,S,固定式ピロボール|固定式ピロボール,150/13|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,350000,297500,受注生産　2～3週間程度
ALFAROMEO,155,167,1992～1997.9,Q4,Fr：調整式ピロボール<br>Rr：固定式ピロボール,431102,,211268,3AA-AR1-C1-000-2CUP-qq-e-118,出さない,3AA.AR1.C1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,調整式ピロボール|固定式ピロボール,200/9|(4.2),35|30,+40/-20|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,530000,出さない,受注生産　1ヶ月程度
ALFAROMEO,155,167,1992～1997.9,TS,Fr：調整式ピロボール<br>Rr：固定式ピロボール,431102,,212310,3AA-AR1-A1-000-2CUP-qq-e-56,出さない,3AA.AR1.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,調整式ピロボール|固定式ピロボール,200/8|(4.2),582|613,+10/-10|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,ダウン量は地上～フェンダーアーチ中央が目安,530000,出さない,受注生産　1ヶ月程度
ALFAROMEO,155,167,1992～1997.9,V6,Fr：調整式ピロボール<br>Rr：固定式ピロボール,431102,,211267,3AA-AR1-B1-000-2CUP-qq-e-112,出さない,3AA.AR1.B1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,調整式ピロボール|固定式ピロボール,200/9|(4.2),35|30,+40/-15|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,530000,出さない,受注生産　1ヶ月程度
ALFAROMEO,155,167/Q4,1992～1997/9,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,243075,,211975,3AA-AR1-C1-000-qq-e-55,出さない,3AA.AR1.C1.000,Aragosta,全長調整式車高調,S,調整式ピロボール|固定式ピロボール,200/9|(4.2),35|30,+40/-20|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,310000,出さない,受注生産　2～3週間程度
ALFAROMEO,155,167/TS,1992～1997/9,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,243075,,212636,3AA-AR1-A1-000-qq-e-58,出さない,3AA.AR1.A1.000,Aragosta,全長調整式車高調,S,調整式ピロボール|固定式ピロボール,200/8|(4.2),582|613,+10/-10|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,ダウン量は地上～フェンダーアーチ中央が目安,310000,出さない,受注生産　2～3週間程度
ALFAROMEO,155,167/V6,1992～1997/9,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,243075,,212637,3AA-AR1-B1-000-qq-e-62,出さない,3AA.AR1.B1.000,Aragosta,全長調整式車高調,S,調整式ピロボール|固定式ピロボール,200/9|(4.2),35|30,+40/-15|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,310000,出さない,受注生産　2～3週間程度
ALFAROMEO,156 セダン/ワゴン,932,1997.10～2006.5,2.5V6/GTA,Fr：固定式ピロボール<br>Rr：純正流用,431102,,211624,3AA-AR4-B1-000-2CUP-qq-e-101,出さない,3AA.AR4.B1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|純正流用,150/13|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
ALFAROMEO,156 セダン/ワゴン,932,1997.10～2006.5,2.5V6/GTA,Fr：固定式ピロボール<br>Rr：固定式ピロボール,455504,,211983,3AA-AR4-B1-111-2CUP-qq-e-102,出さない,3AA.AR4.B1.111,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|固定式ピロボール,150/13|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,560000,出さない,受注生産　1ヶ月程度
ALFAROMEO,156 セダン/ワゴン,932,1997.10～2006.5,TS,Fr：固定式ピロボール<br>Rr：固定式ピロボール,455504,,211623,3AA-AR4-A1-111-2CUP-qq-e-98,出さない,3AA.AR4.A1.111,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|固定式ピロボール,150/12|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,560000,出さない,受注生産　1ヶ月程度
ALFAROMEO,156 セダン/ワゴン,932,1997.10～2006.5,TS,Fr：固定式ピロボール<br>Rr：純正流用,431102,,212313,3AA-AR4-A1-000-2CUP-qq-e-54,出さない,3AA.AR4.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|純正流用,150/12|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
ALFAROMEO,156セダン/ワゴン,932/2.5V6、GTA,1997/10～2006/5,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,274098,,212314,3AA-AR4-B1-111-qq-e-62,3AA-AR4-B1-111-qq-e-d-62,3AA.AR4.B1.111,Aragosta,全長調整式車高調,S,固定式ピロボール|固定式ピロボール,150/13|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,350000,297500,受注生産　2～3週間程度
ALFAROMEO,156セダン/ワゴン,932/2.5V6、GTA,1997/10～2006/5,,Fr：固定式ピロボール<br>Rr：純正流用,250831,,212639,3AA-AR4-B1-000-qq-e-61,3AA-AR4-B1-000-qq-e-d-61,3AA.AR4.B1.000,Aragosta,全長調整式車高調,S,固定式ピロボール|純正流用,150/13|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,320000,275000,受注生産　2～3週間程度
ALFAROMEO,156セダン/ワゴン,932/TS,1997/10～2006/5,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,274098,,211982,3AA-AR4-A1-111-qq-e-67,3AA-AR4-A1-111-qq-e-d-67,3AA.AR4.A1.111,Aragosta,全長調整式車高調,S,固定式ピロボール|固定式ピロボール,150/12|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,350000,297500,受注生産　2～3週間程度
ALFAROMEO,156セダン/ワゴン,932/TS,1997/10～2006/5,,Fr：固定式ピロボール<br>Rr：純正流用,250831,,212638,3AA-AR4-A1-000-qq-e-65,3AA-AR4-A1-000-qq-e-d-65,3AA.AR4.A1.000,Aragosta,全長調整式車高調,S,固定式ピロボール|純正流用,150/12|200/7,30|30,+50/-11|+45/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,320000,275000,受注生産　2～3週間程度
ALFAROMEO,159 セダン/ワゴン,939,2006.4～2013.1,2.2JTS,Fr：固定式ピロボール<br>Rr：固定式ピロボール,439236,,211628,3AA-ARD-A1-000-2CUP-qq-e-104,出さない,3AA.ARD.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|固定式ピロボール,200/18/|200/10,40|35,+15/-32|+20/-53,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,540000,出さない,受注生産　1ヶ月程度
ALFAROMEO,159セダン/ワゴン,939/2.2JTS,2006/4～2013/1,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,258586,,211272,3AA-ARD-A1-000-qq-e-69,3AA-ARD-A1-000-qq-e-d-69,3AA.ARD.A1.000,Aragosta,全長調整式車高調,S,固定式ピロボール|固定式ピロボール,200/18/|200/10,40|35,+15/-32|+20/-53,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,330000,282500,受注生産　2～3週間程度
ALFAROMEO,4C/4Cスパイダー,960,2014/7～,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,351656,,212646,3AA-ARA-A1-000-qq-e-67,出さない,3AA.ARA.A1.000,Aragosta,全長調整式車高調,S,固定式ピロボール|固定式ピロボール,200/18|175/12,20|20,,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,450000,出さない,受注生産　2～3週間程度
ALFAROMEO,8Cコンペティツィオーネ,920,2011/7～,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,328389,,212317,3AA-ARA-A1-000-qq-e-68,出さない,3AA.ARA.A1.000,Aragosta,全長調整式車高調,S,固定式ピロボール|固定式ピロボール,200/18|175/12,20|20,,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,キャンセラー無し,420000,出さない,受注生産　2～3週間程度
ALFAROMEO,GT,937,2004～2011.1,TS,Fr：固定式ピロボール<br>Rr：固定式ピロボール,455504,,211625,3AA-AR9-A1-111-2CUP-qq-e-134,出さない,3AA.AR9.A1.111,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|固定式ピロボール,175/12|200/7,25|30,+40/-21|+40/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,560000,出さない,受注生産　1ヶ月程度
ALFAROMEO,GT,937,2004～2011.1,TS,Fr：固定式ピロボール<br>Rr：純正流用,431102,,212643,3AA-AR9-A1-000-2CUP-qq-e-108,出さない,3AA.AR9.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|純正流用,175/12|200/7,25|30,+40/-21|+40/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
ALFAROMEO,GT,937,2004～2011.1,V6,Fr：固定式ピロボール<br>Rr：固定式ピロボール,455504,,211270,3AA-AR9-B1-111-2CUP-qq-e-17,出さない,3AA.AR9.B1.111,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|固定式ピロボール,175/13|2007/,25|30,+40/-21|+40/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,560000,出さない,受注生産　1ヶ月程度
ALFAROMEO,GT,937,2004～2011.1,V6,Fr：固定式ピロボール<br>Rr：純正流用,431102,,211985,3AA-AR9-B1-000-2CUP-qq-e-135,出さない,3AA.AR9.B1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,S,固定式ピロボール|純正流用,175/13|2007/,25|30,+40/-21|+40/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
ALFAROMEO,GT,937/TS,2004～2011/1,,Fr：固定式ピロボール<br>Rr：純正流用,250831,,212315,3AA-AR9-A1-000-qq-e-69,出さない,3AA.AR9.A1.000,Aragosta,全長調整式車高調,S,固定式ピロボール|純正流用,175/12|200/7,25|30,+40/-21|+40/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,320000,出さない,受注生産　2～3週間程度
ALFAROMEO,GT,937/TS,2004～2011/1,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,274098,,212316,3AA-AR9-A1-111-qq-e-70,出さない,3AA.AR9.A1.111,Aragosta,全長調整式車高調,S,固定式ピロボール|固定式ピロボール,175/12|200/7,25|30,+40/-21|+40/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,350000,出さない,受注生産　2～3週間程度
ALFAROMEO,GT,937/TS,2004～2011/1,,Fr：固定式強化ラバー<br>Rr：純正流用,243075,,212644,3AA-AR9-A1-R00-qq-e-71,出さない,3AA.AR9.A1.R00,Aragosta,全長調整式車高調,S,固定式強化ラバー|純正流用,175/12|200/7,25|30,+40/-21|+30/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,310000,出さない,受注生産　2～3週間程度
ALFAROMEO,GT,937/V6,2004～2011/1,,Fr：固定式ピロボール<br>Rr：純正流用,250831,,211626,3AA-AR9-B1-000-qq-e-76,出さない,3AA.AR9.B1.000,Aragosta,全長調整式車高調,S,固定式ピロボール|純正流用,175/13|2007/,25|30,+40/-21|+40/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,320000,出さない,受注生産　2～3週間程度
ALFAROMEO,GT,937/V6,2004～2011/1,,Fr：固定式強化ラバー<br>Rr：純正流用,243075,,211986,3AA-AR9-B1-R00-qq-e-77,出さない,3AA.AR9.B1.R00,Aragosta,全長調整式車高調,S,固定式強化ラバー|純正流用,175/13|2007/,25|30,+40/-21|+30/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,,310000,出さない,受注生産　2～3週間程度
