自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
BMW,3シリーズ,E36,1990.5～1998.2,318i,Fr：調整式ピロボール<br>Rr：固定式ピロボール,642586,,211635,3AA-BM1-S1-000-2CUP-qq-e-113,出さない,3AA.BM1.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,10～16|10～20,35|30,+10/-10|+10/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,790000,出さない,受注生産　1ヶ月程度
BMW,3シリーズ,E36/318i,1990/5～1998/2,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,444725,,212967,3AA-BM1-S1-000-qq-e-89,3AA-BM1-S1-000-qq-e-d-89,3AA.BM1.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,10～16|10～20,35|30,+10/-10|+10/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,570000,462500,受注生産　2～3週間程度
BMW,3シリーズ,E46,2001.10～2005.4,M3,Fr：調整式ピロボール<br>Rr：固定式ピロボール,650720,,212652,3AA-BM3-C1-S00-2CUP-qq-e-119,出さない,3AA.BM3.C1.S00,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,10～20|12～24,30|35,+10/-10|+10/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,800000,出さない,受注生産　1ヶ月程度
BMW,3シリーズ,E46/M3,2001/10～2005/4,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,452481,,211639,3AA-BM3-C1-S00-qq-e-11,3AA-BM3-C1-S00-qq-e-d-11,3AA.BM3.C1.S00,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,10～20|12～24,30|35,+10/-10|+10/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,580000,470000,受注生産　2～3週間程度
BMW,3シリーズ,E90/E91/E92,2005.4～2011.12,320i/323i/325i/330i,Fr：調整式ピロボール<br>Rr：純正流用,658854,,211999,3AA-BM8-A1-S00-2CUP-qq-e-141,出さない,3AA.BM8.A1.S00,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|純正流用,10～16|10～20,15|20,+10/-10|+10/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,810000,出さない,受注生産　1ヶ月程度
BMW,3シリーズ,E90/E91/E92/320i/323i/325i/330i,2005/4～2011/12,,Fr：調整式ピロボール<br>Rr：純正流用,460237,,212657,3AA-BM8-A1-S00-qq-e-43,出さない,3AA.BM8.A1.S00,Aragosta,全長調整式車高調,SS,調整式ピロボール|純正流用,10～16|10～20,15|20,+10/-10|+10/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,590000,出さない,受注生産　2～3週間程度
BMW,3シリーズ,E90/E91/E92/E93,2005.4～2011.12,335i,Fr：調整式ピロボール<br>Rr：純正流用,658854,,212001,3AA-BM8-B1-S00-2CUP-qq-e-31,出さない,3AA.BM8.B1.S00,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|純正流用,10～16|10～20,10|10,+10/-10|+10/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,810000,出さない,受注生産　1ヶ月程度
BMW,3シリーズ,E90/E91/E92/E93/335i,2005/4～2011/12,,Fr：調整式ピロボール<br>Rr：純正流用,460237,,211644,3AA-BM8-B1-S00-qq-e-38,出さない,3AA.BM8.B1.S00,Aragosta,全長調整式車高調,SS,調整式ピロボール|純正流用,10～16|10～20,10|10,+10/-10|+10/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,590000,出さない,受注生産　2～3週間程度
BMW,3シリーズ,E90/E92,2007.9～2012.1,M3 電子制御ダンパー無し,Fr：調整式ピロボール<br>Rr：純正流用,675122,,211645,3AA-BM8-C1-S00-2CUP-qq-e-143,出さない,3AA.BM8.C1.S00,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|純正流用,10～20|12～24,20|20,+10/-10|+10/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,830000,出さない,受注生産　1ヶ月程度
BMW,3シリーズ,E90/E92/M3,2007/9～2012/1,電子制御ダンパー無し,Fr：調整式ピロボール<br>Rr：純正流用,475748,,211646,3AA-BM8-C1-S00-qq-e-47,出さない,3AA.BM8.C1.S00,Aragosta,全長調整式車高調,SS,調整式ピロボール|純正流用,10～20|12～24,20|20,+10/-10|+10/-10,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,610000,出さない,受注生産　2～3週間程度
BMW,3シリーズ,F80,2014.7～,M3 電子制御ダンパー無し,Fr：調整式ピロボール<br>Rr：固定式ピロボール,740194,,211294,3AA-BMM-S1-000-2CUP-qq-e-34,出さない,3AA.BMM.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,調整式ピロボール|固定式ピロボール,10～20|15～26,25|30,+30/-24|+45/-8,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,withアラゴスタカップ 2CUPはリモコンKIT付き<br>年式要確認,910000,出さない,受注生産　1ヶ月程度
BMW,3シリーズ,F80/M3,2014/7～,電子制御ダンパー無し,Fr：調整式ピロボール<br>Rr：固定式ピロボール,499016,,212671,3AA-BMM-S1-000-qq-e-55,出さない,3AA.BMM.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,10～20|15～26,25|30,+30/-24|+45/-8,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,withアラゴスタカップ 2CUPはリモコンKIT付き<br>ご注文時年式をお知らせください,640000,出さない,受注生産　2～3週間程度
