自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
ACURA,ZDX,YB1,2009.8～2013,,Fr：固定式ピロボール<br>Rr：固定式強化ラバー,488040,,211369,3AAA-HL-A1-000-2CUP-qq-e-262,出さない,3AAA.HL.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,固定式ピロボール|固定式強化ラバー,250/10|(12),35|35,+35/-25|+30/-15,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種,600000,出さない,受注生産　1ヶ月程度
ACURA,ZDX,YB1,2009/8～2013,,Fr：固定式ピロボール<br>Rr：固定式強化ラバー,297365,,211761,3AAA-HL-A1-000-qq-e-54,出さない,3AAA.HL.A1.000,Aragosta,全長調整式車高調,W,固定式ピロボール|固定式強化ラバー,250/10|(12),35|35,+35/-25|+30/-15,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種,380000,出さない,受注生産　2～3週間程度
INFINITI,FX35/FX37(QX70),S51 2WD,2008/3～,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,270220,,212171,3AAA-NK-B1-R00-qq-e-30,出さない,3AAA.NK.B1.R00,Aragosta,全長調整式車高調,W,固定式強化ラバー|固定式強化ラバー,200/20|(18),60|60,+60/-7|+60/-6,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,345000,出さない,受注生産　2～3週間程度
INFINITI,FX35/FX37(QX70),S51 4WD,2008/3～,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,270220,,212495,3AAA-NK-A1-R00-qq-e-31,出さない,3AAA.NK.A1.R00,Aragosta,全長調整式車高調,W,固定式強化ラバー|固定式強化ラバー,200/20|(18),20|20,+20/-35|+35/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,345000,出さない,受注生産　2～3週間程度
INFINITI,FX50(QX70),S51 4WD,2008/3～,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,270220,,212508,3AAA-NP19-R00-qq-e-33,出さない,3AAA.NP19.R00,Aragosta,全長調整式車高調,W,固定式強化ラバー|固定式強化ラバー,200/22|(18),20|20,+40/-20|+50/-15,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,345000,出さない,受注生産　2～3週間程度
INFINITI,FX50(QX70),S51 4WD,2008/3～,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,281853,,212845,3AAA-NP19-000-qq-e-32,出さない,3AAA.NP19.000,Aragosta,全長調整式車高調,W,固定式ピロボール|固定式ピロボール,200/22|(18),20|20,+40/-20|+50/-15,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,360000,出さない,受注生産　2～3週間程度
MERCEDESBENZ,Gクラス,W463/G500 LONG,1991～,,Fr：純正流用<br>Rr：純正流用,235319,,211683,3AA-MBA-A1-000-qq-e-81,出さない,3AA.MBA.A1.000,Aragosta,全長調整式車高調,W,純正流用|純正流用,,20|25,+40/-23|+40/-26,材質:アルミカシマコート/正立式ショック,材質:アルミカシマコート/正立式ショック,他社製ローダウン使用,300000,出さない,受注生産　2～3週間程度
MERCEDESBENZ,Mクラス,W164/ML350,2005～2011,,Fr：固定式ピロボール<br>Rr：純正流用,281853,,212042,3AA-MB9-A1-000-qq-e-82,出さない,3AA.MB9.A1.000,Aragosta,全長調整式車高調,W,固定式ピロボール|純正流用,250/14|(18),65|60,+40/-55|+40/-17,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,,360000,出さない,受注生産　2～3週間程度
MERCEDESBENZ,Rクラス,W251/R350,2006～,エアサス,Fr：固定式ピロボール<br>Rr：純正流用,281853,,212043,3AA-MBB-A1-000-qq-e-83,出さない,3AA.MBB.A1.000,Aragosta,全長調整式車高調,W,固定式ピロボール|純正流用,200/22|-,744|755,+80/-8|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,ダウン量は地上～フェンダーアーチ中央が目安,360000,出さない,受注生産　2～3週間程度
トヨタ,アルファード/ヴェルファイア,AGH30W/GGH30W,2015.1～,2WD,Fr：調整式ピロボール<br>Rr：上下ラバーブッシュ,496174,,211910,3AAA-TJ-A1-000-2CUP-qq-e-392,出さない,3AAA.TJ.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|上下ラバーブッシュ,225/10|(8),40|35,+30/-17|+20/-20,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,withアラゴスタカップ2CUPはリモコン付KIT,610000,出さない,受注生産　1ヶ月程度
