自動車メーカー,車種,型式,年式,駆動,排気量,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,仕様,備考,注意事項,定価,SET価格
トヨタ,アルファード,AGH30W,H27～R2,2WD,2500cc,前期/後期<br>エグゼクティブラウンジS/エグゼクティブラウンジ/SC/S Cパッケージ/S Aパッケージ/S/GF/G/X/SA タイプブラック/S Aパッケージ・タイプブラック,,138367,,296010,AXIS-qq-e-h-1k,AXIS-qq-e-d-h-1k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/製品一体式<br>ダウン量調整範囲(F/R):0～-80mm(±10mm)/-15～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.7K<br>出荷時車高(F/R):純正比-45mmダウン(±10mm)/純正比-45mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,アルファード,AGH30W,H27～R2,2WD,2500cc,前期/後期<br>エグゼクティブラウンジS/エグゼクティブラウンジ/SC/S Cパッケージ/S Aパッケージ/S/GF/G/X/SA タイプブラック/S Aパッケージ・タイプブラック,純正フロントアッパーマウント付,146883,,296001,AXIS-qq-e-h-11k,AXIS-qq-e-d-h-11k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/製品一体式<br>ダウン量調整範囲(F/R):0～-80mm(±10mm)/-15～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.7K<br>出荷時車高(F/R):純正比-45mmダウン(±10mm)/純正比-45mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,アルファード,AGH35W,H27～R2,4WD,2500cc,前期/後期<br>エグゼクティブラウンジS/エグゼクティブラウンジ/SC/S Cパッケージ/S Aパッケージ/S/GF/G/X/SA タイプブラック/S Aパッケージ・タイプブラック,,138367,,296032,AXIS-qq-e-h-3k,AXIS-qq-e-d-h-3k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/製品一体式<br>ダウン量調整範囲(F/R):-20～-80mm(±10mm)/-20～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm)/純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,アルファード,AGH35W,H27～R2,4WD,2500cc,前期/後期<br>エグゼクティブラウンジS/エグゼクティブラウンジ/SC/S Cパッケージ/S Aパッケージ/S/GF/G/X/SA タイプブラック/S Aパッケージ・タイプブラック,純正フロントアッパーマウント付,146883,,296003,AXIS-qq-e-h-13k,AXIS-qq-e-d-h-13k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/製品一体式<br>ダウン量調整範囲(F/R):-20～-80mm(±10mm)/-20～-70mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 5.0K/テーパー型 7.4K<br>出荷時車高(F/R):純正比-50mmダウン(±10mm)/純正比-50mmダウン(±10mm),車検対応<br>車高調整用レンチ・取付説明書・専用リアバンプラバー付属<br>安心の2年または4万キロの保証。,タイヤ銘柄・偏平率、空気圧、ホイールインチ数・重量、道路状況、気温、乗車人数等により乗り心地は異なりますのでお好みに合わせて減衰力調整を行ってください。<br>車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,アルファード,ANH20W,H20～H26,2WD,2400cc,,,123716,,296012,AXIS-qq-e-h-21k,AXIS-qq-e-d-h-21k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):-10mm～-80mm(±10mm)/-20mm～-75mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.4K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,アルファード,ANH20W,H20～H26,2WD,2400cc,,純正フロントアッパーマウント付,136809,,296023,AXIS-qq-e-h-31k,AXIS-qq-e-d-h-31k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):-10mm～-80mm(±10mm)/-20mm～-75mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.4K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,アルファード,ANH25W,H20～H26,4WD,2400cc,,,123716,,296013,AXIS-qq-e-h-22k,AXIS-qq-e-d-h-22k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):-20mm～-80mm(±10mm)/-25mm～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,アルファード,ANH25W,H20～H26,4WD,2400cc,,純正フロントアッパーマウント付,136809,,296024,AXIS-qq-e-h-32k,AXIS-qq-e-d-h-32k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):-20mm～-80mm(±10mm)/-25mm～-80mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.7K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
トヨタ,アルファード,GGH20W,H20～H26,2WD,3500cc,,,123716,,296014,AXIS-qq-e-h-23k,AXIS-qq-e-d-h-23k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正を再使用/構造上不要<br>ダウン量調整範囲(F/R):-20mm～-80mm(±10mm)/-20mm～-75mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.4K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,193000,154000
トヨタ,アルファード,GGH20W,H20～H26,2WD,3500cc,,純正フロントアッパーマウント付,136809,,296025,AXIS-qq-e-h-33k,AXIS-qq-e-d-h-33k,AXIS STYLING,パーフェクトダンパー5G,特徴(F/R):正立複筒式 全長調整式/正立単筒式 全長調整式<br>アッパーマウント(F/R):純正付属/構造上不要<br>ダウン量調整範囲(F/R):-20mm～-80mm(±10mm)/-20mm～-75mm(±10mm)<br>減衰力(F/R):15段ダイヤル調整式/15段ダイヤル調整式<br>スプリング(F/R):テーパー型 4.2K/樽型 6.4K<br>出荷時車高(F/R):純正比-50mm/純正比-60mm,車検対応<br>車高調整用レンチ・取付説明書付属<br>安心の2年または4万キロの保証。,車高調整範囲はメーカー測定データとなります。<br>型式やグレードまたは装備品や個体差により誤差が生じます。<br>調整範囲内であっても車高によってはボディー・アーム等との干渉などをおこし、走行に支障をきたす恐れがあります。<br>調整範囲内であっても車高によっては保安基準適合外となりますので御注意ください。,211000,167000
