自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,調整範囲,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,マウント(F/R),レート(F/R),自由長(F/R),スプリング(F/R),車高調整範囲(Fmm<br>Rr：R),リア減衰ダイヤル 位置,付属延長ダイヤル,付属スタビリンク,B.R.A.I.N接続,備考,注意事項,定価,SET価格
AUDI,A1 1.4 TFSI,DBA-8XCAX,11/01～,CAX,,Fr：-45～0mm<br>Rr：-55～-20mm,94939,,240543,92449-qq-e-840,92449-qq-e-d-840,4959094924494,92449,BLITZ,DAMPER ZZ-R,純正/純正,5.0/3.0,200/180,ID62ストレート/樽型orテーパー型(専用形状),-45～0mm<br>Rr：-55～-20,タイヤハウス内(ダイヤル型),-,固定式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,138600
AUDI,A1 スポーツバック 1.4 TFSI,DBA-8XCAX,12/06～,CAX,,Fr：-50～0mm<br>Rr：-65～-25mm,94939,,240544,92449-qq-e-841,92449-qq-e-d-841,4959094924494,92449,BLITZ,DAMPER ZZ-R,純正/純正,5.0/3.0,200/180,ID62ストレート/樽型orテーパー型(専用形状),-50～0mm<br>Rr：-65～-25,タイヤハウス内(ダイヤル型),-,固定式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,138600
BMW,116i(F20),DBA-1A16,11/09～,N13B16A,,Fr：-65～0mm<br>Rr：-55～-15mm,94939,,240526,92482-qq-e-842,92482-qq-e-d-842,4959094924821,92482,BLITZ,DAMPER ZZ-R,純正/純正,6.0/8.0,180/220,樽型orテーパー型(専用形状)/ID62ストレート,-65～0mm<br>Rr：-55～-15,タイヤハウス内(円盤型),-,調整式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
BMW,118i(F20),DBA-1A16/DBA-1R15,15/05～,N13B16A/B38B15A,,Fr：-65～0mm<br>Rr：-55～-15mm,94939,,240570,92482-qq-e-843,出さない,4959094924821,92482,BLITZ,DAMPER ZZ-R,純正/純正,6.0/8.0,180/220,樽型orテーパー型(専用形状)/ID62ストレート,-65～0mm<br>Rr：-55～-15,タイヤハウス内(円盤型),-,調整式/付属なし,-,リア減衰ダイヤルはホイールハウス内<br>車高調整範囲は116iのデータになります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,出さない
BMW,120i(F20),DBA-1A16,11/09～,N13B16A,,Fr：-65～0mm<br>Rr：-55～-15mm,94939,,240527,92482-qq-e-844,92482-qq-e-d-844,4959094924821,92482,BLITZ,DAMPER ZZ-R,純正/純正,6.0/8.0,180/220,樽型orテーパー型(専用形状)/ID62ストレート,-65～0mm<br>Rr：-55～-15,タイヤハウス内(円盤型),-,調整式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
BMW,320d ツーリング(F31),LDA-3D20,12/09～,N47D20C,4WD未確認<br>電子制御ダンパー装着車取り付け不可,Fr：-75～0mm<br>Rr：-55～-15mm,94939,,240573,92483-qq-e-849,出さない,4959094924838,92483,BLITZ,DAMPER ZZ-R,純正/純正,6.0/12.0,180/220,樽型orテーパー型(専用形状)/ID62ストレート,-75～0mm<br>Rr：-55～-15,タイヤハウス内(円盤型),-,調整式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,出さない
BMW,320d(F30),LDA-3D20,12/08～,N47D20C,4WD未確認<br>電子制御ダンパー装着車取り付け不可,Fr：-75～0mm<br>Rr：-55～-15mm,94939,,240572,92483-qq-e-846,出さない,4959094924838,92483,BLITZ,DAMPER ZZ-R,純正/純正,6.0/12.0,180/220,樽型orテーパー型(専用形状)/ID62ストレート,-75～0mm<br>Rr：-55～-15,タイヤハウス内(円盤型),-,調整式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,出さない
BMW,320i クーペ(E92),ABA-WA20/LBA-KD20/LBA-KD20G,07/05～,N46B20B/N43B20A,,Fr：-45～0mm<br>Rr：-50～-10mm,94939,,240519,92481-qq-e-853,92481-qq-e-d-853,4959094924814,92481,BLITZ,DAMPER ZZ-R,強化ゴム/純正,8.0/12.0,135/220,樽型orテーパー型(専用形状)/ID62ストレート,-45～0mm<br>Rr：-50～-10,アッパーマウント上側,150mm,調整式/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
BMW,320i ツーリング(F31),DBA-3B20,12/12～,N20B20A,4WD未確認<br>電子制御ダンパー装着車取り付け不可,Fr：-75～0mm<br>Rr：-55～-15mm,94939,,240489,92483-qq-e-850,92483-qq-e-d-850,4959094924838,92483,BLITZ,DAMPER ZZ-R,純正/純正,6.0/12.0,180/220,樽型orテーパー型(専用形状)/ID62ストレート,-75～0mm<br>Rr：-55～-15,タイヤハウス内(円盤型),-,調整式/付属なし,-,リア減衰ダイヤルはホイールハウス内,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
BMW,320i(E90),ABA-VA20/LBA-PG20(G),05/04～,N46B20B/N43B20A,,Fr：-45～0mm<br>Rr：-50～-10mm,94939,,240518,92481-qq-e-852,92481-qq-e-d-852,4959094924814,92481,BLITZ,DAMPER ZZ-R,強化ゴム/純正,8.0/12.0,135/220,樽型orテーパー型(専用形状)/ID62ストレート,-45～0mm<br>Rr：-50～-10,アッパーマウント上側,150mm,調整式/付属なし,-,,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります,170000,133600
