自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,調整範囲,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,マウント(F/R),レート(F/R),自由長(F/R),スプリング(F/R),車高調整範囲(Fmm<br>Rr：R),リア減衰ダイヤル 位置,付属延長ダイヤル,付属スタビリンク,B.R.A.I.N接続,備考,注意事項,定価,SET価格
スバル,BRZ,ZC6,12/03～,FA20,MC前後共通,Fr：-50～-10mm<br>Rr：-45～0mm,151290,,240420,93136-qq-e-492,93136-qq-e-d-492,4959094931362,93136,BLITZ,DAMPER ZZ-R Spec-C,調整式ピロ/固定式ピロ,8.0/7.0,135/180,ID62ストレート/ID62ストレート,-50～-10mm<br>Rr：-45～0,アッパーマウント上側,-,調整式/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
スバル,インプレッサ,GDB,04/06～07/06,EJ20,E-G型(P.C.D:114.3),Fr：-70～-20mm<br>Rr：-70～-15mm,157051,,240473,93133-qq-e-518,93133-qq-e-d-518,4959094931331,93133,BLITZ,DAMPER ZZ-R Spec-C,調整式ピロ/調整式ピロ,8.0/6.0,180/220,ID62ストレート/ID62ストレート,-70～-20mm<br>Rr：-70～-15,アッパーマウント上側,200mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,268000,192200
トヨタ,86,ZN6,12/04～,FA20,MC前後共通,Fr：-50～-10mm<br>Rr：-45～0mm,151290,,240419,93136-qq-e-36,93136-qq-e-d-36,4959094931362,93136,BLITZ,DAMPER ZZ-R Spec-C,調整式ピロ/固定式ピロ,8.0/7.0,135/180,ID62ストレート/ID62ストレート,-50～-10mm<br>Rr：-45～0,アッパーマウント上側,-,調整式/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
トヨタ,カローラレビン,AE86,83/05～87/05,4A-GE,スピンドル付,Fr：-52～0mm<br>Rr：-69～-8mm,168574,,240481,93121-qq-e-335k,93121-qq-e-d-335k,4959094931218,93121,BLITZ,DAMPER ZZ-R Spec-C,調整式ピロ/強化ゴム,8.0/6.0,180/160,ID62ストレート/樽型orテーパー型(専用形状),-52～0mm<br>Rr：-69～-8,アッパーマウント上側,-,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,288000,212200
トヨタ,クレスタ,JZX100,96/09～,1JZ-GE/1JZ-GTE,クルーズコントロール付車未確認,Fr：-55～+10mm<br>Rr：-55～+10mm,151290,,240405,93120-qq-e-198,93120-qq-e-d-198,4959094931201,93120,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,14.0/10.0,180/200,ID62ストレート/ID62ストレート,-55～+10mm<br>Rr：-55～+10,アッパーマウント上側,150mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
トヨタ,クレスタ,JZX90,92/10～96/09,1JZ-GE/1JZ-GTE,クルーズコントロール付車未確認,Fr：-55～+10mm<br>Rr：-55～+10mm,151290,,240406,93120-qq-e-201,93120-qq-e-d-201,4959094931201,93120,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,14.0/10.0,180/200,ID62ストレート/ID62ストレート,-55～+10mm<br>Rr：-55～+10,アッパーマウント上側,150mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
トヨタ,スプリンタートレノ,AE86,83/05～87/05,4A-GE,スピンドル付,Fr：-52～0mm<br>Rr：-69～-8mm,168574,,240482,93121-qq-e-336k,93121-qq-e-d-336k,4959094931218,93121,BLITZ,DAMPER ZZ-R Spec-C,調整式ピロ/強化ゴム,8.0/6.0,180/160,ID62ストレート/樽型orテーパー型(専用形状),-52～0mm<br>Rr：-69～-8,アッパーマウント上側,-,付属なし/付属なし,-,リアショック上部要内装加工<br>ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,288000,212200
トヨタ,チェイサー,JZX100,96/09～,1JZ-GE/1JZ-GTE,クルーズコントロール付車未確認,Fr：-55～+10mm<br>Rr：-55～+10mm,151290,,240408,93120-qq-e-222,93120-qq-e-d-222,4959094931201,93120,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,14.0/10.0,180/200,ID62ストレート/ID62ストレート,-55～+10mm<br>Rr：-55～+10,アッパーマウント上側,150mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
トヨタ,チェイサー,JZX90,92/10～96/09,1JZ-GE/1JZ-GTE,クルーズコントロール付車未確認,Fr：-55～+10mm<br>Rr：-55～+10mm,151290,,240407,93120-qq-e-219,93120-qq-e-d-219,4959094931201,93120,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,14.0/10.0,180/200,ID62ストレート/ID62ストレート,-55～+10mm<br>Rr：-55～+10,アッパーマウント上側,150mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
トヨタ,マークII,JZX100,96/09～00/10,1JZ-GE/1JZ-GTE,クルーズコントロール付車未確認,Fr：-55～+10mm<br>Rr：-55～+10mm,151290,,240410,93120-qq-e-281,93120-qq-e-d-281,4959094931201,93120,BLITZ,DAMPER ZZ-R Spec-C,固定式ピロ/固定式ピロ,14.0/10.0,180/200,ID62ストレート/ID62ストレート,-55～+10mm<br>Rr：-55～+10,アッパーマウント上側,150mm,付属なし/付属なし,-,ピロアッパーマウントを採用しているためショック作動音が聞こえやすくなります,リア用減衰延長ダイヤル取り付けにはパネル・スピーカーボードなどに穴あけ加工が必要になります<br>車高調整範囲はロアブラケット側で車高調整を行った場合の調整可能範囲になります(グレード・車両重量・車両誤差などにより調整範囲は変わる場合があります)<br>車高調整範囲内であってもインナーフェンダーなどに干渉する場合があります(最低地上高は各車ご確認の上、車高を設定してください)<br>DAMPER ZZ-Rシリーズを取り付けたことにより各装置の認識に使用されるレーダーやカメラ、センサー等の認識範囲がノーマル状態と異なり誤動作を起こす可能性も考えられます(各自動車メーカーの安全装置・衝突回避支援装置・運転支援装置装着車など誤動作の発生やそれに伴う事故などの損害についてメーカーではその責任を負うことができません)<br>DAMPER ZZ-Rシリーズ取り付け時、特にストラット式サスペンションの場合、純正ホイール・タイヤでもショックアブソーバーと干渉する可能性があります<br>B.R.A.I.N.接続が「○」の車種でも、年式により適合しない場合があります<br>DAMPER ZZ-R Spec-C取り付け時、装着しているホイール・タイヤサイズによっては別タンクと干渉する恐れがあります,258000,182700
