自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,仕様,備考,注意事項,定価,SET価格
スズキ,アルトターボRS,HA36S,15/03～,R06A,ターボ,Release,23929,,260130,70694-qq-e-183k,70694-qq-e-d-183k,4.95909E+12,70694,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,アルトワークス,HA22S,98/10～,K6A,,Release,23929,,260131,70660-qq-e-184k,70660-qq-e-d-184k,4.95909E+12,70660,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,アルトワークス,HA36S,15/12～,R06A,ターボ,Release,23929,,260132,70694-qq-e-185k,70694-qq-e-d-185k,4.95909E+12,70694,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,エブリイワゴン,DA17V/DA17W,15/02～,R06A,ターボ,Release,26256,,260133,70696-qq-e-186k,70696-qq-e-d-186k,4.95909E+12,70696,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スズキ,エブリイワゴン,DA17V/DA17W,15/02～,R06A,ターボ,Return,30727,,260134,70796-qq-e-187k,70796-qq-e-d-187k,4.95909E+12,70796,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,38800,34100
スズキ,カプチーノ,EA11R/EA21R,91/11～,F6A/K6A,,Release,23929,,260135,70661-qq-e-188k,70661-qq-e-d-188k,4.95909E+12,70661,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,スイフトスポーツ,ZC33S,17/09～,K14C,ターボ,Release,26256,,260136,70678-qq-e-189k,70678-qq-e-d-189k,4.95909E+12,70678,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スズキ,スペーシアカスタム,MK53S,17/12～,R06A,ターボ,Release,26256,,260137,70679-qq-e-190k,70679-qq-e-d-190k,4.95909E+12,70679,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スズキ,スペーシアカスタム,MK53S,17/12～,R06A,ターボ,Return,30727,,260138,70779-qq-e-191k,70779-qq-e-d-191k,4.95909E+12,70779,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,38800,34100
スズキ,スペーシアギア,MK53S,18/12～,R06A,ターボ,Release,26256,,260139,70677-qq-e-192k,70677-qq-e-d-192k,4.95909E+12,70677,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スズキ,スペーシアギア,MK53S,18/12～,R06A,ターボ,Return,30727,,260140,70777-qq-e-193k,70777-qq-e-d-193k,4.95909E+12,70777,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,38800,34100
スズキ,ワゴンR,MC21S,98/10～00/12,K6A,ターボ<br>ABS装着車不可,Release,23929,,260141,70660-qq-e-194k,70660-qq-e-d-194k,4.95909E+12,70660,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,ワゴンR,MH21S,03/09～07/05,K6A,ターボ<br>Mターボ装着不可,Release,23929,,260142,70669-qq-e-195k,70669-qq-e-d-195k,4.95909E+12,70669,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
