自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スズキ,アルトワークス,CM22V/CS22S,1991/9～1994/11,F6A,DOHCターボ,カバー,19925,,292371,00C-022-B605-qq-e-f1-491k,4996338082299,00C 022 B605,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:4000/410(N/kgf),,,25200,1100
スズキ,アルトワークス,CP21S/CN21S,1990/3～1991/8,F6A,DOHCターボ,カバー,19925,,292823,00C-022-B605-qq-e-f1-488k,4996338082299,00C 022 B605,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:4000/410(N/kgf),,,25200,1100
スズキ,アルトワークス,HA21S/HB21S,1994/11～1998/10,K6A,DOHCターボ,カバー,19925,,292824,00C-022-B605-qq-e-f1-494k,4996338082299,00C 022 B605,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:4000/410(N/kgf),,,25200,1100
スズキ,アルトワークス,HA22S,1998/10～2000/12,K6A,DOHCターボ,カバー,19925,,292372,00C-022-B605-qq-e-f1-497k,4996338082299,00C 022 B605,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:4000/410(N/kgf),,,25200,1100
スズキ,アルトワークス,HA36S,2015/12～,R06A,DOHCターボ MT車(5AGS車除く),カバー,19925,,292373,00C-022-B605-qq-e-f1-500k,4996338082299,00C 022 B605,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:4000/410(N/kgf),,,25200,1100
スズキ,カプチーノ,EA11R/EA21R,1991/11～1998/10,K6A/F6A,,カバー,19925,,292377,00C-022-B606-qq-e-f1-503k,4996338082176,00C 022 B606,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:3430/350(N/kgf),,,25200,1100
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,M16A,5MT車,カバー,20741,,292828,00C-022-B616-qq-e-f1-508k,4996338080646,00C 022 B616,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:5650/575(N/kgf),,,26300,1100
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,6MT車,カバー,21854,,292378,00C-022-B619-qq-e-f1-514k,4996338080929,00C 022 B619,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:5700/580(N/kgf),,,27800,1100
スズキ,スイフトスポーツ,ZC33S,2017/9～,K14C,6MT車,カバー,24082,,292827,00C-022-B60J-qq-e-f1-520k,4996338085481,00C 022 B60J,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:7800/793(N/kgf),,,30800,1100
スズキ,セルボ・モード,CN21S/CN22S,1991/9～1998/10,F6A,DOHCターボ,カバー,19925,,292825,00C-022-B605-qq-e-f1-526k,4996338082299,00C 022 B605,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:4000/410(N/kgf),,,25200,1100
スズキ,セルボ・モード,CN31S/CP31S,1990/7～1998/10,F6B,DOHCターボ,カバー,19925,,292374,00C-022-B605-qq-e-f1-523k,4996338082299,00C 022 B605,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:4000/410(N/kgf),,,25200,1100
スズキ,セルボ・モード,CN32S/CP32S,1991/9～1998/10,F6B,DOHCターボ,カバー,19925,,292826,00C-022-B605-qq-e-f1-529k,4996338082299,00C 022 B605,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:4000/410(N/kgf),,,25200,1100
スズキ,ワゴンR,CT21S/CV21S,1993/9～1998/10,F6A,DOHCターボ,カバー,19925,,292375,00C-022-B605-qq-e-f1-532k,4996338082299,00C 022 B605,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:4000/410(N/kgf),,,25200,1100
スズキ,ワゴンR,CT51S/CV51S,1997/4～1998/10,K6A,DOHCターボ,カバー,19925,,292376,00C-022-B605-qq-e-f1-535k,4996338082299,00C 022 B605,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:4000/410(N/kgf),,,25200,1100
スバル,BRZ,ZC6,2012/3～,FA20,前期・後期,カバー,29485,,292409,00C-022-B965-qq-e-f1-540k,4996338080851,00C 022 B965,CUSCO,クラッチカバー,クラッチカバー,カバー,4,圧着力:6000/610(N/kgf),,純正ディスク使用不可,38300,1100
