自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
BMW,ミニ,RE16,2002/05～,,MT,,,1WAY,99440,,297102,LSD-BM0-H-qq-e-f1-5690,4996338008480,LSD BM0 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,サイドベアリング別売設定あり。(LSD 440 SB 1台分2個必要),,113000
スズキ,スイフトスポーツ,HT81S,2003/06～2005/05,M15A,MT,オープンデフ,,1WAY,83600,,298089,LSD-615-H-qq-e-f1-5696,4996338008459,LSD 615 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,95000
スズキ,スイフトスポーツ,ZC31S,2005/09～2010/09,M16A,MT,オープンデフ,,1WAY,83600,,299591,LSD-617-H-qq-e-f1-5699,4996338008466,LSD 617 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,95000
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,MT,オープンデフ,,1WAY,95040,,298093,LSD-619-H-qq-e-f1-5704,4996338003478,LSD 619 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,108000
スズキ,スイフトスポーツ,ZC33S,2017/09～,K14C,MT,オープンデフ,,1WAY,95040,,299038,LSD-620-H-qq-e-f1-377k,4996338103338,LSD 620 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,108000
ダイハツ,ブーンX4,M312S,2006/03～2009/12,KJ-VET,MT,オープンデフ,,1WAY,92400,,301584,LSD-772-H-qq-e-f1-5698,4996338008473,LSD 772 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,105000
トヨタ,ヴィッツ,NCP13/NCP91,2000/10～2010/12,1NZ-FE,MT,オープンデフ,,1WAY,83600,,296652,LSD-111-H-qq-e-f1-5700,4996338008367,LSD 111 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,95000
トヨタ,ヴィッツ,NCP131,2010/12～,1NZ-FE,MT,オープンデフ,,1WAY,83600,,297132,LSD-111-H-qq-e-f1-5693,4996338008367,LSD 111 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,95000
日産,マーチ,AK12,2002/03～2010/07,CR12DE,MT,オープンデフ,,1WAY,124080,,299887,LSD-205-H-qq-e-f1-5688,4996338008404,LSD 205 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,付属パーツ:リングギア/リングギアボルト<br>受注生産品,,141000
日産,マーチニスモS,K13改,2013/12～,HR15DE,5MT,オープンデフ,,1WAY,124080,,299888,LSD-205-H-qq-e-f1-5691,4996338008404,LSD 205 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,付属パーツ:リングギア/リングギアボルト<br>CSC(コンセントリックスレーブシリンダー)の同時交換を推奨します。(メーカー再使用禁止指定部品)<br>受注生産品,,141000
ホンダ,フィット,GD3,2004/07～2007/10,L15A,MT,オープンデフ,,1WAY,83600,,297029,LSD-386-H-qq-e-f1-5697,4996338008428,LSD 386 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,95000
ホンダ,フィット,GE8,2007/10～2013/09,L15A,5MT,オープンデフ,,1WAY,83600,,300023,LSD-386-H-qq-e-f1-5705,4996338008428,LSD 386 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,95000
ホンダ,フィット,GE8,2010/10～2013/09,L15A,6MT,オープンデフ,,1WAY,83600,,301018,LSD-386-H-qq-e-f1-5702,4996338008428,LSD 386 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,95000
ホンダ,フィット,GK5,2013/09～,L15B,6MT,オープンデフ,グレードRSのみ適合,1WAY,83600,,301017,LSD-386-H-qq-e-f1-5692,4996338008428,LSD 386 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,95000
マツダ,デミオ,DE5FS,2007/07～2014/09,ZY-VE,MT,オープンデフ,,1WAY,99440,,300509,LSD-438-H-qq-e-f1-5689,4996338008497,LSD 438 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,付属パーツ:リングギアボルト,,113000
マツダ,デミオ,DJ5FS/DJLFS,2014/09～,S5-DPTS/P5-VPS,MT,オープンデフ,,1WAY,99440,,297496,LSD-446-H-qq-e-f1-378k,4996338108463,LSD 446 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,,,113000
三菱,コルト1.5C,Z23A,2006/11～2012/10,4A91,MT,オープンデフ,,1WAY,99440,,299546,LSD-441-H-qq-e-f1-5703,4996338008442,LSD 441 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,付属パーツ:スペーサー<br>サイドベアリング別売設定あり。(LSD 440 SB 1台分2個必要),,113000
三菱,コルトバージョンR,Z27AG,2006/05～2012/10,4G15,5MT,オープンデフ,,1WAY,99440,,298971,LSD-440-H-qq-e-f1-5701,4996338008435,LSD 440 H,CUSCO,コンパクトLSD type-RS 1WAY,コンパクトLSD type-RS,フロント,サイドベアリング別売設定あり。(LSD 440 SB 1台分2個必要),,113000
