自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スズキ,アルトワークス,CM22V/CS22S,1991/9～1994/11,F6A,DOHCターボ,ディスク,11833,,292567,00C-022-R606-qq-e-f1-489k,4996338084705,00C 022 R606,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,,14300,1100
スズキ,アルトワークス,CP21S/CN21S,1990/3～1991/8,F6A,DOHCターボ,ディスク,11833,,292566,00C-022-R606-qq-e-f1-486k,4996338084705,00C 022 R606,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,,14300,1100
スズキ,アルトワークス,HA21S/HB21S,1994/11～1998/10,K6A,DOHCターボ,ディスク,11833,,292568,00C-022-R606-qq-e-f1-492k,4996338084705,00C 022 R606,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,,14300,1100
スズキ,アルトワークス,HA22S,1998/10～2000/12,K6A,DOHCターボ,ディスク,11833,,292569,00C-022-R606-qq-e-f1-495k,4996338084705,00C 022 R606,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,,14300,1100
スズキ,アルトワークス,HA36S,2015/12～,R06A,DOHCターボ MT車(5AGS車除く),ディスク,11833,,292570,00C-022-R606-qq-e-f1-498k,4996338084705,00C 022 R606,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,,14300,1100
スズキ,カプチーノ,EA11R/EA21R,1991/11～1998/10,K6A/F6A,,ディスク＋カバー,27428,,292986,606-022-F-qq-e-f1-501k,4996338080554,606 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ170<br>スプライン径:20.1<br>歯数:18<br>圧着力:3430/350(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,35400,1100
スズキ,カプチーノ,EA11R/EA21R,1991/11～1998/10,K6A/F6A,,ディスク,11833,,292571,00C-022-R606-qq-e-f1-502k,4996338084705,00C 022 R606,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,,14300,1100
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,M16A,5MT車,ディスク＋カバー,29684,,292722,616-022-F-qq-e-f1-504k,4996338080547,616 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ200<br>スプライン径:22.35<br>歯数:20<br>圧着力:5650/575(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,40300,0
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,M16A,5MT車,ディスク,15025,,292908,00C-022-R616-qq-e-f1-505k,4996338080639,00C 022 R616,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ200<br>スプライン径:22.35<br>歯数:20,,,18600,1100
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,6MT車,ディスク＋カバー,32166,,292723,619-022-F-qq-e-f1-510k,4996338080882,619 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ200<br>スプライン径:23.1<br>歯数:20<br>圧着力:5700/580(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,43800,0
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,6MT車,ディスク,16659,,292577,00C-022-R619-qq-e-f1-511k,4996338080905,00C 022 R619,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ200<br>スプライン径:23.1<br>歯数:20,,,20800,1100
スズキ,スイフトスポーツ,ZC33S,2017/9～,K14C,6MT車,ディスク＋カバー,38548,,292720,60J-022-F-qq-e-f1-516k,4996338085467,60J 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ215<br>スプライン径:22.35<br>歯数:20<br>圧着力:7800/793(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,52800,0
