自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,M16A,5MT車,フライホイール,42944,,292725,619-023-A-qq-e-f1-509k,4996338085436,619 023 A,CUSCO,軽量クロモリフライホイール,軽量クロモリフライホイール,フライホイール,5,重量:4.7kg,純正:7.3kg,,59000,0
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,6MT車,フライホイール,42944,,292726,619-023-A-qq-e-f1-515k,4996338085436,619 023 A,CUSCO,軽量クロモリフライホイール,軽量クロモリフライホイール,フライホイール,5,重量:4.7kg,純正:7.3kg,,59000,0
スバル,BRZ,ZC6,2012/3～,FA20,前期・後期,フライホイール,40108,,292802,965-023-A-qq-e-f1-541k,4996338090959,965 023 A,CUSCO,軽量クロモリフライホイール,軽量クロモリフライホイール,フライホイール,5,重量:4.8kg,純正:9.34kg,,55000,0
スバル,WRX STI,VAB,2014/8～,EJ20T,,フライホイール,45780,,293012,667-023-A-qq-e-f1-547k,4996338090355,667 023 A,CUSCO,軽量クロモリフライホイール,軽量クロモリフライホイール,フライホイール,5,重量:4.86kg,純正:8.7kg,,63000,0
スバル,インプレッサ,GC8,1992/11～1996/8,EJ20T,アプライドA～C,フライホイール,35853,,292992,660-023-A-qq-e-f1-556k,4996338090317,660 023 A,CUSCO,軽量クロモリフライホイール,軽量クロモリフライホイール,フライホイール,5,重量:5.75kg,,,49000,0
スバル,インプレッサ,GC8,1996/9～2000/8,EJ20T,アプライドD～G,フライホイール,35853,,292993,660-023-A-qq-e-f1-563k,4996338090317,660 023 A,CUSCO,軽量クロモリフライホイール,軽量クロモリフライホイール,フライホイール,5,重量:5.75kg,,,49000,0
スバル,インプレッサ,GDA,2000/8～2005/5,EJ20T,アプライドA～E,フライホイール,35853,,292994,660-023-A-qq-e-f1-570k,4996338090317,660 023 A,CUSCO,軽量クロモリフライホイール,軽量クロモリフライホイール,フライホイール,5,重量:5.75kg,,,49000,0
スバル,インプレッサ,GDB,2000/10～2007/6,EJ20T,アプライドA～G,フライホイール,45780,,293013,667-023-A-qq-e-f1-582k,4996338090355,667 023 A,CUSCO,軽量クロモリフライホイール,軽量クロモリフライホイール,フライホイール,5,重量:4.86kg,純正:8.7kg,,63000,0
スバル,インプレッサ,GRB,2007/10～2014/8,EJ20T,,フライホイール,45780,,292794,667-023-A-qq-e-f1-596k,4996338090355,667 023 A,CUSCO,軽量クロモリフライホイール,軽量クロモリフライホイール,フライホイール,5,重量:4.86kg,純正:8.7kg,,63000,0
スバル,インプレッサ,GVB,2010/7～2014/8,EJ20T,,フライホイール,45780,,292795,667-023-A-qq-e-f1-605k,4996338090355,667 023 A,CUSCO,軽量クロモリフライホイール,軽量クロモリフライホイール,フライホイール,5,重量:4.86kg,純正:8.7kg,,63000,0
