自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
トヨタ,ハイエース,KDH205V/KDH205K/KDH225K,2004/08～,2KD-FTV,MT/AT,オープンデフ,フルタイム4WD,1.5WAY,100320,,301129,HBD-803-L15-qq-e-f1-5671,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KDH205V/KDH205K/KDH225K,2004/08～,2KD-FTV,MT/AT,オープンデフ,フルタイム4WD,1WAY,100320,,298120,HBD-803-F-qq-e-f1-5678,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KDH220K/KDH200V/KDH200K,2004/08～,2KD-FTV,MT/AT,オープンデフ,,1.5WAY,100320,,297613,HBD-803-L15-qq-e-f1-5682,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KDH220K/KDH200V/KDH200K,2004/08～,2KD-FTV,MT/AT,オープンデフ,,1WAY,100320,,301125,HBD-803-F-qq-e-f1-5685,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KDH221K/KDH201V/KDH201K/KDH206V,2004/08～,1KD-FTV,MT/AT,オープンデフ,,1.5WAY,100320,,296113,HBD-803-L15-qq-e-f1-5660,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KDH221K/KDH201V/KDH201K/KDH206V,2004/08～,1KD-FTV,MT/AT,オープンデフ,,1WAY,100320,,296111,HBD-803-F-qq-e-f1-5681,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KZH100G/KZH110G/KZH120G,1993/08～2004/08,1KZ-TE,MT/AT,オープンデフ,,1.5WAY,100320,,298122,HBD-803-L15-qq-e-f1-5669,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KZH100G/KZH110G/KZH120G,1993/08～2004/08,1KZ-TE,MT/AT,オープンデフ,,1WAY,100320,,301123,HBD-803-F-qq-e-f1-5667,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KZH106G/KZH106W,1993/08～2004/08,1KZ-TE,MT/AT,オープンデフ,フルタイム4WD,1.5WAY,100320,,301128,HBD-803-L15-qq-e-f1-5659,4996338009227,HBD 803 L15,CUSCO,ハイエース専用LSD 1.5WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種(1999/07～のABS無車およびLSD無車のAT車)に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイエース,KZH106G/KZH106W,1993/08～2004/08,1KZ-TE,MT/AT,オープンデフ,フルタイム4WD,1WAY,100320,,298118,HBD-803-F-qq-e-f1-5648,4996338009234,HBD 803 F,CUSCO,ハイエース専用LSD 1WAY,ハイエース専用LSD,リア,サイドベアリング内径がφ50ではない車種(1999/07～のABS無車およびLSD無車のAT車)に関してはベアリング交換が必要。(トヨタ純正部品:90368-50024×2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
