自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
BMW,3シリーズ E30,A18,1989～1990,M10/M40,AT,オープンデフ,318i,,124080,,299116,HBD-BM4-A-qq-e-f1-5543,4996338009203,HBD BM4 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正Cリング必要。,,141000
BMW,3シリーズ E30,A18,1989～1990,M42,AT,オープンデフ,318iS,,124080,,296637,HBD-BM4-A-qq-e-f1-5587,4996338009203,HBD BM4 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正Cリング必要。,,141000
BMW,3シリーズ E30,A20,1989～1990,M20,AT,オープンデフ,320i,,124080,,301139,HBD-BM4-A-qq-e-f1-379k,4996338009203,HBD BM4 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正Cリング必要。,,141000
BMW,3シリーズ E30,A20,1989～1990,M42,MT,オープンデフ,320is,,124080,,296122,HBD-BM4-A-qq-e-f1-380k,4996338009203,HBD BM4 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正Cリング必要。,,141000
BMW,3シリーズ E30,A23,1983～1987,M20,AT,オープンデフ,323i,,124080,,301134,HBD-BM2-A-qq-e-f1-5583,4996338009180,HBD BM2 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正Cリング必要。,,141000
BMW,3シリーズ E30,A25,1983～1987,M20,AT,オープンデフ,325i,,124080,,296633,HBD-BM2-A-qq-e-f1-5384,4996338009180,HBD BM2 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正Cリング必要。,,141000
BMW,3シリーズ E36,BF20/BF28,1990～,M50,AT,オープンデフ,320i,,124080,,297621,HBD-BM4-A-qq-e-f1-381k,4996338009203,HBD BM4 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正Cリング必要。,,141000
BMW,3シリーズ E36,BJ25/BK28,1995～1998,M52,AT,オープンデフ,323i,,124080,,299625,HBD-BM2-A-qq-e-f1-5427,4996338009180,HBD BM2 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正Cリング必要。,,141000
BMW,3シリーズ E36,CA18,1991～,M40,AT,オープンデフ,318i,,124080,,296636,HBD-BM4-A-qq-e-f1-5431,4996338009203,HBD BM4 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正Cリング必要。,,141000
BMW,3シリーズ E36,CB20/CB25,1990～1995,M50,AT,オープンデフ,325i,,124080,,301135,HBD-BM2-A-qq-e-f1-5584,4996338009180,HBD BM2 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正Cリング必要。,,141000
BMW,3シリーズ E36,CD28,1996～,M52,AT,オープンデフ,328i,,124080,,300615,HBD-BM2-A-qq-e-f1-5348,4996338009180,HBD BM2 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正Cリング必要。,,141000
BMW,3シリーズ E46,AL19/AY20,1998～,M43/N42,AT,オープンデフ,318i,,124080,,296631,HBD-BM1-A-qq-e-f1-5425,4996338009173,HBD BM1 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正オイルシール必要。,,141000
BMW,3シリーズ E46,AM20/AV22,1999～,M52/M54,AT,オープンデフ,320i,,124080,,296115,HBD-BM1-A-qq-e-f1-5383,4996338009173,HBD BM1 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正オイルシール必要。,,141000
BMW,3シリーズ E46,AM25,1998～,M52,AT,オープンデフ,323i,,124080,,299626,HBD-BM3-A-qq-e-f1-5385,4996338009197,HBD BM3 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正オイルシール必要。,,141000
BMW,3シリーズ E46,AM28,1998～,M52,AT,オープンデフ,328i,,124080,,296634,HBD-BM3-A-qq-e-f1-5365,4996338009197,HBD BM3 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正オイルシール必要。,,141000
BMW,3シリーズ E46,AT18,2001～,N42,AT,オープンデフ,316t,,124080,,300614,HBD-BM1-A-qq-e-f1-5534,4996338009173,HBD BM1 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正オイルシール必要。,,141000
BMW,3シリーズ E46,AV25,1998～,M54,AT,オープンデフ,325i,,124080,,299627,HBD-BM3-A-qq-e-f1-5462,4996338009197,HBD BM3 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正オイルシール必要。,,141000
BMW,3シリーズ E46,AV30,2003～,M54,AT,オープンデフ,330i,,124080,,299113,HBD-BM3-A-qq-e-f1-5349,4996338009197,HBD BM3 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正オイルシール必要。,,141000
BMW,3シリーズ E90,VA20,2005～,N43,AT,オープンデフ,320i,,124080,,297616,HBD-BM1-A-qq-e-f1-5461,4996338009173,HBD BM1 A,CUSCO,ハイブリッドデフ,ハイブリッドデフ,リア,上記適合に関わらずグレードやオプション装備、特別仕様装備などにより装着できない場合があります。<br>純正オイルシール必要。,,141000
