自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
トヨタ,ハイラックスサーフ,GRN215W,2002/11～2009/07,1GR-FE,AT,オープンデフ,,1WAY,100320,,298100,LSD-803-F-qq-e-f1-5616,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,GRN215W,2002/11～2009/07,1GR-FE,AT,オープンデフ,,2WAY,100320,,300592,LSD-803-F2-qq-e-f1-5603,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,KDN185W/KDN185G/KZN185W/KZN185G,1995/12～2002/11,1KD-FTV/1KZ-TE,MT/AT,オープンデフ,,1WAY,100320,,300591,LSD-803-F-qq-e-f1-5633,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,KDN185W/KDN185G/KZN185W/KZN185G,1995/12～2002/11,1KD-FTV/1KZ-TE,MT/AT,オープンデフ,,2WAY,100320,,301083,LSD-803-F2-qq-e-f1-5636,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,KDN215W,2002/11～2009/07,1KD-FTV,AT,オープンデフ,,1WAY,100320,,298099,LSD-803-F-qq-e-f1-5608,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,KDN215W,2002/11～2009/07,1KD-FTV,AT,オープンデフ,,2WAY,100320,,299602,LSD-803-F2-qq-e-f1-5610,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,KZN130W/KZN130G,1989/05～1995/12,1KZ-TE,MT/AT,オープンデフ,,1WAY,100320,,301081,LSD-803-F-qq-e-f1-5607,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,KZN130W/KZN130G,1989/05～1995/12,1KZ-TE,MT/AT,オープンデフ,,2WAY,100320,,302093,LSD-803-F2-qq-e-f1-5624,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,LN130W/LN130G/LN131V,1989/05～1995/12,2L-TE/3L,MT/AT,オープンデフ,,1WAY,100320,,299068,LSD-803-F-qq-e-f1-5641,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,LN130G/131V(～90/08)の車輌はベアリング交換必要。(90368-50024x2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイラックスサーフ,LN130W/LN130G/LN131V,1989/05～1995/12,2L-TE/3L,MT/AT,オープンデフ,,2WAY,100320,,302091,LSD-803-F2-qq-e-f1-5602,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,LN130G/131V(～90/08)の車輌はベアリング交換必要。(90368-50024x2)<br>標準仕様の他、タイプ変更(RS/MZ/HBD)、設定カム変更(1WAY/1.5WAY/2WAY)、イニシャル及び作動トルクなどの仕様変更が可能です。ご希望の場合は、ご注文前にお問い合わせください。,,114000
トヨタ,ハイラックスサーフ,RZN185W/VZN185W,1995/12～2002/11,3RZ-FE/5VZ-FE,MT/AT,オープンデフ,,1WAY,100320,,297587,LSD-803-F-qq-e-f1-5627,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,RZN185W/VZN185W,1995/12～2002/11,3RZ-FE/5VZ-FE,MT/AT,オープンデフ,,2WAY,100320,,299072,LSD-803-F2-qq-e-f1-5647,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,RZN215W/VZN215W,2002/11～2009/07,3RZ-FE/5VZ-FE,AT,オープンデフ,,1WAY,100320,,302090,LSD-803-F-qq-e-f1-5645,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,RZN215W/VZN215W,2002/11～2009/07,3RZ-FE/5VZ-FE,AT,オープンデフ,,2WAY,100320,,298103,LSD-803-F2-qq-e-f1-5617,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,TRN215W,2002/11～2009/07,2TR-FE,AT,オープンデフ,,1WAY,100320,,302089,LSD-803-F-qq-e-f1-5620,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,TRN215W,2002/11～2009/07,2TR-FE,AT,オープンデフ,,2WAY,100320,,299069,LSD-803-F2-qq-e-f1-5618,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,VZN130W/VZN130G/YN130G,1989/05～1995/12,3VZ-E/3Y-E,MT/AT,オープンデフ,,1WAY,100320,,299067,LSD-803-F-qq-e-f1-5619,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ハイラックスサーフ,VZN130W/VZN130G/YN130G,1989/05～1995/12,3VZ-E/3Y-E,MT/AT,オープンデフ,,2WAY,100320,,297589,LSD-803-F2-qq-e-f1-5642,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザー,FJ80G,1989/10～1997/12,3F-E,MT/AT,オープンデフ,,1WAY,100320,,301080,LSD-802-F-qq-e-f1-5615,4996338019042,LSD 802 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザー,FZJ80G,1989/10～1997/12,1FZ-FE,MT/AT,オープンデフ,,1WAY,100320,,298098,LSD-802-F-qq-e-f1-5640,4996338019042,LSD 802 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザー,HDJ101K,1998/01～2007/07,1HD-FTE,AT,オープンデフ,,1WAY,166320,,297591,LSD-806-F-qq-e-f1-386k,4996338007506,LSD 806 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,受注生産品,,189000
トヨタ,ランドクルーザー,HDJ101K,1998/01～2007/07,1HD-FTE,AT,オープンデフ,,1WAY,100320,,302095,LSD-805-F-qq-e-f1-384k,4996338019080,LSD 805 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザー,HDJ101K,1998/01～2007/07,1HD-FTE,AT,オープンデフ,,2WAY,166320,,302096,LSD-806-F2-qq-e-f1-388k,4996338007513,LSD 806 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,受注生産品,,189000
トヨタ,ランドクルーザー,HDJ81V,1989/10～1997/12,1HD-FT,MT/AT,オープンデフ,,1WAY,100320,,296600,LSD-802-F-qq-e-f1-5614,4996338019042,LSD 802 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザー,HZJ81V,1989/10～1997/12,1HZ,MT/AT,オープンデフ,,1WAY,100320,,299066,LSD-802-F-qq-e-f1-5626,4996338019042,LSD 802 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザー,UZJ100W,1998/01～2007/07,2UZ-FE A,AT,オープンデフ,,1WAY,100320,,299074,LSD-805-F-qq-e-f1-385k,4996338019080,LSD 805 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザー,UZJ100W,1998/01～2007/07,2UZ-FE A,AT,オープンデフ,,1WAY,166320,,299604,LSD-806-F-qq-e-f1-387k,4996338007506,LSD 806 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,受注生産品,,189000
トヨタ,ランドクルーザー,UZJ100W,1998/01～2007/07,2UZ-FE A,AT,オープンデフ,,2WAY,166320,,299075,LSD-806-F2-qq-e-f1-389k,4996338007513,LSD 806 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,受注生産品,,189000
トヨタ,ランドクルーザープラド,GRJ120W/GRJ121W,2002/10～2009/09,1GR-FE,AT,オープンデフ,,1WAY,100320,,298102,LSD-803-F-qq-e-f1-5635,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,GRJ120W/GRJ121W,2002/10～2009/09,1GR-FE,AT,オープンデフ,,2WAY,100320,,299603,LSD-803-F2-qq-e-f1-5612,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,KDJ120W/KDJ121W/KDJ125W,2002/10～2009/09,1KD-FTV,AT,オープンデフ,,1WAY,100320,,296601,LSD-803-F-qq-e-f1-5646,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,KDJ120W/KDJ121W/KDJ125W,2002/10～2009/09,1KD-FTV,AT,オープンデフ,,1WAY,100320,,296604,LSD-804-F-qq-e-f1-5605,4996338019073,LSD 804 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザープラド,KDJ120W/KDJ121W/KDJ125W,2002/10～2009/09,1KD-FTV,AT,オープンデフ,,2WAY,100320,,299071,LSD-803-F2-qq-e-f1-5639,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,KZJ90W/KZJ95W,1996/05～2002/10,1KZ-TE,MT/AT,オープンデフ,,1WAY,100320,,297590,LSD-804-F-qq-e-f1-5643,4996338019073,LSD 804 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザープラド,KZJ90W/KZJ95W,1996/05～2002/10,1KZ-TE,MT/AT,オープンデフ,,1WAY,100320,,301082,LSD-803-F-qq-e-f1-5628,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,KZJ90W/KZJ95W,1996/05～2002/10,1KZ-TE,MT/AT,オープンデフ,,2WAY,100320,,298104,LSD-803-F2-qq-e-f1-5629,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,RZJ120W/RZJ125W,2002/10～2009/09,3RZ-FE,AT,オープンデフ,,1WAY,100320,,297586,LSD-803-F-qq-e-f1-5609,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,RZJ120W/RZJ125W,2002/10～2009/09,3RZ-FE,AT,オープンデフ,,1WAY,100320,,302094,LSD-804-F-qq-e-f1-5632,4996338019073,LSD 804 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザープラド,RZJ120W/RZJ125W,2002/10～2009/09,3RZ-FE,AT,オープンデフ,,2WAY,100320,,299070,LSD-803-F2-qq-e-f1-5630,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,RZJ90W/RZJ95W,1996/05～2002/10,3RZ-FE,MT/AT,オープンデフ,,1WAY,100320,,300590,LSD-803-F-qq-e-f1-5621,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,RZJ90W/RZJ95W,1996/05～2002/10,3RZ-FE,MT/AT,オープンデフ,,1WAY,100320,,300593,LSD-804-F-qq-e-f1-5613,4996338019073,LSD 804 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザープラド,RZJ90W/RZJ95W,1996/05～2002/10,3RZ-FE,MT/AT,オープンデフ,,2WAY,100320,,296603,LSD-803-F2-qq-e-f1-5638,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,TRJ120W/TRJ125W,2002/10～2009/09,2TR-FE,AT,オープンデフ,,1WAY,100320,,298105,LSD-804-F-qq-e-f1-5625,4996338019073,LSD 804 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザープラド,TRJ120W/TRJ125W,2002/10～2009/09,2TR-FE,AT,オープンデフ,,1WAY,100320,,299601,LSD-803-F-qq-e-f1-5623,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,TRJ120W/TRJ125W,2002/10～2009/09,2TR-FE,AT,オープンデフ,,2WAY,100320,,302092,LSD-803-F2-qq-e-f1-5604,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,VZJ120W/VZJ121W,2002/10～2009/09,5VZ-FE,AT,オープンデフ,,1WAY,100320,,298101,LSD-803-F-qq-e-f1-5622,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,VZJ120W/VZJ121W,2002/10～2009/09,5VZ-FE,AT,オープンデフ,,1WAY,100320,,299073,LSD-804-F-qq-e-f1-5631,4996338019073,LSD 804 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザープラド,VZJ120W/VZJ121W,2002/10～2009/09,5VZ-FE,AT,オープンデフ,,2WAY,100320,,296602,LSD-803-F2-qq-e-f1-5611,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,VZJ90W/VZJ95W,1996/05～2002/10,5VZ-FE,MT/AT,オープンデフ,,1WAY,100320,,297588,LSD-803-F-qq-e-f1-5634,4996338019059,LSD 803 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
トヨタ,ランドクルーザープラド,VZJ90W/VZJ95W,1996/05～2002/10,5VZ-FE,MT/AT,オープンデフ,,1WAY,100320,,298106,LSD-804-F-qq-e-f1-5644,4996338019073,LSD 804 F,CUSCO,ランクル・プラド・サーフ専用LSD 1WAY,ランクル・プラド・サーフ専用LSD,フロント,,,114000
トヨタ,ランドクルーザープラド,VZJ90W/VZJ95W,1996/05～2002/10,5VZ-FE,MT/AT,オープンデフ,,2WAY,100320,,301084,LSD-803-F2-qq-e-f1-5637,4996338019066,LSD 803 F2,CUSCO,ランクル・プラド・サーフ専用LSD 2WAY,ランクル・プラド・サーフ専用LSD,リア,,,114000
