自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スズキ,アルトワークス,CM22V/CS22S,1991/9～1994/11,F6A,DOHCターボ,ディスク,21113,,292486,00C-022-C606S-qq-e-f1-490k,4996338085412,00C 022 C606S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,必ずクスコクラッチカバーとセットでご使用ください。(純正ディスク外形はφ180),26800,1100
スズキ,アルトワークス,CP21S/CN21S,1990/3～1991/8,F6A,DOHCターボ,ディスク,21113,,292864,00C-022-C606S-qq-e-f1-487k,4996338085412,00C 022 C606S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,必ずクスコクラッチカバーとセットでご使用ください。(純正ディスク外形はφ180),26800,1100
スズキ,アルトワークス,HA21S/HB21S,1994/11～1998/10,K6A,DOHCターボ,ディスク,21113,,292487,00C-022-C606S-qq-e-f1-493k,4996338085412,00C 022 C606S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,必ずクスコクラッチカバーとセットでご使用ください。(純正ディスク外形はφ180),26800,1100
スズキ,アルトワークス,HA22S,1998/10～2000/12,K6A,DOHCターボ,ディスク,21113,,292488,00C-022-C606S-qq-e-f1-496k,4996338085412,00C 022 C606S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,必ずクスコクラッチカバーとセットでご使用ください。(純正ディスク外形はφ180),26800,1100
スズキ,アルトワークス,HA36S,2015/12～,R06A,DOHCターボ MT車(5AGS車除く),ディスク,21113,,292865,00C-022-C606S-qq-e-f1-499k,4996338085412,00C 022 C606S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ170<br>スプライン径:20.1<br>歯数:18,,必ずクスコクラッチカバーとセットでご使用ください。(純正ディスク外形はφ180),26800,1100
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,M16A,5MT車,ディスク＋カバー,35285,,292987,616-022-G-qq-e-f1-506k,4996338080684,616 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ200<br>スプライン径:22.35<br>歯数:20<br>圧着力:5650/575(N/kgf),メタルディスク&クスコクラッチカバー,,48200,0
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,M16A,5MT車,ディスク,21558,,292492,00C-022-C616S-qq-e-f1-507k,4996338080677,00C 022 C616S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ200<br>スプライン径:22.35<br>歯数:20,,,27400,1100
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,6MT車,ディスク＋カバー,36420,,292724,619-022-G-qq-e-f1-512k,4996338080899,619 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ200<br>スプライン径:23.1<br>歯数:20<br>圧着力:5700/580(N/kgf),メタルディスク&クスコクラッチカバー,,49800,0
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,6MT車,ディスク,21854,,292493,00C-022-C619S-qq-e-f1-513k,4996338080912,00C 022 C619S,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ200<br>スプライン径:23.1<br>歯数:20,,,27800,1100
スズキ,スイフトスポーツ,ZC33S,2017/9～,K14C,6MT車,ディスク＋カバー,40674,,292721,60J-022-G-qq-e-f1-518k,4996338085474,60J 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ215<br>スプライン径:22.35<br>歯数:20<br>圧着力:7800/793(N/kgf),メタルディスク&クスコクラッチカバー,,55800,0
