自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
INFINITI,G37,,,,AT,,アクティブLSD車を除く,1WAY,132880,,301456,LSD-254-S-qq-e-f1-5372,,LSD 254 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,MT,オープンデフ,,1WAY,124080,,300560,LSD-619-S-qq-e-f1-5422,4996338102416,LSD 619 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1WAY,132880,,301597,LSD-986-S-qq-e-f1-5601,4996338004857,LSD 986 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
スバル,WRX STI,VAB,2014/08～,EJ20T,MT,トルセン,,1WAY,124080,,297885,LSD-182-S-qq-e-f1-5353,4996338019929,LSD 182 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,WRX STI,VAB,2014/08～,EJ20T,MT,ヘリカル,,1WAY,124080,,301871,LSD-184-S-qq-e-f1-5355,4996338019943,LSD 184 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,インプレッサ,GRB,2007/10～2014/08,EJ20T,MT,トルセン/機械式,ABS付車は除く,1WAY,124080,,296384,LSD-182-S-qq-e-f1-5489,4996338019929,LSD 182 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,インプレッサ,GRB,2007/10～2014/08,EJ20T,MT,ヘリカル,ABS付車は除く,1WAY,124080,,298879,LSD-184-S-qq-e-f1-5554,4996338019943,LSD 184 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,インプレッサWRX STi,GDB,2000/10～2007/06,EJ20T,MT,オープンデフ/シュアトラック/ヘリカル,アプライドA～G(センターDCCD車)<br>ABS付車は除く,1WAY,124080,,298363,LSD-184-S-qq-e-f1-5465,4996338019943,LSD 184 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,インプレッサWRX STi,GDB,2000/10～2007/06,EJ20T,MT,オープンデフ/シュアトラック/ヘリカル,アプライドA～G(センタービスカス車)<br>ABS付車は除く,1WAY,124080,,301872,LSD-184-S-qq-e-f1-5392,4996338019943,LSD 184 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,インプレッサWRX STi,GDB,2000/10～2007/06,EJ20T,MT,シュアトラック/トルセン/機械式,アプライドA～G(センタービスカス車)<br>ABS付車は除く,1WAY,124080,,298306,LSD-182-S-qq-e-f1-5439,4996338019929,LSD 182 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
