自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
INFINITI,G37,,,,AT,,アクティブLSD車を除く,1WAY,132880,,301455,LSD-254-R-qq-e-f1-5417,,LSD 254 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,MT,オープンデフ,,1WAY,124080,,300559,LSD-619-R-qq-e-f1-5470,4996338102409,LSD 619 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スズキ,スイフトスポーツ,ZC33S,2017/09～,K14C,MT,オープンデフ,,1WAY,124080,,300563,LSD-620-R-qq-e-f1-383k,4996338103260,LSD 620 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1WAY,132880,,300094,LSD-986-R-qq-e-f1-5471,4996338004840,LSD 986 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
スバル,WRX STI,VAB,2014/08～,EJ20T,MT,トルセン,,1WAY,124080,,299378,LSD-182-R-qq-e-f1-5591,4996338019912,LSD 182 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,WRX STI,VAB,2014/08～,EJ20T,MT,ヘリカル,,1WAY,124080,,298361,LSD-184-R-qq-e-f1-5371,4996338019936,LSD 184 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,インプレッサ,GRB,2007/10～2014/08,EJ20T,MT,トルセン/機械式,ABS付車は除く,1WAY,124080,,296381,LSD-182-R-qq-e-f1-5370,4996338019912,LSD 182 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,インプレッサ,GRB,2007/10～2014/08,EJ20T,MT,ヘリカル,ABS付車は除く,1WAY,124080,,296874,LSD-184-R-qq-e-f1-5552,4996338019936,LSD 184 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,インプレッサWRX STi,GDB,2000/10～2007/06,EJ20T,MT,オープンデフ/シュアトラック/ヘリカル,アプライドA～G(センターDCCD車)<br>ABS付車は除く,1WAY,124080,,299873,LSD-184-R-qq-e-f1-5599,4996338019936,LSD 184 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,インプレッサWRX STi,GDB,2000/10～2007/06,EJ20T,MT,オープンデフ/シュアトラック/ヘリカル,アプライドA～G(センタービスカス車)<br>ABS付車は除く,1WAY,124080,,300377,LSD-184-R-qq-e-f1-5354,4996338019936,LSD 184 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,インプレッサWRX STi,GDB,2000/10～2007/06,EJ20T,MT,シュアトラック/トルセン/機械式,アプライドA～G(センタービスカス車)<br>ABS付車は除く,1WAY,124080,,296383,LSD-182-R-qq-e-f1-5506,4996338019912,LSD 182 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,インプレッサWRX STi,GDB,2000/10～2007/06,EJ20T,MT,機械式,アプライドA～G(センターDCCD車)<br>ABS付車は除く,1WAY,124080,,296821,LSD-182-R-qq-e-f1-5550,4996338019912,LSD 182 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,フォレスターSTi,SG9,2004/02～2007/12,EJ25T,6MT,オープンデフ,,1WAY,124080,,298362,LSD-184-R-qq-e-f1-5553,4996338019936,LSD 184 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
スバル,フォレスターSTi,SG9,2004/02～2007/12,EJ25T,6MT,シュアトラック,,1WAY,124080,,296382,LSD-182-R-qq-e-f1-5488,4996338019912,LSD 182 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
トヨタ,86,ZN6,2012/04～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1WAY,132880,,299092,LSD-986-R-qq-e-f1-5450,4996338004840,LSD 986 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,ヴィッツ,NCP91/NCP131,2005/02～,1NZ-FE,MT,オープンデフ,グレードRSのみ適合,1WAY,124080,,300597,LSD-901-R-qq-e-f1-5595,4996338003065,LSD 901 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
トヨタ,スープラ,JZA80,1993/05～1996/03,2JZ-GE/2JZ-GTE,5MT/AT,オープンデフ,,1WAY,132880,,300286,LSD-167-R-qq-e-f1-5368,4996338019752,LSD 167 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,スープラ,JZA80,1993/05～1996/03,2JZ-GE/2JZ-GTE,5MT/AT,トルセン,,1WAY,132880,,300300,LSD-168-R-qq-e-f1-5415,4996338019776,LSD 168 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,スープラ,JZA80,1996/04～2002/07,2JZ-GE/2JZ-GTE,6MT/MT/AT,オープンデフ/トルセン,,1WAY,132880,,301764,LSD-167-R-qq-e-f1-5487,4996338019752,LSD 167 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,マークII/ヴェロッサ,JZX110,2000/10～2004/11,1JZ-GTE,AT,オープンデフ/トルセン,,1WAY,132880,,300752,LSD-160-R-qq-e-f1-5414,4996338019714,LSD 160 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,マークII/チェイサー/クレスタ,JZX100,1996/09～2000/10,1JZ-GTE,MT/AT,オープンデフ,,1WAY,132880,,297741,LSD-160-R-qq-e-f1-5596,4996338019714,LSD 160 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
トヨタ,マークII/チェイサー/クレスタ,JZX100,1996/09～2000/10,1JZ-GTE,MT/AT,トルセン,,1WAY,132880,,301247,LSD-159-R-qq-e-f1-5486,4996338019691,LSD 159 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,シルビア,S15,1999/01～2002/08,SR20DE,MT/AT,オープンデフ,オーテックバージョン含む,1WAY,132880,,296513,LSD-271-R-qq-e-f1-5568,4996338019851,LSD 271 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,シルビア,S15,1999/01～2002/08,SR20DE,MT/AT,ビスカス,オーテックバージョン含む,1WAY,132880,,299996,LSD-270-R-qq-e-f1-5393,4996338019837,LSD 270 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,シルビア,S15,1999/01～2002/08,SR20DE,MT/AT,ヘリカル,オーテックバージョン含む,1WAY,132880,,299505,LSD-271-R-qq-e-f1-5357,4996338019851,LSD 271 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,シルビア,S15,1999/01～2002/08,SR20DET,AT,ビスカス,,1WAY,132880,,302152,LSD-270-R-qq-e-f1-5555,4996338019837,LSD 270 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,シルビア,S15,1999/01～2002/08,SR20DET,MT,ヘリカル,,1WAY,132880,,300498,LSD-271-R-qq-e-f1-5444,4996338019851,LSD 271 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイライン,CPV35,2003/01～2007/10,VQ35DE,6MT,ビスカス,,1WAY,132880,,300414,LSD-251-R-qq-e-f1-5566,4996338019813,LSD 251 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイライン,ER34,1998/05～1999/07,RB25DET,MT,ビスカス,アクティブLSD車を除く,1WAY,132880,,298482,LSD-270-R-qq-e-f1-5490,4996338019837,LSD 270 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイライン,ER34,1999/08～2001/06,RB25DET,AT,ビスカス,アクティブLSD車を除く,1WAY,132880,,302151,LSD-270-R-qq-e-f1-5418,4996338019837,LSD 270 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイライン,ER34,1999/08～2001/06,RB25DET,MT,ヘリカル,アクティブLSD車を除く,1WAY,132880,,296512,LSD-271-R-qq-e-f1-5509,4996338019851,LSD 271 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイラインGT-R,BCNR33,1995/01～1999/01,RB26DETT,MT,機械式,アクティブLSD車を除く,1WAY,132880,,296294,LSD-169-R-qq-e-f1-5590,4996338019790,LSD 169 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイラインGT-R,BCNR33,1995/01～1999/01,RB26DETT,MT,機械式,,1WAY,124080,,297624,LSD-137-R-qq-e-f1-5410,4996338019875,LSD 137 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
日産,スカイラインGT-R,BNR32,1989/08～1993/01,RB26DETT,MT,機械式,,1WAY,132880,,300008,LSD-271-R-qq-e-f1-5445,4996338019851,LSD 271 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
日産,スカイラインGT-R,BNR32,1989/08～1994/12,RB26DETT,MT,オープンデフ,,1WAY,124080,,296127,LSD-137-R-qq-e-f1-5565,4996338019875,LSD 137 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
日産,スカイラインGT-R,BNR32,1993/01～1994/12,RB26DETT,MT,機械式,,1WAY,132880,,296293,LSD-169-R-qq-e-f1-5549,4996338019790,LSD 169 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
