自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スバル,WRX STI,VAB,2014/8～,EJ20T,,ディスク＋カバー＋フライホイール,98680,,292784,667-022-HP-qq-e-f1-550k,4996338086556,667 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,インプレッサ,GC8,1992/11～1996/8,EJ20T,アプライドA～C,ディスク＋カバー＋フライホイール,98680,,292991,660-022-HP-qq-e-f1-557k,4996338086549,660 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ225<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660)<br>アプライドAは別途純正レリーズベアリング(スバル純正品番30502AA130)が必要です。,,137600,0
スバル,インプレッサ,GC8,1996/9～2000/8,EJ20T,アプライドD～G,ディスク＋カバー＋フライホイール,98680,,292744,660-022-HP-qq-e-f1-564k,4996338086549,660 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,インプレッサ,GDA,2000/8～2005/5,EJ20T,アプライドA～E,ディスク＋カバー＋フライホイール,98680,,292745,660-022-HP-qq-e-f1-571k,4996338086549,660 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,インプレッサ,GDB,2000/10～2007/6,EJ20T,アプライドA～G,ディスク＋カバー＋フライホイール,98680,,292785,667-022-HP-qq-e-f1-585k,4996338086556,667 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,インプレッサ,GRB,2007/10～2014/8,EJ20T,,ディスク＋カバー＋フライホイール,98680,,292786,667-022-HP-qq-e-f1-599k,4996338086556,667 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,インプレッサ,GVB,2010/7～2014/8,EJ20T,,ディスク＋カバー＋フライホイール,98680,,292787,667-022-HP-qq-e-f1-608k,4996338086556,667 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,インプレッサスポーツワゴン,GF8,1993/10～1996/8,EJ20T,アプライドB/C,ディスク＋カバー＋フライホイール,98680,,292746,660-022-HP-qq-e-f1-615k,4996338086549,660 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ225<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,インプレッサスポーツワゴン,GF8,1996/9～2000/8,EJ20T,アプライドD～G,ディスク＋カバー＋フライホイール,98680,,292747,660-022-HP-qq-e-f1-622k,4996338086549,660 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,インプレッサスポーツワゴン,GGA,2000/8～2005/5,EJ20T,アプライドA～E,ディスク＋カバー＋フライホイール,98680,,292748,660-022-HP-qq-e-f1-638k,4996338086549,660 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,インプレッサスポーツワゴン,GGB,2000/10～2002/10,EJ20T,,ディスク＋カバー＋フライホイール,98680,,292788,667-022-HP-qq-e-f1-631k,4996338086556,667 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,フォレスター,SF5,1997/2～2002/1,EJ20T,,ディスク＋カバー＋フライホイール,98680,,292749,660-022-HP-qq-e-f1-650k,4996338086549,660 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,フォレスター,SG5,2002/2～2004/12,EJ20T,アプライドA～C,ディスク＋カバー＋フライホイール,98680,,292750,660-022-HP-qq-e-f1-657k,4996338086549,660 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,フォレスター,SG9,2004/2～2007/12,EJ20T,2.5L STIバージョン,ディスク＋カバー＋フライホイール,98680,,293006,667-022-HP-qq-e-f1-670k,4996338086556,667 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BG5/BD5,1993/10～1998/12,EJ20T,,ディスク＋カバー＋フライホイール,98680,,292751,660-022-HP-qq-e-f1-677k,4996338086549,660 022 HP,CUSCO,シングルクラッチシステム プルタイプ,シングルクラッチシステム,ディスク＋カバー＋フライホイール,1,サイズ:φ225<br>スプライン径:25.2<br>歯数:24<br>圧着力:11800/1200(N/kgf),プル式<br>サイズ:φ225<br>SSTの設定あり(00C SST 660),,137600,0
