自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
スバル,BRZ,ZC6,2012/3～2016/7<br>2016/8～,RA/R/S/GT,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,221283,,242004,965-64C-LB0-qq-e-f1-884,965-64C-LB0-qq-e-d-884,4996338074133,965 64C LB0,CUSCO,SPORT G Gravel,-/ピロボール固定式,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>競技専用品/ダートラ・ラリーグラベル競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,288000,225300
スバル,WRX STI,VAB,2014/8～,STI/STI タイプS,4WD/2000T,221283,,242030,6A1-64C-LB0-qq-e-f1-617,6A1-64C-LB0-qq-e-d-617,4996338072627,6A1 64C LB0,CUSCO,SPORT G Gravel,-/ピロボール固定式,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ダートトライアル・ラリーグラベル競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,288000,228300
スバル,インプレッサ,GC8,1992/11～2000/8,WRX/WRX-Sti/WRX-RA/WRX-Sti-RA/WRX-タイプR,4WD/2000T,221283,,241999,660-64C-LB0-qq-e-f1-537,660-64C-LB0-qq-e-d-537,4996338074676,660 64C LB0,CUSCO,SPORT G Gravel,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ダートトライアル・ラリーグラベル競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,288000,228300
スバル,インプレッサ,GDB,2000/8～2002/10<br>2002/11～2004/5,WRX Sti/WRX Sti タイプA/WRX Sti タイプA スペックC/S202/WRX Sti/WRX Sti スペックC/S203,4WD/2000T<br>アプライドA～B/アプライドC～D(PCD100),221283,,242000,667-64C-LB0-qq-e-f1-548,667-64C-LB0-qq-e-d-548,4996338074683,667 64C LB0,CUSCO,SPORT G Gravel,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ダートトライアル・ラリーグラベル競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,288000,228300
スバル,インプレッサ,GDA,2000/8～2002/10<br>2002/11～2007/6,WRX/NB/NB-R,4WD/2000T<br>アプライドA～B/アプライドC～G(PCD100),221283,,242013,667-64C-LB0-qq-e-f1-547,667-64C-LB0-qq-e-d-547,4996338074683,667 64C LB0,CUSCO,SPORT G Gravel,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式3,競技専用品/ダートトライアル・ラリーグラベル競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,288000,228300
スバル,インプレッサ,GDB,2004/6～2007/6,WRX Sti/WRX Sti スペックC/S204/Aライン/RA-R,4WD/2000T<br>アプライドE～G(PCD114.3),221283,,242029,672-64C-LB0-qq-e-f1-559,672-64C-LB0-qq-e-d-559,4996338074652,672 64C LB0,CUSCO,SPORT G Gravel,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ダートトライアル・ラリーグラベル競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,288000,228300
スバル,インプレッサ,GRB/GRF,2007/10～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,221283,,242024,692-64C-LB0-qq-e-f1-593,692-64C-LB0-qq-e-d-593,4996338073662,692 64C LB0,CUSCO,SPORT G Gravel,-/ピロボール固定式,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ダートトライアル・ラリーグラベル競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,288000,228300
スバル,インプレッサ,GVB/GVF,2010/7～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,221283,,242025,692-64C-LB0-qq-e-f1-594,692-64C-LB0-qq-e-d-594,4996338073662,692 64C LB0,CUSCO,SPORT G Gravel,-/ピロボール固定式,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ダートトライアル・ラリーグラベル競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,288000,228300
トヨタ,86,ZN6,2012/4～2016/7<br>2016/8～,GTリミテッド/GT/G/RC,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,221283,,242003,965-64C-LB0-qq-e-f1-883,965-64C-LB0-qq-e-d-883,4996338074133,965 64C LB0,CUSCO,SPORT G Gravel,-/ピロボール固定式,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>競技専用品/ダートラ・ラリーグラベル競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,288000,225300
トヨタ,ヴィッツ,NCP91/SCP90/KSP90,2005/2～2010/11,U/X/RS,FF/1500・1300・1000,183058,,242027,901-64C-LB0-qq-e-f1-757,901-64C-LB0-qq-e-d-757,4996338074720,901 64C LB0,CUSCO,SPORT G Gravel,,,24/24,対応/対応,,,,,,全長調整式/ネジスペーサー,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>競技専用品/ダートラ・ラリーグラベル競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,238000,188800
