自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
ABARTH,124スパイダー,NF2EK,2016/10～,,FR/1400T,152478,,242006,429-64C-SB0-qq-e-f1-326,出さない,4996338074713,429 64C SB0,CUSCO,SPORT G Tarmac,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ジムカーナターマック競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,198000,出さない
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,スポーツ,FF/1600,183058,,242022,616-64C-SB0-qq-e-f1-444,616-64C-SB0-qq-e-d-444,4996338072085,616 64C SB0,CUSCO,SPORT G Tarmac,,,24/24,対応/対応,,,,,,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>競技専用品/ジムカーナターマック競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,238000,188800
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,スポーツ,FF/1600,183058,,242028,619-64C-SB0-qq-e-f1-458,619-64C-SB0-qq-e-d-458,4996338072092,619 64C SB0,CUSCO,SPORT G Tarmac,,,24/24,対応/対応,,,,,,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>競技専用品/ジムカーナターマック競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,238000,188800
スバル,BRZ,ZC6,2012/3～2016/7<br>2016/8～,RA/R/S/GT,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,167768,,242005,965-64C-SB0-qq-e-f1-886,965-64C-SB0-qq-e-d-886,4996338074348,965 64C SB0,CUSCO,SPORT G Tarmac,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>競技専用品/ジムカーナターマック競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,218000,174200
スバル,WRX STI,VAB,2014/8～,STI/STI タイプS,4WD/2000T,167768,,242016,6A1-64C-SB0-qq-e-f1-618,6A1-64C-SB0-qq-e-d-618,4996338072122,6A1 64C SB0,CUSCO,SPORT G Tarmac,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ジムカーナターマック競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,218000,177200
スバル,インプレッサ,GC8,1992/11～2000/8,WRX/WRX-Sti/WRX-RA/WRX-Sti-RA/WRX-タイプR,4WD/2000T,190703,,242023,660-64C-SB0-qq-e-f1-538,660-64C-SB0-qq-e-d-538,4996338072108,660 64C SB0,CUSCO,SPORT G Tarmac,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ジムカーナターマック競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,248000,199100
スバル,インプレッサ,GDB,2000/8～2002/10<br>2002/11～2004/5,WRX Sti/WRX Sti タイプA/WRX Sti タイプA スペックC/S202/WRX Sti/WRX Sti スペックC/S203,4WD/2000T<br>アプライドA～B/アプライドC～D(PCD100),190703,,242015,667-64C-SB0-qq-e-f1-550,667-64C-SB0-qq-e-d-550,4996338072115,667 64C SB0,CUSCO,SPORT G Tarmac,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ジムカーナターマック競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,248000,199100
スバル,インプレッサ,GDA,2000/8～2002/10<br>2002/11～2007/6,WRX/NB/NB-R,4WD/2000T<br>アプライドA～B/アプライドC～G(PCD100),190703,,242014,667-64C-SB0-qq-e-f1-549,667-64C-SB0-qq-e-d-549,4996338072115,667 64C SB0,CUSCO,SPORT G Tarmac,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ジムカーナターマック競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,248000,199100
スバル,インプレッサ,GDB,2004/6～2007/6,WRX Sti/WRX Sti スペックC/S204/Aライン/RA-R,4WD/2000T<br>アプライドE～G(PCD114.3),190703,,242001,672-64C-SB0-qq-e-f1-560,672-64C-SB0-qq-e-d-560,4996338072610,672 64C SB0,CUSCO,SPORT G Tarmac,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ジムカーナターマック競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,248000,199100
スバル,インプレッサ,GRB/GRF,2007/10～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,167768,,242026,692-64C-SB0-qq-e-f1-595,692-64C-SB0-qq-e-d-595,4996338073655,692 64C SB0,CUSCO,SPORT G Tarmac,,,24/24,対応/対応,,,,,,全長調整式/全長調整式,単筒式,競技専用品/ジムカーナターマック競技用<br>オプションをご希望の場合、事前にお問合せください,バネは別売り,218000,177200
