自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
ABARTH,124スパイダー,NF2EK,2016/10～,,FR/1400T,175413,,241197,429-64R-CP-qq-e-f1-329,出さない,4996338073518,429 64R CP,CUSCO,SPORT R,ピロボール固定式/ピロボール固定式,12k(9・10・11・13・14・15・16・18)/8k(6・7・9・10・11・12・13・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-90～0/-105～0,-50～0/-35～0,-40/-35,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,出さない
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,スポーツ,FF/1600,190703,,241238,616-64R-CB-qq-e-f1-445,616-64R-CB-qq-e-d-445,4996338073358,616 64R CB,CUSCO,SPORT R,,12k(8・9・10・11・14・16)/10k(7・8・9・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-67～0/-55～-20,-50～0/-55～-20,-40/-40,65/65,レートによる/レートによる,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,248000,196100
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,スポーツ,FF/1600,190703,,241909,619-64R-CB-qq-e-f1-459,619-64R-CB-qq-e-d-459,4996338074904,619 64R CB,CUSCO,SPORT R,,12k(8・9・10・11・14・16)/10k(7・8・9・11・12・13・14・15)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-75～0/-66～-28,-50～-15/-55～-35,-40/-40,65/65,180/150,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,248000,196100
スズキ,スイフトスポーツ,ZC33S,2017/9～,,FF/1400T,190703,,241471,60J-64R-CB-qq-e-f1-421,60J-64R-CB-qq-e-d-421,4996338058669,60J 64R CB,CUSCO,SPORT R,,12k(11・13・14・15・16)/8k(7・10・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-75～0/-60～-30,-60～-25/-50～-30,-40/-40,65/専用形状,150/専用形状,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>車高調整時、バックフォグの高さ250mm以上の確保に注意が必要です<br>オプションをご希望の場合、事前にお問合せください,,248000,196100
スバル,BRZ,ZC6,2012/3～2016/7<br>2016/8～,RA/R/S/GT,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,190703,,241590,965-64R-CP-qq-e-f1-888,965-64R-CP-qq-e-d-888,4996338074287,965 64R CP,CUSCO,SPORT R,ピロボール調整式/ピロボール固定式,12k(7・8・9・10・11・13・14・15・16)/10k(7・8・9・11・12・13・14・15・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-55～0/-75～-5,前期:-25～0 後期:-40～0/-35～-5,-15/-25,65/65,150/150,全長調整式/全長調整式,単筒式,前期モデルは車高調整時、フォグランプの高さ(下端が地上から250mm以上)に注意が必要、純正-25mm辺りが参考限界値<br>フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,248000,196100
スバル,WRX STI,VAB,2014/8～,STI/STI タイプS,4WD/2000T,190703,,241931,6A1-64R-CP-qq-e-f1-619,6A1-64R-CP-qq-e-d-619,4996338074324,6A1 64R CP,CUSCO,SPORT R,ピロボール調整式/ピロボール固定式,14k(11・12・16)/16k(8・9・10・11・12・13・14・15・18・20)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-60～0/-55～0,-45～0/-45～0,-30/-25,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,248000,199100
スバル,インプレッサ,GC8,1992/11～2000/8,WRX/WRX-Sti/WRX-RA/WRX-Sti-RA/WRX-タイプR,4WD/2000T,205993,,241919,660-64R-CP-qq-e-f1-539,660-64R-CP-qq-e-d-539,4996338074485,660 64R CP,CUSCO,SPORT R,ピロボール調整式/ピロボール固定式,11k(7・8・9・10・12・14・16)/8k(5・6・7・9・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-120～0,-60～0/-65～0,-45/-45,65/65,180/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,268000,213700
スバル,インプレッサ,GDB,2000/8～2002/10<br>2002/11～2004/5,WRX Sti/WRX Sti タイプA/WRX Sti タイプA スペックC/S202/WRX Sti/WRX Sti スペックC/S203,4WD/2000T<br>アプライドA～B/アプライドC～D(PCD100),205993,,241503,667-64R-CP-qq-e-f1-552,667-64R-CP-qq-e-d-552,4996338073488,667 64R CP,CUSCO,SPORT R,ピロボール調整式/ピロボール調整式,12k(9・10・11・14・16)/9k(7・8・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-60～0/-120～0,-60～0/-75～0,-45/-45,65/65,レートによる/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,268000,213700
スバル,インプレッサ,GDA,2000/8～2002/10<br>2002/11～2007/6,WRX/NB/NB-R,4WD/2000T<br>アプライドA～B/アプライドC～G(PCD100),205993,,241740,667-64R-CP-qq-e-f1-551,667-64R-CP-qq-e-d-551,4996338073488,667 64R CP,CUSCO,SPORT R,ピロボール調整式/ピロボール調整式,12k(9・10・11・14・16)/9k(7・8・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-60～0/-120～0,-60～0/-75～0,-45/-45,65/65,レートによる/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,268000,213700
スバル,インプレッサ,GDB,2004/6～2007/6,WRX Sti/WRX Sti スペックC/S204/Aライン/RA-R,4WD/2000T<br>アプライドE～G(PCD114.3),205993,,241505,672-64R-CP-qq-e-f1-561,672-64R-CP-qq-e-d-561,4996338074096,672 64R CP,CUSCO,SPORT R,ピロボール調整式/ピロボール調整式,12k(9・10・11・14・16)/9k(7・8・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-60～0/-120～0,-50～0/-50～0,-35/-30,65/65,レートによる/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,268000,213700
