自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
ABARTH,124スパイダー,NF2EK,2016/10～,,FR/1400T,152478,,241444,429-64S-CN-qq-e-f1-332,出さない,4996338073501,429 64S CN,CUSCO,SPORT S,強化ゴム固定式/強化ゴム固定式,8k(7・9・10・11・12)/4k(5・6・7)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-80～0/-105～0,-50～0/-35～0,-40/-35,65/65,200/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,198000,出さない
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,スポーツ,FF/1600,167768,,241239,616-64S-CB-qq-e-f1-446,616-64S-CB-qq-e-d-446,4996338073341,616 64S CB,CUSCO,SPORT S,,7k(6・8・9・10)/4k(5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-55～0/-55～-25,-50～0/-50～-25,-30/-40,65/65,180/180,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,218000,174200
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,スポーツ,FF/1600,167768,,241474,619-64S-CB-qq-e-f1-460,619-64S-CB-qq-e-d-460,4996338074898,619 64S CB,CUSCO,SPORT S,,7k(6・8・9・10)/4k(5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-72～-15/-56～-28,-50～-15/-45～-30,-40/-40,65/65,200/180,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,218000,174200
スズキ,スイフトスポーツ,ZC33S,2017/9～,,FF/1400T,167768,,241225,60J-64S-CB-qq-e-f1-422,60J-64S-CB-qq-e-d-422,4996338058652,60J 64S CB,CUSCO,SPORT S,,7k(6・8・9・10)/5k(4・6・7)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-65～0/-55～-25,-60～-25/-50～-25,-40/-40,65/専用形状,180/専用形状,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>車高調整時、バックフォグの高さ250mm以上の確保に注意が必要<br>スプリング変更時、リヤ4kはスプリング色が黒になります<br>オプションをご希望の場合、事前にお問合せください,,218000,174200
スバル,BRZ,ZC6,2012/3～2016/7<br>2016/8～,RA/R/S/GT,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,175413,,241353,965-64S-CN-qq-e-f1-890,965-64S-CN-qq-e-d-890,4996338074072,965 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,8k(6・7・9・10・11・12)/7k(5・6・8・9・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-55～0/-60～0,前期:-25～0 後期:-40～0/-35～0,-15/-25,65/65,レートによる/180,全長調整式/全長調整式,単筒式,前期モデルは車高調整時、フォグランプの高さ(下端が地上から250mm以上)に注意が必要、純正-25mm辺りが参考限界値<br>フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,228000,181500
スバル,WRX STI,VAB,2014/8～,STI/STI タイプS,4WD/2000T,175413,,241519,6A1-64S-CN-qq-e-f1-620,6A1-64S-CN-qq-e-d-620,4996338074119,6A1 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,8k(7・9・10・11・12)/8k(6・7・9・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-60～0/-60～0,-45～0/-45～0,-30/-25,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,228000,184500
スバル,インプレッサ,GC8,1992/11～2000/8,WRX/WRX-Sti/WRX-RA/WRX-Sti-RA/WRX-タイプR,4WD/2000T,190703,,241264,660-64S-CN-qq-e-f1-540,660-64S-CN-qq-e-d-540,4996338074447,660 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,6k(5・7・8・9・10・11・12)/4k(3.3・3.6・5・6・7・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-90～-5/-120～0,-55～-15/-65～0,-40/-40,65/65,レートによる/250,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,248000,199100
スバル,インプレッサ,GDB,2000/8～2002/10<br>2002/11～2004/5,WRX Sti/WRX Sti タイプA/WRX Sti タイプA スペックC/S202/WRX Sti/WRX Sti スペックC/S203,4WD/2000T<br>アプライドA～B/アプライドC～D(PCD100),190703,,241922,667-64S-CN-qq-e-f1-554,667-64S-CN-qq-e-d-554,4996338073495,667 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,7k(6・8・9・10)/5k(6・7・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-80～0/-120～0,-60～-10/-75～0,-45/-45,65/65,200/200,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,248000,199100
スバル,インプレッサ,GDA,2000/8～2002/10<br>2002/11～2007/6,WRX/NB/NB-R,4WD/2000T<br>アプライドA～B/アプライドC～G(PCD100),190703,,241265,667-64S-CN-qq-e-f1-553,667-64S-CN-qq-e-d-553,4996338073495,667 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,7k(6・8・9・10)/5k(6・7・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-80～0/-120～0,-60～-10/-75～0,-45/-45,65/65,200/200,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,248000,199100
スバル,インプレッサ,GDB,2004/6～2007/6,WRX Sti/WRX Sti スペックC/S204/Aライン/RA-R,4WD/2000T<br>アプライドE～G(PCD114.3),190703,,241743,672-64S-CN-qq-e-f1-562,672-64S-CN-qq-e-d-562,4996338074300,672 64S CN,CUSCO,SPORT S,ピロボール調整式/強化ゴム固定式,8k(7・9・10・11・12)/5k(6・7・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24/24,対応/対応,-70～0/-120～0,-50～0/-50～0,-35/-35,65/73,200/250,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,248000,199100
