自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
ABARTH,124スパイダー,NF2EK,2016/10～,,FR/1400T,221283,,241687,429-64V-CP-qq-e-f1-335,出さない,4996338058270,429 64V CP,CUSCO,SPORT TN_R,ピロボール固定式/ピロボール固定式,12k(9・10・11・13・14・15・16・18)/8k(6・7・9・10・11・12・13・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-75～0/-85～0,-50～0/-35～0,-40/-35,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,288000,出さない
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,スポーツ,FF/1600,228928,,241243,619-64V-CB-qq-e-f1-461,619-64V-CB-qq-e-d-461,4996338058768,619 64V CB,CUSCO,SPORT TN_R,,12k(10・11・14・16)/10k(7・8・9・11・12・13・14・15・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-75～0/-65～-30,-50～-15/-55～-35,-40/-40,65/65,180/150,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,298000,232600
スズキ,スイフトスポーツ,ZC33S,2017/9～,,FF/1400T,228928,,241226,60J-64V-CB-qq-e-f1-423,60J-64V-CB-qq-e-d-423,4996338058683,60J 64V CB,CUSCO,SPORT TN_R,,12k(11・13・14・15・16)/8k(7・10・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-75～0/-60～-25,-60～-25/-50～-25,-40/-40,65/専用形状,150/専用形状,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>車高調整時、バックフォグの高さ250mm以上の確保に注意が必要です<br>オプションをご希望の場合、事前にお問合せください,,298000,232600
スバル,BRZ,ZC6,2012/3～2016/7<br>2016/8～,RA/R/S/GT,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,236572,,241355,965-64V-CP-qq-e-f1-892,965-64V-CP-qq-e-d-892,4996338058225,965 64V CP,CUSCO,SPORT TN_R,ピロボール調整式/ピロボール固定式,12k(7・8・9・10・11・13・14・15・16)/10k(7・8・9・11・12・13・14・15・16・18)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-55～0/-70～0,前期:-25～0 後期:-40～0/-35～0,-15/-25,65/65,150/150,全長調整式/全長調整式,単筒式,前期モデルは車高調整時、フォグランプの高さ(下端が地上から250mm以上)に注意が必要、純正-25mm辺りが参考限界値<br>フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,308000,239900
スバル,WRX STI,VAB,2014/8～,STI/STI タイプS,4WD/2000T,236572,,241932,6A1-64V-CP-qq-e-f1-621,6A1-64V-CP-qq-e-d-621,4996338058300,6A1 64V CP,CUSCO,SPORT TN_R,ピロボール調整式/ピロボール固定式,14k(11・12・16・18)/16k(8・9・10・11・12・13・14・15・18・20)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-60～0/-55～0,-45～0/-45～0,-30/-25,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,308000,242900
スバル,インプレッサ,GRB/GRF,2007/10～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,236572,,241276,692-64V-CP-qq-e-f1-601,692-64V-CP-qq-e-d-601,4996338058287,692 64V CP,CUSCO,SPORT TN_R,ピロボール調整式/ピロボール固定式,12k(9・10・11・14・16・18)/14k(10・11・12・13・15・16・18・20)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-60～0/-55～0,-50～0/-55～-10,-35/-30,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,308000,242900
スバル,インプレッサ,GVB/GVF,2010/7～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,236572,,241277,692-64V-CP-qq-e-f1-602,692-64V-CP-qq-e-d-602,4996338058287,692 64V CP,CUSCO,SPORT TN_R,ピロボール調整式/ピロボール固定式,12k(9・10・11・14・16・18)/14k(10・11・12・13・15・16・18・20)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-60～0/-60～-5,-50～0/-60～-15,-35/-35,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,308000,242900
トヨタ,86,ZN6,2012/4～2016/7<br>2016/8～,GTリミテッド/GT/G/RC,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,236572,,241354,965-64V-CP-qq-e-f1-891,965-64V-CP-qq-e-d-891,4996338058225,965 64V CP,CUSCO,SPORT TN_R,ピロボール調整式/ピロボール固定式,12k(7・8・9・10・11・13・14・15・16)/10k(7・8・9・11・12・13・14・15・16・18)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-55～0/-70～0,前期:-15～0 後期:-40～0/-35～0,-15/-25,65/65,150/150,全長調整式/全長調整式,単筒式,前期モデルは車高調整時、フロントバンパーウィンカーレンズの高さ(下端が地上から350mm以上)に注意が必要、純正-15mm辺りが参考限界値<br>フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,308000,239900
ホンダ,S2000,AP1/AP2,1999/4～2009/9,,FR/2000・2200,221283,,241881,380-64V-CP-qq-e-f1-212,380-64V-CP-qq-e-d-212,4996338058751,380 64V CP,CUSCO,SPORT TN_R,ピロボール固定式/ピロボール固定式,18k(9・10・11・14・16)/20k(14・15・16・18・22・24)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-75～0/-80～0,-45～0/-70～0,-30/-40,65/65,150/135,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,288000,225300
ホンダ,インテグラタイプR,DC2,1995/10～2001/7,タイプR,FF/1800,221283,,241875,321-64V-CP-qq-e-f1-176,321-64V-CP-qq-e-d-176,4996338058256,321 64V CP,CUSCO,SPORT TN_R,ピロボール固定式/ピロボール固定式,22k(16・18・20・24・26)/18k(14・15・16・20・22)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-80～-10/-90～0,-45～-10/-50～0,-40/-35,65/65,135/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,288000,225300
