自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
ABARTH,124スパイダー,NF2EK,2016/10～,,FR/1400T,198348,,241201,429-64W-CN-qq-e-f1-338,出さない,4996338058355,429 64W CN,CUSCO,SPORT TN_S,強化ゴム固定式/強化ゴム固定式,8k(7・9・10・11・12)/4k(5・6・7)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-75～0/-100～0,-50～0/-35～0,-40/-35,65/65,200/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,258000,出さない
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,スポーツ,FF/1600,213638,,241244,619-64W-CB-qq-e-f1-462,619-64W-CB-qq-e-d-462,4996338058775,619 64W CB,CUSCO,SPORT TN_S,,7k(6・8・9)/4k(5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-70～-15/-55～-30,-50～-15/-45～-30,-40/-40,65/65,200/180,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,278000,218000
スズキ,スイフトスポーツ,ZC33S,2017/9～,,FF/1400T,213638,,241706,60J-64W-CB-qq-e-f1-424,60J-64W-CB-qq-e-d-424,4996338058676,60J 64W CB,CUSCO,SPORT TN_S,,7k(6・8・9・10)/5k(4・6・7)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-65～0/-55～-25,-60～-25/-50～-25,-40/-40,65/専用形状,180/専用形状,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>車高調整時、バックフォグの高さ250mm以上の確保に注意が必要<br>スプリング変更時、リヤ4kはスプリング色が黒になります<br>オプションをご希望の場合、事前にお問合せください,,278000,218000
スバル,BRZ,ZC6,2012/3～2016/7<br>2016/8～,RA/R/S/GT,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,221283,,241357,965-64W-CN-qq-e-f1-894,965-64W-CN-qq-e-d-894,4996338058324,965 64W CN,CUSCO,SPORT TN_S,ピロボール調整式/強化ゴム固定式,8k(7・9・10・11・12・13)/8k(7・9・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-40～0/-55～0,前期:-25～0 後期:-40～0/-35～0,-15/-25,65/65,レートによる/150,全長調整式/全長調整式,単筒式,前期モデルは車高調整時、フォグランプの高さ(下端が地上から250mm以上)に注意が必要、純正-25mm辺りが参考限界値<br>フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,288000,225300
スバル,WRX STI,VAB,2014/8～,STI/STI タイプS,4WD/2000T,221283,,241933,6A1-64W-CN-qq-e-f1-622,6A1-64W-CN-qq-e-d-622,4996338058386,6A1 64W CN,CUSCO,SPORT TN_S,ピロボール調整式/強化ゴム固定式,8k(9・10・11・12)/8k(6・7・9・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-60～0/-45～0,-45～0/-45～0,-30/-25,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,288000,228300
スバル,インプレッサ,GRB/GRF,2007/10～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,221283,,241927,692-64W-CN-qq-e-f1-603,692-64W-CN-qq-e-d-603,4996338058362,692 64W CN,CUSCO,SPORT TN_S,ピロボール調整式/強化ゴム固定式,8k(7・9・10・11・12)/8k(7・9・10・11)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-70～0/-50～0,-50～0/-50～0,-35/-30,65/65,200/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,288000,228300
スバル,インプレッサ,GVB/GVF,2010/7～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,221283,,241515,692-64W-CN-qq-e-f1-604,692-64W-CN-qq-e-d-604,4996338058362,692 64W CN,CUSCO,SPORT TN_S,ピロボール調整式/強化ゴム固定式,8k(7・9・10・11・12)/8k(7・9・10・11)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-70～0/-55～-5,-50～0/-55～-5,-35/-35,65/65,200/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,288000,228300
トヨタ,86,ZN6,2012/4～2016/7<br>2016/8～,GTリミテッド/GT/G/RC,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,221283,,241356,965-64W-CN-qq-e-f1-893,965-64W-CN-qq-e-d-893,4996338058324,965 64W CN,CUSCO,SPORT TN_S,ピロボール調整式/強化ゴム固定式,8k(7・9・10・11・12・13)/8k(7・9・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-40～0/-55～0,前期:-15～0 後期:-40～0/-35～0,-15/-25,65/65,レートによる/150,全長調整式/全長調整式,単筒式,前期モデルは車高調整時、フロントバンパーウィンカーレンズの高さ(下端が地上から350mm以上)に注意が必要、純正-15mm辺りが参考限界値<br>フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,288000,225300
ホンダ,フィット,GK3/GK5,2013/9～,F/L/S/RS,FF/1300・1500,213638,,241893,3A2-64W-CB-qq-e-f1-283,3A2-64W-CB-qq-e-d-283,4996338058744,3A2 64W CB,CUSCO,SPORT TN_S,,7k(6・8・9・10)/6k(4・5・7・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-65～0/-45～-10,-45～0/-45～-10,-30/-30,65/65,180/180,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能(参考車高時キャンバー参考値-2.0～-4.5°)<br>オプションをご希望の場合、事前にお問合せください,,278000,218000
マツダ,ロードスター,NA6CE/NA8C,1989/9～1998/1,1.6/1.8/Vスペシャル/Sスペシャル,FR/1600・1800,198348,,241677,404-64W-CN-qq-e-f1-309,404-64W-CN-qq-e-d-309,4996338058348,404 64W CN,CUSCO,SPORT TN_S,強化ゴム固定式/強化ゴム固定式,8k(7・9・10・11・12・14)/6k(5・7・8・9・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(2way)/24(2way),対応/対応,-65～0/-50～-5,-50～-15/-50～-5,-45/-35,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,258000,203400
