自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,スポーツ,FF/1600,297733,,241711,616-64X-CB-qq-e-f1-447,616-64X-CB-qq-e-d-447,4996338072009,616 64X CB,CUSCO,SPORT X,,12k(8・9・10・11・14・16)/10k(7・8・9・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(3way)/24(3way),対応/対応,-45～0/-55～-20,-45～0/-55～-20,-30/-35,65/65,180/150,全長調整式/ネジスペーサー,単筒式,ナックル偏心ボルトによりフロントキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,388000,298300
スバル,BRZ,ZC6,2012/3～2016/7<br>2016/8～,RA/R/S/GT,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,320668,,241984,965-64X-CP-qq-e-f1-896,965-64X-CP-qq-e-d-896,4996338073600,965 64X CP,CUSCO,SPORT X,ピロボール調整式/ピロボール固定式,12k(7・8・9・10・11・13・14・15・16)/10k(7・8・9・11・12・13・14・15・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(3way)/24(3way),対応/対応,-53～0/-60～-15,前期:-25～0 後期:-40～0/-35～-15,-15/-25,65/65,150/150,全長調整式/全長調整式,単筒式,前期モデルは車高調整時、フォグランプの高さ(下端が地上から250mm以上)に注意が必要、純正-25mm辺りが参考限界値<br>フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,418000,320200
スバル,WRX STI,VAB,2014/8～,STI/STI タイプS,4WD/2000T,320668,,241281,6A1-64X-CP-qq-e-f1-623,6A1-64X-CP-qq-e-d-623,4996338075994,6A1 64X CP,CUSCO,SPORT X,ピロボール調整式/ピロボール固定式,14k(11・12・16)/16k(11・12・13・14・15・18・20)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(3way)/24(3way),対応/対応,-60～0/-55～0,-45～0/-45～0,-30/-25,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,418000,323200
スバル,インプレッサ,GDB,2000/8～2002/10<br>2002/11～2004/5,WRX Sti/WRX Sti タイプA/WRX Sti タイプA スペックC/S202/WRX Sti/WRX Sti スペックC/S203,4WD/2000T<br>アプライドA～B/アプライドC～D(PCD100),335958,,241742,667-64X-CP-qq-e-f1-556,667-64X-CP-qq-e-d-556,4996338072429,667 64X CP,CUSCO,SPORT X,ピロボール調整式/ピロボール調整式,12k(9・10・11・14・16)/9k(7・8・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(3way)/24(3way),対応/対応,-60～0/-120～0,-60～0/-75～0,-45/-45,65/65,レートによる/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,438000,337800
スバル,インプレッサ,GDA,2000/8～2002/10<br>2002/11～2007/6,WRX/NB/NB-R,4WD/2000T<br>アプライドA～B/アプライドC～G(PCD100),335958,,241741,667-64X-CP-qq-e-f1-555,667-64X-CP-qq-e-d-555,4996338072429,667 64X CP,CUSCO,SPORT X,ピロボール調整式/ピロボール調整式,12k(9・10・11・14・16)/9k(7・8・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(3way)/24(3way),対応/対応,-60～0/-120～0,-60～0/-75～0,-45/-45,65/65,レートによる/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,438000,337800
スバル,インプレッサ,GDB,2004/6～2007/6,WRX Sti/WRX Sti スペックC/S204/Aライン/RA-R,4WD/2000T<br>アプライドE～G(PCD114.3),335958,,241506,672-64X-CP-qq-e-f1-563,672-64X-CP-qq-e-d-563,4996338068019,672 64X CP,CUSCO,SPORT X,ピロボール調整式/ピロボール調整式,12k(9・10・11・14・16)/9k(7・8・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(3way)/24(3way),対応/対応,-60～0/-120～0,-50～0/-50～0,-35/-30,65/65,レートによる/180,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,438000,337800
スバル,インプレッサ,GRB/GRF,2007/10～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,320668,,241928,692-64X-CP-qq-e-f1-605,692-64X-CP-qq-e-d-605,4996338074454,692 64X CP,CUSCO,SPORT X,ピロボール調整式/ピロボール調整式,12k(9・10・11・14・16)/14k(9・10・12・16・18・20)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(3way)/24(3way),対応/対応,-60～0/-60～-20,-60～0/-60～-20,-35/-30,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,418000,323200
スバル,インプレッサ,GVB/GVF,2010/7～2014/8,WRX Sti/Aライン,4WD/2000T・2500T,320668,,241516,692-64X-CP-qq-e-f1-606,692-64X-CP-qq-e-d-606,4996338074454,692 64X CP,CUSCO,SPORT X,ピロボール調整式/ピロボール調整式,12k(9・10・11・14・16)/14k(9・10・12・16・18・20)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(3way)/24(3way),対応/対応,-60～0/-65～-25,-60～0/-60～-20,-35/-35,65/65,レートによる/レートによる,全長調整式/全長調整式,単筒式,オプションをご希望の場合、事前にお問合せください,,418000,323200
トヨタ,86,ZN6,2012/4～2016/7<br>2016/8～,GTリミテッド/GT/G/RC,FR/2000<br>前期モデル アプライドA-D<br>後期モデル アプライドE-,320668,,241591,965-64X-CP-qq-e-f1-895,965-64X-CP-qq-e-d-895,4996338073600,965 64X CP,CUSCO,SPORT X,ピロボール調整式/ピロボール固定式,12k(7・8・9・10・11・13・14・15・16)/10k(7・8・9・11・12・13・14・15・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(3way)/24(3way),対応/対応,-53～0/-60～-15,前期:-15～0 後期:-40～0/-35～-15,-15/-25,65/65,150/150,全長調整式/全長調整式,単筒式,前期モデルは車高調整時、フロントバンパーウィンカーレンズの高さ(下端が地上から350mm以上)に注意が必要、純正-15mm辺りが参考限界値<br>フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,418000,320200
ホンダ,CR-Z,ZF1/ZF2,2010/2～2017/1,α,FF/1500,297733,,241873,309-64X-CB-qq-e-f1-163,309-64X-CB-qq-e-d-163,4996338073396,309 64X CB,CUSCO,SPORT X,,10k(7・8・9・11・12・14)/9k(6・7・8・10・11・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,24(3way)/24(3way),対応/対応,-55～0/-65～-35,-55～0/-60～-35,-45/-48,65/65,180/180,全長調整式/スペーサー調整式,単筒式,フロントはナックル偏心ボルトによりキャンバー調整が可能<br>オプションをご希望の場合、事前にお問合せください,,388000,298300
