自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
スズキ,Kei/Keiワークス,HN22S,2003/9～2007/5,,FF・4WD/660・660T<br>7～9型,72000,,241480,629-62K-CBF-qq-e-f1-1121,629-62K-CBF-qq-e-d-1121,4996338076113,629 62K CBF,CUSCO,STREET,,4k(5・6)/2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-85～-35/-25～0,-60～-40/-25～0,-45/-25,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,MRワゴン,MF21S,2001/11～2004/2<br>2004/2～2005/12,E/T/X/ターボ<br>E/G/GL/GS/X/ターボ,FF・4WD/660・660T,72000,,241707,613-62K-CBF-qq-e-f1-429,613-62K-CBF-qq-e-d-429,4996338073143,613 62K CBF,CUSCO,STREET,,4k(5・6)/2.2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-80～-30/-51～-20,-55～-35/-50～-20,-40/-45,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,車高ダウン時バンプラバーのカットが必要な場合あり<br>オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,MRワゴン,MF22S,2006/1～2009/5,G/T/X,FF/660<br>1～2型,72000,,241915,631-62K-CBF-qq-e-f1-498,631-62K-CBF-qq-e-d-498,4996338076182,631 62K CBF,CUSCO,STREET,,4k(5・6)/2.2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-65～-20/-45～-15,-50～-20/-45～-15,-35/-40,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,MRワゴンWit,MF22S,2006/1～2009/5,GS/TS/XS,FF/660,72000,,241731,631-62K-CBF-qq-e-f1-499,631-62K-CBF-qq-e-d-499,4996338076182,631 62K CBF,CUSCO,STREET,,4k(5・6)/2.2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-65～-20/-45～-15,-50～-20/-45～-15,-35/-40,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,アルト,HA24S,2004/9～2009/12,E/EII/G/GII/X,FF/660,72000,,241252,631-62K-CBF-qq-e-f1-500,631-62K-CBF-qq-e-d-500,4996338076182,631 62K CBF,CUSCO,STREET,,4k(5・6)/2.2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-65～-20/-45～-15,-50～-20/-45～-15,-35/-40,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,スイフト,ZC11S,2004/11～2010/9,XS/XG/XE,FF/1300,72000,,241236,616-62K-CBF-qq-e-f1-440,616-62K-CBF-qq-e-d-440,4996338073167,616 62K CBF,CUSCO,STREET,,7k(6・8・9)/4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-45～-15/-52～-30,-45～-15/-50～-30,-30/-30,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,スイフト,ZC72S,2010/9～2017/1,XG/XL/XS,FF/1200,72000,,241715,618-62K-CBF-qq-e-f1-452,618-62K-CBF-qq-e-d-452,4996338076083,618 62K CBF,CUSCO,STREET,,4.5k/3.5k(4・5)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-80～-30/-45～-30,-55～-30/-45～-25,-40/-40,専用形状/65,専用形状/200,全長固定式/ネジスペーサー,青,参考車高時、フロントキャンバー角がネガティブ方向に約0.7°変化します<br>オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,スポーツ,FF/1600,72000,,241237,616-62K-CBF-qq-e-f1-441,616-62K-CBF-qq-e-d-441,4996338073167,616 62K CBF,CUSCO,STREET,,7k(6・8・9)/4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-45～-15/-62～-40,-45～-15/-60～-40,-30/-40,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,スポーツ,FF/1600,72000,,241241,618-62K-CBF-qq-e-f1-453,618-62K-CBF-qq-e-d-453,4996338076083,618 62K CBF,CUSCO,STREET,,4.5k/3.5k(4・5)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-80～-30/-46～-25,-55～-30/-45～-25,-40/-40,専用形状/65,専用形状/200,全長固定式/ネジスペーサー,青,参考車高時、フロントキャンバー角がネガティブ方向に約0.7°変化します<br>オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,スペーシア,MK32S,2013/3～,G/X/Xリミテッド/T,4WD/660・660T,72000,,241492,638-62K-CBF-qq-e-f1-1058,638-62K-CBF-qq-e-d-1058,4996338076267,638 62K CBF,CUSCO,STREET,,3.5k/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-45～-20/-60・-50・-40・-30,-40～-20/-50・-40・-30,-30/-40,専用形状/専用形状,専用形状/専用形状,全長固定式/スペーサー調整式,青,オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,スペーシア,MK32S,2013/3～,T,FF/660T<br>グレードTのみ取付可(G/X/Xリミテッド取付不可),72000,,241495,639-62K-CBF-qq-e-f1-1057,639-62K-CBF-qq-e-d-1057,4996338076274,639 62K CBF,CUSCO,STREET,,3.5k/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-45～-20/-50・-40・-30,-40～-20/-50・-40・-30,-30/-30,専用形状/専用形状,専用形状/専用形状,全長固定式/スペーサー調整式,青,オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,スペーシアカスタム,MK32S,2013/6～,GS/XS/XSリミテッド/TS,4WD/660・660T,72000,,241493,638-62K-CBF-qq-e-f1-1062,638-62K-CBF-qq-e-d-1062,4996338076267,638 62K CBF,CUSCO,STREET,,3.5k/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-45～-20/-60・-50・-40・-30,-40～-20/-50・-40・-30,-30/-40,専用形状/専用形状,専用形状/専用形状,全長固定式/スペーサー調整式,青,オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,スペーシアカスタム,MK32S,2013/6～,GS/XS/XSリミテッド/TS,FF/660・660T,72000,,241496,639-62K-CBF-qq-e-f1-1061,639-62K-CBF-qq-e-d-1061,4996338076274,639 62K CBF,CUSCO,STREET,,3.5k/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-45～-20/-50・-40・-30,-40～-20/-50・-40・-30,-30/-30,専用形状/専用形状,専用形状/専用形状,全長固定式/スペーサー調整式,青,オプションをご希望の場合、事前にお問合せください,,100000,83000
スズキ,セルボ,HG21S,2006/11～2007/9,G/T/TX,FF/660・660T,72000,,241485,631-62K-CBF-qq-e-f1-502,631-62K-CBF-qq-e-d-502,4996338076182,631 62K CBF,CUSCO,STREET,,4k(5・6)/2.2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-60～-15/-45～-15,-45～-15/-45～-15,-30/-40,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,100000,83000
