自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
AUDI,A1,8XCAX,2011/1～,TFSI,FF/1400<br>電子制御サスペンション車は適合不可,115200,,241834,VW2-61J-CB-qq-e-f1-1411,VW2-61J-CB-qq-e-d-1411,4996338098696,VW2 61J CB,CUSCO,STREET A,,6k(7・8)/4k(3.5・5)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,,,,65/65,200/200,全長固定式/ネジスペーサー,赤,リヤの減衰調整時には、ショックアブソーバーを取り外す必要あり<br>e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,160000,148800
BMW,3シリーズ E90/E91/E92,WA20/VA20/VR20/VB23/VB25/VB30/VB35,2005/4～2011/12,320iクーペ/320i/320iツーリング/323i/325i/330i/335i,FR/2000・2500・3000<br>電子制御サスペンション車は適合不可,115200,,241360,BM3-61J-CB-qq-e-f1-1404,出さない,4996338098672,BM3 61J CB,CUSCO,STREET A,,6k(7・8)/8k(9・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-35～-15/-57～-19,-35～-15/-35～-20,-25/-25,65/65,200/250,全長固定式/ネジスペーサー,赤,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,160000,出さない
BMW,3シリーズ F30,3A20/3B20/3A30,2012/1～,328i/320i/335i,FR/2000・3000<br>電子制御サスペンション車は適合不可,115200,,241832,BM7-61J-CB-qq-e-f1-1395,BM7-61J-CB-qq-e-d-1395,4996338098689,BM7 61J CB,CUSCO,STREET A,,4k/12k(10・11・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-50～-10/-50～-10,-45～-10/-45～-10,-25/-20,専用形状/65,専用形状/200,全長固定式/ネジスペーサー,赤,リヤの減衰調整時には、ショックアブソーバーを取り外す必要あり<br>e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,160000,143800
VOLKSWAGEN,ポロ,9NBUD/9NBJX/9NBKY/9NBBY,2002/5～2009/10,トレンドライン/コンフォートライン/GTI,FF/1400・1800<br>電子制御サスペンション車は適合不可,115200,,241833,VW0-61J-CB-qq-e-f1-1409,VW0-61J-CB-qq-e-d-1409,4996338098719,VW0 61J CB,CUSCO,STREET A,,6k(7・8)/4k(3.5・5)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-30～0/-35～-5,-30～-10/-30～-15,-20/-30,73/65,200/200,全長固定式/ネジスペーサー,赤,リヤの減衰調整時には、ショックアブソーバーを取り外す必要あり<br>e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,160000,143800
VOLKSWAGEN,ポロ,6RCTH/6RCBZ/6RCAV/6RCGG,2009/10～,GTI/TSIコンフォートライン/TSIハイラインコンフォートライン,FF/1200・1400<br>電子制御サスペンション車は適合不可,115200,,241361,VW2-61J-CB-qq-e-f1-1410,VW2-61J-CB-qq-e-d-1410,4996338098696,VW2 61J CB,CUSCO,STREET A,,6k(7・8)/4k(3.5・5)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-35～0/-35～-5,-35～0/-30～-15,-25/-30,65/65,200/200,全長固定式/ネジスペーサー,赤,リヤの減衰調整時には、ショックアブソーバーを取り外す必要あり<br>e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,160000,143800
スズキ,Kei/Keiワークス,HN22S,2003/9～2007/5,,FF・4WD/660・660T<br>7～9型,82080,,241248,629-62J-CBF-qq-e-f1-1120,629-62J-CBF-qq-e-d-1120,4996338076120,629 62J CBF,CUSCO,STREET A,,3.5k(4・5)/2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/14,対応/非対応,-80～-5/-25～0,-55～-25/-25～0,-30/-25,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,114000,92600
スズキ,MRワゴン,MF21S,2001/11～2004/2<br>2004/2～2005/12,E/T/X/ターボ<br>E/G/GL/GS/X/ターボ,FF・4WD/660・660T,79200,,241227,613-62J-CBF-qq-e-f1-425,613-62J-CBF-qq-e-d-425,4996338073150,613 62J CBF,CUSCO,STREET A,,3.5k(4・5)/2.2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/14,対応/非対応,-75～-15/-50～-20,-50～-20/-50～-20,-35/-45,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,110000,89800
スズキ,MRワゴン,MF22S,2006/1～2009/5,G/T/X,FF/660<br>1～2型,82080,,241250,631-62J-CBF-qq-e-f1-489,631-62J-CBF-qq-e-d-489,4996338076199,631 62J CBF,CUSCO,STREET A,,3.5k(4・5)/2.2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/14,対応/非対応,-65～-5/-45～-15,-50～-20/-45～-15,-45/-40,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,114000,92600
スズキ,MRワゴンWit,MF22S,2006/1～2009/5,GS/TS/XS,FF/660,82080,,241481,631-62J-CBF-qq-e-f1-490,631-62J-CBF-qq-e-d-490,4996338076199,631 62J CBF,CUSCO,STREET A,,3.5k(4・5)/2.2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/14,対応/非対応,-65～-5/-45～-15,-50～-20/-45～-15,-45/-40,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,114000,92600
スズキ,アルト,HA24S,2004/9～2009/12,E/EII/G/GII/X,FF/660,82080,,241482,631-62J-CBF-qq-e-f1-491,631-62J-CBF-qq-e-d-491,4996338076199,631 62J CBF,CUSCO,STREET A,,3.5k(4・5)/2.2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/14,対応/非対応,-70～-10/-40～-10,-55～-25/-40～-10,-40/-35,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,114000,92600
