自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
ABARTH,124スパイダー,NF2EK,2016/10～,,FR/1400T,87840,,241686,429-61P-CN-qq-e-f1-930,出さない,4996338049049,429 61P CN,CUSCO,STREET ZERO,強化ゴム固定式/強化ゴム固定式,6k(5・7・8・9)/3.5k(3・4・5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,非対応/非対応,-110～-5/-95～-15,-50～-5/-35～-15,-40/-35,65/65,200/200,全長調整式/全長調整式,赤,オプションをご希望の場合、事前にお問合せください,,122000,出さない
スズキ,MRワゴン,MF21S,2001/11～2004/2<br>2004/2～2005/12,E/T/X/ターボ<br>E/G/GL/GS/X/ターボ,FF・4WD/660・660T,84960,,241708,613-62P-CBF-qq-e-f1-1116,613-62P-CBF-qq-e-d-1116,4996338071002,613 62P CBF,CUSCO,STREET ZERO,,3.5k(3・4)/2.2k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-85～-5/-50～-20,-45～-10/-50～-20,-35/-45,65/専用形状,200/専用形状,全長調整式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,118000,95300
スズキ,アルトターボRS,HA36S,2015/3～,,4WD/660T,84960,,241223,60A-62P-CBF-qq-e-f1-1109,60A-62P-CBF-qq-e-d-1109,4996338078568,60A 62P CBF,CUSCO,STREET ZERO,,4k(3.5・5)/2.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-65～0/-40・-30・-20,-40～-10/-40・-30・-20,-30/-30,65/専用形状,180(変更SPは200)/専用形状,全長調整式/スペーサー調整式,青,オプションをご希望の場合、事前にお問合せください,,118000,95300
スズキ,アルトターボRS,HA36S,2015/3～,,FF/660T,84960,,241720,623-62P-CBF-qq-e-f1-1110,623-62P-CBF-qq-e-d-1110,4996338049087,623 62P CBF,CUSCO,STREET ZERO,,4k(3.5・5)/2.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-65～0/-65～-5,-40～-10/-35～-10,-30/-30,65/専用形状,180(変更SPは200)/専用形状,全長調整式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,118000,95300
スズキ,アルトワークス,HA36S,2015/12～,,4WD/660T,84960,,241222,60A-62P-CBF-qq-e-f1-1107,60A-62P-CBF-qq-e-d-1107,4996338078568,60A 62P CBF,CUSCO,STREET ZERO,,4k(3.5・5)/2.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-75～0/-45・-35・-25,-50～-20/-45・-35・-25,-40/-35,65/専用形状,180(変更SPは200)/専用形状,全長調整式/スペーサー調整式,青,オプションをご希望の場合、事前にお問合せください,,118000,95300
スズキ,アルトワークス,HA36S,2015/12～,,FF/660T,84960,,241247,623-62P-CBF-qq-e-f1-1108,623-62P-CBF-qq-e-d-1108,4996338049087,623 62P CBF,CUSCO,STREET ZERO,,4k(3.5・5)/2.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-75～0/-45～-10,-50～-20/-40～-15,-40/-35,65/専用形状,180(変更SPは200)/専用形状,全長調整式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,118000,95300
スズキ,イグニスハイブリッド,FF21S,2016/2～,ハイブリッドMG/ハイブリッドMX/ハイブリッドMZ,FF/1200,84960,,241469,60F-62P-CBF-qq-e-f1-418,60F-62P-CBF-qq-e-d-418,4996338078612,60F 62P CBF,CUSCO,STREET ZERO,,3.5k(4)/2.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-70～0/-65～-35,-55～-25/-65～-40,-40/-40,65/専用形状,200/専用形状,全長調整式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,118000,95300
スズキ,スイフト,ZC11S,2004/11～2010/9,XS/XG/XE,FF/1300,84960,,241713,617-62P-CBF-qq-e-f1-449,617-62P-CBF-qq-e-d-449,4996338076014,617 62P CBF,CUSCO,STREET ZERO,,4.5k/4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-55～0/-52～-30,-50～-10/-50～-30,-30/-30,専用形状/専用形状,専用形状/専用形状,全長調整式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,118000,95300
スズキ,スイフト,ZC72S,2010/9～2017/1,XG/XL/XS,FF/1200,84960,,241242,618-62P-CBF-qq-e-f1-455,618-62P-CBF-qq-e-d-455,4996338076045,618 62P CBF,CUSCO,STREET ZERO,,4.5k/3.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-/14,非対応/非対応,-63～0/-45～-30,-45～-10/-45～-30,-35/-40,専用形状/65,専用形状/200,全長調整式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,118000,95300
スズキ,スイフトスポーツ,HT81S,2003/6～2005/5,スポーツ,FF/1500,92160,,241709,615-62P-CN-qq-e-f1-1040,615-62P-CN-qq-e-d-1040,4996338092328,615 62P CN,CUSCO,STREET ZERO,ピロボール調整式/-,7k(6・8・9・10)/3.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,非対応/非対応,-90～0/-45～-15,-45～0/-45～-20,-35/-35,65/専用形状,200/専用形状,全長調整式/ネジスペーサー,青,オプションをご希望の場合、事前にお問合せください,,128000,102100
