自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
ABARTH,124スパイダー,NF2EK,2016/10～,,FR/1400T,108000,,241685,429-61N-CN-qq-e-f1-931,出さない,4996338049018,429 61N CN,CUSCO,STREET ZERO A,強化ゴム固定式/強化ゴム固定式,6k(5・7・8・9)/3.5k(3・4・5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-110～-5/-95～-5,-50～-5/-35～-5,-40/-35,65/65,200/200,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1010)<br>オプションをご希望の場合、事前にお問合せください,,150000,出さない
スズキ,アルトターボRS,HA36S,2015/3～,,4WD/660T,100800,,241905,60A-62N-CB-qq-e-f1-414,60A-62N-CB-qq-e-d-414,4996338078711,60A 62N CB,CUSCO,STREET ZERO A,,4k(3.5・5)/2.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-65～0/-40・-30・-20,-40～-10/-40・-30・-20,-30/-30,65/専用形状,180(変更SPは200)/専用形状,全長調整式/スペーサー調整式,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,140000,110200
スズキ,アルトターボRS,HA36S,2015/3～,,FF/660T,100800,,241246,623-62N-CB-qq-e-f1-471,623-62N-CB-qq-e-d-471,4996338078681,623 62N CB,CUSCO,STREET ZERO A,,4k(3.5・5)/2.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-65～0/-65～-5,-40～-10/-35～-10,-30/-30,65/専用形状,180(変更SPは200)/専用形状,全長調整式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,140000,110200
スズキ,アルトワークス,HA36S,2015/12～,,4WD/660T,100800,,241468,60A-62N-CB-qq-e-f1-415,60A-62N-CB-qq-e-d-415,4996338078711,60A 62N CB,CUSCO,STREET ZERO A,,4k(3.5・5)/2.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-75～0/-45・-35・-25,-50～-20/-45・-35・-25,-40/-35,65/専用形状,180(変更SPは200)/専用形状,全長調整式/スペーサー調整式,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,140000,110200
スズキ,アルトワークス,HA36S,2015/12～,,FF/660T,100800,,241478,623-62N-CB-qq-e-f1-472,623-62N-CB-qq-e-d-472,4996338078681,623 62N CB,CUSCO,STREET ZERO A,,4k(3.5・5)/2.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-75～0/-45～-10,-55～-20/-40～-15,-40/-35,65/専用形状,180(変更SPは200)/専用形状,全長調整式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,140000,110200
スズキ,スイフト,ZC11S,2004/11～2010/9,XS/XG/XE,FF/1300,100800,,241712,617-62N-CB-qq-e-f1-1035,617-62N-CB-qq-e-d-1035,4996338029140,617 62N CB,CUSCO,STREET ZERO A,,4.5k/4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-55～0/-52～-30,-50～-10/-50～-30,-30/-30,専用形状/専用形状,専用形状/専用形状,全長調整式/ネジスペーサー,青,e-con2対応(00B 60J 1012)<br>e-con2取付時フロントはカウルトップカバーの加工、リヤはカーペットの加工が必要<br>e-con2とセンターロック・ピロボールアッパーマウントの同時装着不可<br>オプションをご希望の場合、事前にお問合せください,,140000,110200
スズキ,スイフト,ZC72S,2010/9～2017/1,XG/XL/XS,FF/1200,100800,,241908,618-62N-CB-qq-e-f1-1039,618-62N-CB-qq-e-d-1039,4996338029164,618 62N CB,CUSCO,STREET ZERO A,,4.5k/3.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-63～0/-46～-25,-45～-10/-45～-30,-35/-40,専用形状/65,専用形状/200,全長調整式/ネジスペーサー,青,e-con2対応(00B 60J 1212)<br>e-con2とセンターロック・ピロボールアッパーマウントの同時装着不可<br>オプションをご希望の場合、事前にお問合せください,,140000,110200
スズキ,スイフト/スイフトハイブリッド,ZC13S/ZC53S/ZC83S,2017/1～,RSt/ハイブリッドRS/XG/XL/RS,FF/1000T・1200,100800,,241224,60H-62N-CB-qq-e-f1-419,60H-62N-CB-qq-e-d-419,4996338058218,60H 62N CB,CUSCO,STREET ZERO A,,3.5k/2.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-25～0/-35～0,-25～0/-35～0,-15/-15,専用形状/専用形状,専用形状/専用形状,全長調整式/ネジスペーサー,青,e-con2対応(00B 60J 1012)<br>e-con2取付時リヤ内装のカット、もしくは取り外しが必要<br>オプションをご希望の場合、事前にお問合せください,,140000,110200
スズキ,スイフトスポーツ,ZC31S,2005/9～2010/9,スポーツ,FF/1600,100800,,241710,616-62N-CB-qq-e-f1-1044,616-62N-CB-qq-e-d-1044,4996338029126,616 62N CB,CUSCO,STREET ZERO A,,7k(6・8・9)/4k(3.5・5)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-47～0/-43～-22,-40～-10/-40～-25,-30/-35,65/65,200/180,全長調整式/ネジスペーサー,青,e-con2対応(00B 60J 1212)<br>e-con2取付時フロントはカウルトップカバーの加工、リヤはカーペットの加工が必要<br>e-con2とセンターロック・ピロボールアッパーマウントの同時装着不可<br>オプションをご希望の場合、事前にお問合せください,,140000,110200
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,スポーツ,FF/1600,100800,,241716,619-62N-CB-qq-e-f1-1052,619-62N-CB-qq-e-d-1052,4996338029188,619 62N CB,CUSCO,STREET ZERO A,,6k(7・8・9)/4k(5)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-79～0/-56～-28,-50～-25/-45～-30,-40/-40,65/65,200/180,全長調整式/ネジスペーサー,青,e-con2対応(00B 60J 1212)<br>e-con2とセンターロック・ピロボールアッパーマウントの同時装着不可<br>オプションをご希望の場合、事前にお問合せください,,140000,110200
スズキ,スイフトスポーツ,ZC33S,2017/9～,,FF/1400T,100800,,241470,60J-62N-CB-qq-e-f1-420,60J-62N-CB-qq-e-d-420,4996338058614,60J 62N CB,CUSCO,STREET ZERO A,,5k(4)/4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-50～0/-45～-10,-50～-20/-40～-20,-40/-40,65/専用形状,200/専用形状,全長調整式/ネジスペーサー,青,e-con2対応(00B 60J 1012)<br>e-con2取付時リヤ内装の加工もしくは取り外しが必要<br>車高調整時、バックフォグの高さ250mm以上の確保に注意が必要<br>オプションをご希望の場合、事前にお問合せください,,140000,110200
スズキ,ランディ,SC25,2007/1～2010/11,S/G,FF/2000,115200,,241624,269-62N-CNL-qq-e-f1-1081,269-62N-CNL-qq-e-d-1081,4996338028464,269 62N CNL,CUSCO,STREET ZERO A,強化ゴム固定式/-,6k/6.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-50～-10/-50～-20(-30～0),-50～-10/-50～-20(-30～0),-35/-30,専用形状/専用形状,専用形状/専用形状,全長調整式/ネジスペーサー,青,e-con2対応(00B 60J 1016)<br>オプションをご希望の場合、事前にお問合せください,,160000,123800
スズキ,ランディ,SC26,2010/12～2016/8,S/G,FF/2000,115200,,241625,269-62N-CNL-qq-e-f1-1085,269-62N-CNL-qq-e-d-1085,4996338028464,269 62N CNL,CUSCO,STREET ZERO A,強化ゴム固定式/-,6k/6.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-55～0/-60～-30(-40～-10),-55～-15/-60～-30(-40～-10),-40/-40,専用形状/専用形状,専用形状/専用形状,全長調整式/ネジスペーサー,青,e-con2対応(00B 60J 1016)<br>オプションをご希望の場合、事前にお問合せください,,160000,123800
スズキ,ランディ,SNC26,2010/12～2016/8,,4WD/2000,115200,,241388,273-62N-CN-qq-e-f1-133,273-62N-CN-qq-e-d-133,4996338098849,273 62N CN,CUSCO,STREET ZERO A,強化ゴム固定式/-,6k(7)/6.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-65～-15/-80～-50,-45～-25/-80～-50,-40/-50,73/専用形状,230/専用形状,全長調整式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,160000,123800
スズキ,ワゴンR/ワゴンRハイブリッド,MH35S/MH55S,2017/2～,FA/ハイブリッドFX/ハイブリッドFZ,FF/660,100800,,241918,634-62N-CB-qq-e-f1-517,634-62N-CB-qq-e-d-517,4996338058164,634 62N CB,CUSCO,STREET ZERO A,,3.5k(4)/2.5k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-60～0/-45～-20,-40～-15/-45～-25,-30/-35,65/専用形状,200/専用形状,全長調整式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,140000,110200
スバル,BRZ,ZC6,2012/3～2016/7,RA/R/S/GT,FR/2000<br>前期モデル用 アプライドA-D,115200,,241351,965-61N-CN-qq-e-f1-1343,965-61N-CN-qq-e-d-1343,4996338091093,965 61N CN,CUSCO,STREET ZERO A,ピロボール調整式/強化ゴム固定式,5k(6)/5K(6・7)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-35～0/-65～0,-15～0/-35～0,-15/-25,65/65,180/180,全長調整式/全長調整式,赤,車高調整時、フォグランプの高さ(下端が地上から250mm以上)に注意が必要、純正-25mm辺りが参考限界値<br>スポーツエディション(減衰力140%仕様)の設定あり(ご希望の場合お問合せください)<br>e-con2対応(00B 60J 1014)<br>e-con2取付時、内装の加工が必要<br>オプションをご希望の場合、事前にお問合せください,,160000,123800
スバル,BRZ,ZC6,2016/8～,RA/R/S/GT,FR/2000<br>後期モデル用 アプライドE-,115200,,241985,966-61N-CN-qq-e-f1-898,966-61N-CN-qq-e-d-898,4996338078643,966 61N CN,CUSCO,STREET ZERO A,ピロボール調整式/強化ゴム固定式,7K(6・8・9)/6K(5・7・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-45～0/-65～0,-40～0/-35～0,-30/-35,65/65,レートによる/180,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1014)<br>e-con2取付時、内装の加工が必要<br>フロントオプションレートスプリング6Kを装着した場合、フロントの推奨および最大車高調整幅が-25～0mmとなります<br>オプションをご希望の場合、事前にお問合せください,,160000,123800
スバル,WRX S4,VAG,2014/8～,2.0GT-S/2.0GT,4WD/2000T,115200,,241283,6A5-61N-CN-qq-e-f1-1331,6A5-61N-CN-qq-e-d-1331,4996338098825,6A5 61N CN,CUSCO,STREET ZERO A,純正形状ゴム製/強化ゴム固定式,6k(7・8)/6k(7・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-50～0/-50～-10,-30～0/-40～-15,-25/-30,65/65,レートによる/200,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1014)<br>オプションをご希望の場合、事前にお問合せください,,160000,126800
スバル,WRX STI,VAB,2014/8～,STI/STI タイプS,4WD/2000T,115200,,241280,6A1-61N-CN-qq-e-f1-1329,6A1-61N-CN-qq-e-d-1329,4996338098917,6A1 61N CN,CUSCO,STREET ZERO A,ピロボール調整式/強化ゴム固定式,7k(8・9・10)/8k(7・9・10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,非対応/非対応,-55～0/-25～0,-30～-10/-25～-5,-25/-25,65/65,200/200,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1014)<br>e-con2取付時、内装の加工が必要<br>オプションをご希望の場合、事前にお問合せください,,160000,126800
スバル,XV,GP7,2012/10～2017/4,2.0i/2.0i-L,4WD/2000,115200,,241279,695-61N-CN-qq-e-f1-1323,695-61N-CN-qq-e-d-1323,4996338029454,695 61N CN,CUSCO,STREET ZERO A,ピロボール調整式/強化ゴム固定式,5k(6)/5K(6・7)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,非対応/非対応,-64～0/-104～0,-45～0/-45～-5,-40/-40,65/65,230/200,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1014)<br>オプションをご希望の場合、事前にお問合せください,,160000,126800
スバル,XVハイブリッド,GPE,2013/6～2017/4,2.0i/2.0i-L,4WD/2000,115200,,241517,698-61N-CN-qq-e-f1-1322,698-61N-CN-qq-e-d-1322,4996338029492,698 61N CN,CUSCO,STREET ZERO A,ピロボール調整式/強化ゴム固定式,5k(6)/5k(6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,非対応/非対応,-73～-5/-94～0,-40～-5/-40～-5,-35/-40,73/65,250/230,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1014)<br>オプションをご希望の場合、事前にお問合せください,,160000,126800
スバル,インプレッサ,GC8,1992/11～2000/8,WRX/WRX-Sti/WRX-RA/WRX-Sti-RA/WRX-タイプR,4WD/2000T,122400,,241501,660-61N-CN-qq-e-f1-1316,660-61N-CN-qq-e-d-1316,4996338029201,660 61N CN,CUSCO,STREET ZERO A,ピロボール調整式/強化ゴム固定式,6k(5・7・8)/4k(3.5・5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,非対応/非対応,-65～0/-55～-5,-60～-20/-50～-10,-45/-45,65/65,レートによる/250,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1014)<br>e-con2装着時ボンネット防音材の加工が必要<br>オプションをご希望の場合、事前にお問合せください,,170000,133600
スバル,インプレッサ,GDB,2000/8～2002/10,WRX Sti/WRX Sti タイプA/WRX Sti タイプA スペックC/S202,4WD/2000T<br>アプライドA～B用,122400,,241737,666-61N-CN-qq-e-f1-1304,666-61N-CN-qq-e-d-1304,4996338029225,666 61N CN,CUSCO,STREET ZERO A,ピロボール調整式/強化ゴム固定式,6k(5・7・8)/4k(3.5・5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-55～0/-70～-15,-45～-5/-65～-25,-45/-45,65/65,レートによる/250,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1014)<br>e-con2装着時ボンネット防音材の加工が必要<br>オプションをご希望の場合、事前にお問合せください,,170000,133600
スバル,インプレッサ,GDA,2000/8～2002/10,WRX/NB/NB-R,4WD/2000T<br>アプライドA～B用,122400,,241502,666-61N-CN-qq-e-f1-1303,666-61N-CN-qq-e-d-1303,4996338029225,666 61N CN,CUSCO,STREET ZERO A,ピロボール調整式/強化ゴム固定式,6k(5・7・8)/4k(3.5・5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-55～0/-70～-15,-45～-5/-65～-25,-45/-45,65/65,レートによる/250,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1014)<br>e-con2装着時ボンネット防音材の加工が必要<br>オプションをご希望の場合、事前にお問合せください,,170000,133600
スバル,インプレッサ,GDB,2002/11～2004/5,WRX Sti/WRX Sti スペックC/S203,4WD/2000T<br>アプライドC～D用(PCD100),122400,,241920,667-61N-CN-qq-e-f1-1249,667-61N-CN-qq-e-d-1249,4996338029249,667 61N CN,CUSCO,STREET ZERO A,ピロボール調整式/強化ゴム固定式,6k(5・7・8)/4k(3.5・5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-65～0/-60～0,-45～-5/-55～-10,-35/-35,65/65,レートによる/250,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1014)<br>オプションをご希望の場合、事前にお問合せください,,170000,133600
スバル,インプレッサ,GDA,2002/11～2007/6,WRX/NB/NB-R,4WD/2000T<br>アプライドC～G用(PCD100),122400,,241738,667-61N-CN-qq-e-f1-1250,667-61N-CN-qq-e-d-1250,4996338029249,667 61N CN,CUSCO,STREET ZERO A,ピロボール調整式/強化ゴム固定式,6k(5・7・8)/4k(3.5・5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-65～0/-60～0,-45～-5/-55～-10,-35/-35,65/65,レートによる/250,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1014)<br>e-con2装着時ボンネット防音材の加工が必要<br>オプションをご希望の場合、事前にお問合せください,,170000,133600
スバル,インプレッサ,GDB,2004/6～2007/6,WRX Sti/WRX Sti スペックC/S204/Aライン/RA-R,4WD/2000T<br>アプライドE～G(PCD114.3),122400,,241266,672-61N-CN-qq-e-f1-1255,672-61N-CN-qq-e-d-1255,4996338029263,672 61N CN,CUSCO,STREET ZERO A,ピロボール調整式/強化ゴム固定式,6k(5・7・8)/4k(3.5・5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-53～0/-65～0,-50～-20/-60～-20,-35/-35,65/65,レートによる/250,全長調整式/全長調整式,赤,e-con2対応(00B 60J 1014)<br>オプションをご希望の場合、事前にお問合せください,,170000,133600
