自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,分類番号,仕様,備考,注意事項,定価,入り送料
ホンダ,CR-X,EG2,1992/3～1997/7,B16A,,ディスク＋カバー,42944,,292667,317-022-H-qq-e-f1-268k,4996338080233,317 022 H,CUSCO,薄型メタルディスクセット,薄型クラッチ,2,サイズ:φ220<br>スプライン径:26.0<br>歯数:24<br>圧着力:6940/700(N/kgf),薄型メタルディスク&薄型専用カバー,薄型メタルディスクとクスコ薄型クラッチカバーは必ずセットでご使用ください。<br>単品または他社製品との併用はできません。<br>駆動系の音が車内に伝わりやすくなります。,59000,0
ホンダ,CR-X,EG2,1992/3～1997/7,B16A,,ディスク,25567,,292652,315-022-C-qq-e-f1-269k,4996338081049,315 022 C,CUSCO,薄型メタルディスク,薄型クラッチ,3,サイズ:φ220<br>スプライン径:26.0<br>歯数:24,,薄型メタルディスクとクスコ薄型クラッチカバーは必ずセットでご使用ください。<br>単品または他社製品との併用はできません。<br>駆動系の音が車内に伝わりやすくなります。,32800,1100
ホンダ,CR-X,EG2,1992/3～1997/7,B16A,,カバー,25567,,292647,315-022-B-qq-e-f1-270k,4996338080059,315 022 B,CUSCO,薄型クラッチカバー,薄型クラッチ,4,圧着力:6940/700(N/kgf),,薄型メタルディスクとクスコ薄型クラッチカバーは必ずセットでご使用ください。<br>単品または他社製品との併用はできません。<br>駆動系の音が車内に伝わりやすくなります。,32800,1100
ホンダ,インテグラ,DA6/DA8,1991/10～1993/5,B16A,後期,ディスク＋カバー,42944,,292668,317-022-H-qq-e-f1-283k,4996338080233,317 022 H,CUSCO,薄型メタルディスクセット,薄型クラッチ,2,サイズ:φ220<br>スプライン径:26.0<br>歯数:24<br>圧着力:6940/700(N/kgf),薄型メタルディスク&薄型専用カバー,薄型メタルディスクとクスコ薄型クラッチカバーは必ずセットでご使用ください。<br>単品または他社製品との併用はできません。<br>駆動系の音が車内に伝わりやすくなります。,59000,0
ホンダ,インテグラ,DA6/DA8,1991/10～1993/5,B16A,後期,カバー,25567,,292648,315-022-B-qq-e-f1-285k,4996338080059,315 022 B,CUSCO,薄型クラッチカバー,薄型クラッチ,4,圧着力:6940/700(N/kgf),,薄型メタルディスクとクスコ薄型クラッチカバーは必ずセットでご使用ください。<br>単品または他社製品との併用はできません。<br>駆動系の音が車内に伝わりやすくなります。,32800,1100
ホンダ,インテグラ,DA6/DA8,1991/10～1993/5,B16A,後期<br>車台No.12系,ディスク,25567,,292653,315-022-C-qq-e-f1-284k,4996338081049,315 022 C,CUSCO,薄型メタルディスク,薄型クラッチ,3,サイズ:φ220<br>スプライン径:26.0<br>歯数:24,,薄型メタルディスクとクスコ薄型クラッチカバーは必ずセットでご使用ください。<br>単品または他社製品との併用はできません。<br>駆動系の音が車内に伝わりやすくなります。,32800,1100
ホンダ,インテグラ/インテグラタイプR,DC2/DB8,1993/5～2001/7,BC18C,,ディスク＋カバー,42944,,292669,317-022-H-qq-e-f1-292k,4996338080233,317 022 H,CUSCO,薄型メタルディスクセット,薄型クラッチ,2,サイズ:φ220<br>スプライン径:26.0<br>歯数:24<br>圧着力:6940/700(N/kgf),薄型メタルディスク&薄型専用カバー,薄型メタルディスクとクスコ薄型クラッチカバーは必ずセットでご使用ください。<br>単品または他社製品との併用はできません。<br>駆動系の音が車内に伝わりやすくなります。,59000,0
ホンダ,インテグラ/インテグラタイプR,DC2/DB8,1993/5～2001/7,BC18C,,ディスク,25567,,292654,315-022-C-qq-e-f1-293k,4996338081049,315 022 C,CUSCO,薄型メタルディスク,薄型クラッチ,3,サイズ:φ220<br>スプライン径:26.0<br>歯数:24,,薄型メタルディスクとクスコ薄型クラッチカバーは必ずセットでご使用ください。<br>単品または他社製品との併用はできません。<br>駆動系の音が車内に伝わりやすくなります。,32800,1100
ホンダ,インテグラ/インテグラタイプR,DC2/DB8,1993/5～2001/7,BC18C,,カバー,25567,,292649,315-022-B-qq-e-f1-294k,4996338080059,315 022 B,CUSCO,薄型クラッチカバー,薄型クラッチ,4,圧着力:6940/700(N/kgf),,薄型メタルディスクとクスコ薄型クラッチカバーは必ずセットでご使用ください。<br>単品または他社製品との併用はできません。<br>駆動系の音が車内に伝わりやすくなります。,32800,1100
ホンダ,シビック,EG6/EG9,1991/9～1995/9,B16A,,ディスク＋カバー,42944,,292670,317-022-H-qq-e-f1-310k,4996338080233,317 022 H,CUSCO,薄型メタルディスクセット,薄型クラッチ,2,サイズ:φ220<br>スプライン径:26.0<br>歯数:24<br>圧着力:6940/700(N/kgf),薄型メタルディスク&薄型専用カバー,薄型メタルディスクとクスコ薄型クラッチカバーは必ずセットでご使用ください。<br>単品または他社製品との併用はできません。<br>駆動系の音が車内に伝わりやすくなります。,59000,0
