自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スバル,WRX STI,VAB,2014/8～,EJ20T,,ディスク＋カバー＋フライホイール,144346,,292770,667-022-CP-qq-e-f1-549k,4996338085221,667 022 CP,CUSCO,ツインクラッチシステム カッパーツイン,ツインクラッチシステム カッパーツイン,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:10800/1100(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,202000,0
スバル,インプレッサ,GDB,2000/10～2007/6,EJ20T,アプライドA～G,ディスク＋カバー＋フライホイール,144346,,292771,667-022-CP-qq-e-f1-584k,4996338085221,667 022 CP,CUSCO,ツインクラッチシステム カッパーツイン,ツインクラッチシステム カッパーツイン,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:10800/1100(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,202000,0
スバル,インプレッサ,GRB,2007/10～2014/8,EJ20T,,ディスク＋カバー＋フライホイール,144346,,292997,667-022-CP-qq-e-f1-598k,4996338085221,667 022 CP,CUSCO,ツインクラッチシステム カッパーツイン,ツインクラッチシステム カッパーツイン,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:10800/1100(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,202000,0
スバル,インプレッサ,GVB,2010/7～2014/8,EJ20T,,ディスク＋カバー＋フライホイール,144346,,292772,667-022-CP-qq-e-f1-607k,4996338085221,667 022 CP,CUSCO,ツインクラッチシステム カッパーツイン,ツインクラッチシステム カッパーツイン,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:10800/1100(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,202000,0
スバル,インプレッサスポーツワゴン,GGB,2000/10～2002/10,EJ20T,,ディスク＋カバー＋フライホイール,144346,,292773,667-022-CP-qq-e-f1-630k,4996338085221,667 022 CP,CUSCO,ツインクラッチシステム カッパーツイン,ツインクラッチシステム カッパーツイン,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:10800/1100(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,202000,0
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BL5/BP5,2006/5～2009/5,EJ20T,6MT車,ディスク＋カバー＋フライホイール,144346,,292774,667-022-CP-qq-e-f1-697k,4996338085221,667 022 CP,CUSCO,ツインクラッチシステム カッパーツイン,ツインクラッチシステム カッパーツイン,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:10800/1100(N/kgf),プル式<br>SSTの設定あり(00C SST 660),,202000,0
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BLE/BPE,2005/5～2009/5,EZ30,6MT車,ディスク＋カバー＋フライホイール,144346,,292775,667-022-CP-qq-e-f1-706k,4996338085221,667 022 CP,CUSCO,ツインクラッチシステム カッパーツイン,ツインクラッチシステム カッパーツイン,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:10800/1100(N/kgf),プル式<br>SSTの設定あり(00C SST 660),,202000,0
三菱,ランサーエボリューションIV/V/VI,CN9A/CP9A,1996/8～2001/1,4G63T,Evo6 トミ・マキネンエディション含む,ディスク＋カバー＋フライホイール,144346,,292702,560-022-CP-qq-e-f1-460k,4996338085337,560 022 CP,CUSCO,ツインクラッチシステム カッパーツイン,ツインクラッチシステム カッパーツイン,ディスク＋カバー＋フライホイール,1,サイズ:φ230<br>スプライン径:26.1<br>歯数:23<br>圧着力:10800/1100(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 560),,202000,0
三菱,ランサーエボリューションVII/VIII/IX,CT9A,2001/2～2007/1,4G63T,5MT/6MT,ディスク＋カバー＋フライホイール,144346,,292703,560-022-CP-qq-e-f1-469k,4996338085337,560 022 CP,CUSCO,ツインクラッチシステム カッパーツイン,ツインクラッチシステム カッパーツイン,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:26.1<br>歯数:23<br>圧着力:10800/1100(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 560),,202000,0
三菱,ランサーエボリューションワゴン,CT9W,2005/9～2006/10,4G63T,,ディスク＋カバー＋フライホイール,144346,,292704,560-022-CP-qq-e-f1-484k,4996338085337,560 022 CP,CUSCO,ツインクラッチシステム カッパーツイン,ツインクラッチシステム カッパーツイン,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:26.1<br>歯数:23<br>圧着力:10800/1100(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 560),,202000,0
