自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スバル,WRX STI,VAB,2014/8～,EJ20T,,ディスク＋カバー＋フライホイール,138105,,293007,667-022-TP-qq-e-f1-548k,4996338085160,667 022 TP,CUSCO,ツインクラッチシステム ツインメタル,ツインクラッチシステム ツインメタル,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:9800/1000(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,193200,0
スバル,インプレッサ,GDB,2000/10～2007/6,EJ20T,アプライドA～G,ディスク＋カバー＋フライホイール,138105,,293008,667-022-TP-qq-e-f1-583k,4996338085160,667 022 TP,CUSCO,ツインクラッチシステム ツインメタル,ツインクラッチシステム ツインメタル,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:9800/1000(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,193200,0
スバル,インプレッサ,GRB,2007/10～2014/8,EJ20T,,ディスク＋カバー＋フライホイール,138105,,292791,667-022-TP-qq-e-f1-597k,4996338085160,667 022 TP,CUSCO,ツインクラッチシステム ツインメタル,ツインクラッチシステム ツインメタル,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:9800/1000(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,193200,0
スバル,インプレッサ,GVB,2010/7～2014/8,EJ20T,,ディスク＋カバー＋フライホイール,138105,,293009,667-022-TP-qq-e-f1-606k,4996338085160,667 022 TP,CUSCO,ツインクラッチシステム ツインメタル,ツインクラッチシステム ツインメタル,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:9800/1000(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,193200,0
スバル,インプレッサスポーツワゴン,GGB,2000/10～2002/10,EJ20T,,ディスク＋カバー＋フライホイール,138105,,293010,667-022-TP-qq-e-f1-629k,4996338085160,667 022 TP,CUSCO,ツインクラッチシステム ツインメタル,ツインクラッチシステム ツインメタル,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:9800/1000(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,193200,0
スバル,フォレスター,SG9,2004/2～2007/12,EJ20T,2.5L STIバージョン,ディスク＋カバー＋フライホイール,138105,,292792,667-022-TP-qq-e-f1-669k,4996338085160,667 022 TP,CUSCO,ツインクラッチシステム ツインメタル,ツインクラッチシステム ツインメタル,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:9800/1000(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,193200,0
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BL5/BP5,2006/5～2009/5,EJ20T,6MT車,ディスク＋カバー＋フライホイール,138105,,293011,667-022-TP-qq-e-f1-696k,4996338085160,667 022 TP,CUSCO,ツインクラッチシステム ツインメタル,ツインクラッチシステム ツインメタル,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:9800/1000(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,193200,0
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BLE/BPE,2005/5～2009/5,EZ30,6MT車,ディスク＋カバー＋フライホイール,138105,,292793,667-022-TP-qq-e-f1-705k,4996338085160,667 022 TP,CUSCO,ツインクラッチシステム ツインメタル,ツインクラッチシステム ツインメタル,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:9800/1000(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 660),,193200,0
三菱,ランサーエボリューションIV/V/VI,CN9A/CP9A,1996/8～2001/1,4G63T,Evo6 トミ・マキネンエディション含む,ディスク＋カバー＋フライホイール,138105,,292984,560-022-TP-qq-e-f1-459k,4996338085078,560 022 TP,CUSCO,ツインクラッチシステム ツインメタル,ツインクラッチシステム ツインメタル,ディスク＋カバー＋フライホイール,1,サイズ:φ230<br>スプライン径:26.1<br>歯数:23<br>圧着力:9800/1000(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 560),,193200,0
三菱,ランサーエボリューションVII/VIII/IX,CT9A,2001/2～2007/1,4G63T,5MT/6MT,ディスク＋カバー＋フライホイール,138105,,292985,560-022-TP-qq-e-f1-468k,4996338085078,560 022 TP,CUSCO,ツインクラッチシステム ツインメタル,ツインクラッチシステム ツインメタル,ディスク＋カバー＋フライホイール,1,サイズ:φ240<br>スプライン径:26.1<br>歯数:23<br>圧着力:9800/1000(N/kgf),プル式<br>サイズ:φ200<br>SSTの設定あり(00C SST 560),,193200,0
