自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,1.5WAY,102080,,298043,LSD-432-K15-qq-e-f1-220k,4996338103383,LSD 432 K15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,1WAY,102080,,298041,LSD-432-E-qq-e-f1-244k,4996338103345,LSD 432 E,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,2WAY,102080,,300506,LSD-432-E2-qq-e-f1-260k,4996338103352,LSD 432 E2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,2WAY,102080,,302026,LSD-432-K2-qq-e-f1-261k,4996338103390,LSD 432 K2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,116000
BMW,E36,BE18/BE19,1991～1998,M42/M44,MT,オープンデフ,318is 1800cc/1900cc,1.5WAY,124080,,301104,LSD-BM4-K15-qq-e-f1-1785,4996338019349,LSD BM4 K15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,純正Cリング必要。,,141000
BMW,E36,BE18/BE19,1991～1998,M42/M44,MT,オープンデフ,318is 1800cc/1900cc,1WAY,124080,,302189,LSD-BM4-E-qq-e-f1-3672,4996338019325,LSD BM4 E,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,純正Cリング必要。,,141000
BMW,E36,BE18/BE19,1991～1998,M42/M44,MT,オープンデフ,318is 1800cc/1900cc,2WAY,124080,,302190,LSD-BM4-E2-qq-e-f1-4567,4996338019332,LSD BM4 E2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,純正Cリング必要。,,141000
BMW,E36,BE18/BE19,1991～1998,M42/M44,MT,オープンデフ,318is 1800cc/1900cc,2WAY,124080,,302191,LSD-BM4-K2-qq-e-f1-1786,4996338019356,LSD BM4 K2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,純正Cリング必要。,,141000
BMW,E46,AL19/AY20,1998～2005,M43/N42,MT,オープンデフ,318Ci 1900cc/2000cc,1.5WAY,124080,,301100,LSD-BM1-K15-qq-e-f1-3670,4996338019189,LSD BM1 K15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,純正オイルシール必要。,,141000
BMW,E46,AL19/AY20,1998～2005,M43/N42,MT,オープンデフ,318Ci 1900cc/2000cc,1WAY,124080,,298592,LSD-BM1-E-qq-e-f1-2280,4996338019165,LSD BM1 E,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,純正オイルシール必要。,,141000
BMW,E46,AL19/AY20,1998～2005,M43/N42,MT,オープンデフ,318Ci 1900cc/2000cc,2WAY,124080,,297606,LSD-BM1-K2-qq-e-f1-4566,4996338019196,LSD BM1 K2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,純正オイルシール必要。,,141000
BMW,E46,AL19/AY20,1998～2005,M43/N42,MT,オープンデフ,318Ci 1900cc/2000cc,2WAY,124080,,301099,LSD-BM1-E2-qq-e-f1-1295,4996338019172,LSD BM1 E2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,純正オイルシール必要。,,141000
BMW,M3 CSL E46,BL32,2003～2007,S54,SMG,機械式,3200cc,1.5WAY,166320,,297105,LSD-BM5-K15-qq-e-f1-5065,4996338019424,LSD BM5 K15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,,,189000
BMW,M3 CSL E46,BL32,2003～2007,S54,SMG,機械式,3200cc,1WAY,166320,,301105,LSD-BM5-E-qq-e-f1-3176,4996338019400,LSD BM5 E,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,189000
BMW,M3 CSL E46,BL32,2003～2007,S54,SMG,機械式,3200cc,2WAY,166320,,299104,LSD-BM5-E2-qq-e-f1-379,4996338019417,LSD BM5 E2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,189000
BMW,M3 CSL E46,BL32,2003～2007,S54,SMG,機械式,3200cc,2WAY,166320,,302193,LSD-BM5-K2-qq-e-f1-4570,4996338019431,LSD BM5 K2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,189000
BMW,M3 E30,,1984～1990,S14,MT,機械式,2300cc,1.5WAY,124080,,298595,LSD-BM2-K15-qq-e-f1-2750,4996338019264,LSD BM2 K15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,純正Cリング必要。,,141000
BMW,M3 E30,,1984～1990,S14,MT,機械式,2300cc,1WAY,124080,,301602,LSD-BM2-E-qq-e-f1-3172,4996338019240,LSD BM2 E,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,純正Cリング必要。,,141000
BMW,M3 E30,,1984～1990,S14,MT,機械式,2300cc,2WAY,124080,,299101,LSD-BM2-K2-qq-e-f1-378,4996338019271,LSD BM2 K2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,純正Cリング必要。,,141000
BMW,M3 E30,,1984～1990,S14,MT,機械式,2300cc,2WAY,124080,,301101,LSD-BM2-E2-qq-e-f1-2748,4996338019257,LSD BM2 E2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,純正Cリング必要。,,141000
BMW,M3 E36,M3C,1996～1999,S52,MT/SMG,機械式,3200cc,1.5WAY,166320,,301606,LSD-BM6-K15-qq-e-f1-3180,4996338019509,LSD BM6 K15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,,,189000
BMW,M3 E36,M3C,1996～1999,S52,MT/SMG,機械式,3200cc,1WAY,166320,,297106,LSD-BM6-E-qq-e-f1-380,4996338019486,LSD BM6 E,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,189000
BMW,M3 E36,M3C,1996～1999,S52,MT/SMG,機械式,3200cc,2WAY,166320,,298604,LSD-BM6-K2-qq-e-f1-3181,4996338019516,LSD BM6 K2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,189000
BMW,M3 E36,M3C,1996～1999,S52,MT/SMG,機械式,3200cc,2WAY,166320,,300108,LSD-BM6-E2-qq-e-f1-4573,4996338019493,LSD BM6 E2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,189000
BMW,M3 E46,BL32,2001～2007,S54,MT/SMG,機械式,3200cc,1.5WAY,166320,,301107,LSD-BM5-K15-qq-e-f1-4569,4996338019424,LSD BM5 K15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,,,189000
BMW,M3 E46,BL32,2001～2007,S54,MT/SMG,機械式,3200cc,1WAY,166320,,302192,LSD-BM5-E-qq-e-f1-3175,4996338019400,LSD BM5 E,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,189000
BMW,M3 E46,BL32,2001～2007,S54,MT/SMG,機械式,3200cc,2WAY,166320,,297104,LSD-BM5-E2-qq-e-f1-1299,4996338019417,LSD BM5 E2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,189000
BMW,M3 E46,BL32,2001～2007,S54,MT/SMG,機械式,3200cc,2WAY,166320,,298598,LSD-BM5-K2-qq-e-f1-5066,4996338019431,LSD BM5 K2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,189000
BMW,M5,M5H,1990～1994,S38,MT,機械式,6気筒 3500cc/3800cc,1.5WAY,166320,,297609,LSD-BM6-K15-qq-e-f1-3674,4996338019509,LSD BM6 K15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,,,189000
BMW,M5,M5H,1990～1994,S38,MT,機械式,6気筒 3500cc/3800cc,1WAY,166320,,302194,LSD-BM6-E-qq-e-f1-4572,4996338019486,LSD BM6 E,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,189000
BMW,M5,M5H,1990～1994,S38,MT,機械式,6気筒 3500cc/3800cc,2WAY,166320,,297109,LSD-BM6-K2-qq-e-f1-1305,4996338019516,LSD BM6 K2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,189000
BMW,M5,M5H,1990～1994,S38,MT,機械式,6気筒 3500cc/3800cc,2WAY,166320,,298600,LSD-BM6-E2-qq-e-f1-3673,4996338019493,LSD BM6 E2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,189000
BMW,M5 E39,DE50,1996～2003,S62,MT,機械式,8気筒 5000cc,1.5WAY,166320,,299106,LSD-BM6-K15-qq-e-f1-1304,4996338019509,LSD BM6 K15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,,,189000
BMW,M5 E39,DE50,1996～2003,S62,MT,機械式,8気筒 5000cc,1WAY,166320,,300107,LSD-BM6-E-qq-e-f1-1301,4996338019486,LSD BM6 E,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,189000
BMW,M5 E39,DE50,1996～2003,S62,MT,機械式,8気筒 5000cc,2WAY,166320,,298605,LSD-BM6-K2-qq-e-f1-5068,4996338019516,LSD BM6 K2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,189000
BMW,M5 E39,DE50,1996～2003,S62,MT,機械式,8気筒 5000cc,2WAY,166320,,301604,LSD-BM6-E2-qq-e-f1-3179,4996338019493,LSD BM6 E2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,189000
LOTUS,エヴォーラ,ABA-122,2009/06～,2GR-FE,6MT,トルセン,NA/スーパーチャージャー<br>エヴォーラ400取付可,1WAY,158400,,299109,LSD-LT2-A-qq-e-f1-245k,4996338102577,LSD LT2 A,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,180000
LOTUS,エキシージ,,2013/07～,2GR-FE,6MT,トルセン,S/S CR/スポーツ350,1WAY,158400,,301609,LSD-LT2-A-qq-e-f1-246k,4996338102577,LSD LT2 A,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,180000
LOTUS,エリーゼ,ABA-1120,2011/12～,1ZR/2ZR,MT,,NA/スーパーチャージャー,1.5WAY,118800,,297393,LSD-194-B15-qq-e-f1-221k,4996338003522,LSD 194 B15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,,,135000
LOTUS,エリーゼ,ABA-1120,2011/12～,1ZR/2ZR,MT,,NA/スーパーチャージャー,1WAY,118800,,298371,LSD-194-B-qq-e-f1-248k,4996338003515,LSD 194 B,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,135000
LOTUS,エリーゼ,ABA-1120,2011/12～,1ZR/2ZR,MT,,NA/スーパーチャージャー,1WAY,118800,,301424,LSD-194-A-qq-e-f1-247k,4996338003508,LSD 194 A,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,135000
スズキ,カプチーノ,EA11R/EA21R,1991/11～1998/10,F6A/K6A,MT,オープンデフ/ヘリカル,2WD,1.5WAY,80960,,298816,LSD-176-B15-qq-e-f1-2499,4996338018755,LSD 176 B15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,,,92000
スズキ,カプチーノ,EA11R/EA21R,1991/11～1998/10,F6A/K6A,MT,オープンデフ/ヘリカル,2WD,1WAY,80960,,296300,LSD-176-B-qq-e-f1-1107,4996338018748,LSD 176 B,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,92000
スズキ,カプチーノ,EA11R/EA21R,1991/11～1998/10,F6A/K6A,MT,オープンデフ/ヘリカル,2WD,1WAY,80960,,301317,LSD-176-E-qq-e-f1-3931,4996338011688,LSD 176 E,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,92000
スズキ,カプチーノ,EA11R/EA21R,1991/11～1998/10,F6A/K6A,MT,オープンデフ/ヘリカル,2WD,2WAY,80960,,297811,LSD-176-E2-qq-e-f1-1109,4996338011695,LSD 176 E2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,92000
スズキ,カルタス,AA34S,1988/09～1998/04,G13B,MT,,,1WAY,95040,,297548,LSD-610-A-qq-e-f1-371,4996338018007,LSD 610 A,CUSCO,LSD type-MZ 1WAY,type-MZ,フロント,ビスカス車はリングギア、リングギアボルト、サイドシャフトの交換必要。<br>受注生産品,,108000
スズキ,カルタス,AF34S,1988/09～1998/04,G13B,MT,,4WD,1.5WAY,99440,,298139,LSD-123-A2-qq-e-f1-19,,LSD 123 A2,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,受注生産品,,113000
スズキ,カルタス,AF34S,1988/09～1998/04,G13B,MT,,4WD,1WAY,99440,,301156,LSD-123-A-qq-e-f1-1418,4996338018045,LSD 123 A,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,受注生産品,,113000
スズキ,ジムニー,JB23W,2002/01～2018/07,K6A,MT/AT,,4型のみ適合,1.5WAY,110000,,298108,LSD-898-M15-qq-e-f1-216k,4996338108432,LSD 898 M15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,フロント,,,125000
スズキ,ジムニー,JB23W,2002/01～2018/07,K6A,MT/AT,,4型のみ適合,1.5WAY,110000,,302071,LSD-60M-B15-qq-e-f1-223k,4996338108364,LSD 60M B15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,,,125000
スズキ,ジムニー,JB23W,2002/01～2018/07,K6A,MT/AT,,4型のみ適合,1WAY,110000,,297547,LSD-60M-B-qq-e-f1-251k,4996338108357,LSD 60M B,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,125000
スズキ,ジムニー,JB23W,2002/01～2018/07,K6A,MT/AT,,4型のみ適合,1WAY,110000,,297593,LSD-898-A-qq-e-f1-236k,4996338108395,LSD 898 A,CUSCO,LSD type-MZ 1WAY,type-MZ,フロント,,,125000
スズキ,ジムニー,JB23W,2002/01～2018/07,K6A,MT/AT,,4型のみ適合,2WAY,110000,,298086,LSD-60M-J2-qq-e-f1-263k,4996338108326,LSD 60M J2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,125000
スズキ,ジムニー,JB64W,2018/07～,R06A,MT/AT,,,1.5WAY,110000,,299029,LSD-60M-B15-qq-e-f1-224k,4996338108364,LSD 60M B15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,,,125000
スズキ,ジムニー,JB64W,2018/07～,R06A,MT/AT,,,1.5WAY,110000,,301089,LSD-898-M15-qq-e-f1-217k,4996338108432,LSD 898 M15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,フロント,,,125000
スズキ,ジムニー,JB64W,2018/07～,R06A,MT/AT,,,1WAY,110000,,298084,LSD-60M-B-qq-e-f1-252k,4996338108357,LSD 60M B,CUSCO,LSD type-MZ 1WAY,type-MZ,リア,,,125000
スズキ,ジムニー,JB64W,2018/07～,R06A,MT/AT,,,1WAY,110000,,298107,LSD-898-A-qq-e-f1-237k,4996338108395,LSD 898 A,CUSCO,LSD type-MZ 1WAY,type-MZ,フロント,,,125000
スズキ,ジムニー,JB64W,2018/07～,R06A,MT/AT,,,2WAY,110000,,299030,LSD-60M-J2-qq-e-f1-264k,4996338108326,LSD 60M J2,CUSCO,LSD type-MZ 2WAY,type-MZ,リア,,,125000
スズキ,ジムニーシエラ,JB74W,2018/07～,K15B,MT/AT,,,1.5WAY,110000,,302072,LSD-60M-B15-qq-e-f1-225k,4996338108364,LSD 60M B15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,リア,,,125000
スズキ,ジムニーシエラ,JB74W,2018/07～,K15B,MT/AT,,,1.5WAY,110000,,302097,LSD-898-M15-qq-e-f1-218k,4996338108432,LSD 898 M15,CUSCO,LSD type-MZ 1.5WAY,type-MZ,フロント,,,125000
スズキ,ジムニーシエラ,JB74W,2018/07～,K15B,MT/AT,,,1WAY,110000,,299076,LSD-898-A-qq-e-f1-238k,4996338108395,LSD 898 A,CUSCO,LSD type-MZ 1WAY,type-MZ,フロント,,,125000
