自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,1WAY,102080,,297490,LSD-432-ET-qq-e-f1-89k,4996338103420,LSD 432 ET,CUSCO,LSD SPEC-F type-MZ 1WAY,type-MZ Spec-F,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,2WAY,102080,,298967,LSD-432-KT2-qq-e-f1-102k,4996338108043,LSD 432 KT2,CUSCO,LSD SPEC-F type-MZ 2WAY,type-MZ Spec-F,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,2WAY,102080,,301035,LSD-432-ET2-qq-e-f1-101k,4996338103437,LSD 432 ET2,CUSCO,LSD SPEC-F type-MZ 2WAY,type-MZ Spec-F,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,,102080,,299544,LSD-432-KT15-qq-e-f1-9k,4996338108036,LSD 432 KT15,CUSCO,LSD SPEC-F type-MZ 1.5WAY,type-MZ Spec-F,リア,,,116000
スズキ,スイフトスポーツ,HT81S,2003/06～2005/05,M15A,MT,オープンデフ,,1WAY,82720,,298087,LSD-615-AT-qq-e-f1-76k,4996338004246,LSD 615 AT,CUSCO,LSD SPEC-F type-MZ 1WAY,type-MZ Spec-F,フロント,,,94000
スズキ,スイフトスポーツ,HT81S,2003/06～2005/05,M15A,MT,オープンデフ,,1WAY,82720,,298088,LSD-615-BT-qq-e-f1-77k,4996338004253,LSD 615 BT,CUSCO,LSD SPEC-F type-MZ 1WAY,type-MZ Spec-F,フロント,,,94000
スズキ,スイフトスポーツ,HT81S,2003/06～2005/05,M15A,MT,オープンデフ,,,82720,,300555,LSD-615-BT15-qq-e-f1-4k,4996338004260,LSD 615 BT15,CUSCO,LSD SPEC-F type-MZ 1.5WAY,type-MZ Spec-F,フロント,,,94000
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,MT,オープンデフ,,1WAY,95040,,297554,LSD-619-AT-qq-e-f1-78k,4996338004338,LSD 619 AT,CUSCO,LSD SPEC-F type-MZ 1WAY,type-MZ Spec-F,フロント,,,108000
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,MT,オープンデフ,,1WAY,95040,,300558,LSD-619-BT-qq-e-f1-79k,4996338004345,LSD 619 BT,CUSCO,LSD SPEC-F type-MZ 1WAY,type-MZ Spec-F,フロント,,,108000
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,MT,オープンデフ,,,95040,,299592,LSD-619-BT15-qq-e-f1-5k,4996338004352,LSD 619 BT15,CUSCO,LSD SPEC-F type-MZ 1.5WAY,type-MZ Spec-F,フロント,,,108000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1WAY,99440,,298586,LSD-986-ET-qq-e-f1-90k,4996338004765,LSD 986 ET,CUSCO,LSD SPEC-F type-MZ 1WAY,type-MZ Spec-F,リア,,,113000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1WAY,123200,,299094,LSD-987-ET-qq-e-f1-91k,4996338003294,LSD 987 ET,CUSCO,LSD SPEC-F type-MZ 1WAY,type-MZ Spec-F,リア,ノーマルファイナルギヤには使用できません。トヨタ純正4.875および5.125ファイナルギヤ用です。取り付けには別途トヨタ純正部品が必要です。詳しくはお問い合わせください。<br>ファイナル変更時はシフトインジケーターが正確に表示されなくなります。,,140000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,2WAY,123200,,297601,LSD-987-ET2-qq-e-f1-105k,4996338003300,LSD 987 ET2,CUSCO,LSD SPEC-F type-MZ 2WAY,type-MZ Spec-F,リア,ノーマルファイナルギヤには使用できません。トヨタ純正4.875および5.125ファイナルギヤ用です。取り付けには別途トヨタ純正部品が必要です。詳しくはお問い合わせください。<br>ファイナル変更時はシフトインジケーターが正確に表示されなくなります。,,140000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,2WAY,123200,,297603,LSD-987-KT2-qq-e-f1-106k,4996338003348,LSD 987 KT2,CUSCO,LSD SPEC-F type-MZ 2WAY,type-MZ Spec-F,リア,ノーマルファイナルギヤには使用できません。トヨタ純正4.875および5.125ファイナルギヤ用です。取り付けには別途トヨタ純正部品が必要です。詳しくはお問い合わせください。<br>ファイナル変更時はシフトインジケーターが正確に表示されなくなります。,,140000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,2WAY,99440,,300607,LSD-986-ET2-qq-e-f1-103k,4996338004772,LSD 986 ET2,CUSCO,LSD SPEC-F type-MZ 2WAY,type-MZ Spec-F,リア,,,113000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,2WAY,99440,,301593,LSD-986-KT2-qq-e-f1-104k,4996338004819,LSD 986 KT2,CUSCO,LSD SPEC-F type-MZ 2WAY,type-MZ Spec-F,リア,,,113000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,,123200,,298591,LSD-987-KT15-qq-e-f1-18k,4996338003331,LSD 987 KT15,CUSCO,LSD SPEC-F type-MZ 1.5WAY,type-MZ Spec-F,リア,ノーマルファイナルギヤには使用できません。トヨタ純正4.875および5.125ファイナルギヤ用です。取り付けには別途トヨタ純正部品が必要です。詳しくはお問い合わせください。<br>ファイナル変更時はシフトインジケーターが正確に表示されなくなります。,,140000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,,123200,,299099,LSD-987-MT15-qq-e-f1-19k,4996338003775,LSD 987 MT15,CUSCO,LSD SPEC-F type-MZ 1.5WAY,type-MZ Spec-F,リア,ノーマルファイナルギヤには使用できません。トヨタ純正4.875および5.125ファイナルギヤ用です。取り付けには別途トヨタ純正部品が必要です。詳しくはお問い合わせください。<br>ファイナル変更時はシフトインジケーターが正確に表示されなくなります。<br>サーキットスペックLSD,,140000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,,99440,,301592,LSD-986-KT15-qq-e-f1-16k,4996338004802,LSD 986 KT15,CUSCO,LSD SPEC-F type-MZ 1.5WAY,type-MZ Spec-F,リア,,,113000
