自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,1.5WAY,102080,,298968,LSD-432-L15-qq-e-f1-294k,4996338103406,LSD 432 L15,CUSCO,LSD type-RS 1.5WAY,type-RS,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,1WAY,102080,,299540,LSD-432-F-qq-e-f1-337k,4996338103369,LSD 432 F,CUSCO,LSD type-RS 1WAY,type-RS,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,2WAY,102080,,297493,LSD-432-L2-qq-e-f1-353k,4996338103413,LSD 432 L2,CUSCO,LSD type-RS 2WAY,type-RS,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,2WAY,102080,,298042,LSD-432-F2-qq-e-f1-352k,4996338103376,LSD 432 F2,CUSCO,LSD type-RS 2WAY,type-RS,リア,,,116000
BMW,E36,BE18/BE19,1991～1998,M42/M44,MT,オープンデフ,318is 1800cc/1900cc,1.5WAY,124080,,299103,LSD-BM4-L15-qq-e-f1-1787,4996338019301,LSD BM4 L15,CUSCO,LSD type-RS 1.5WAY,type-RS,リア,純正Cリング必要。,,141000
BMW,E36,BE18/BE19,1991～1998,M42/M44,MT,オープンデフ,318is 1800cc/1900cc,1WAY,124080,,299102,LSD-BM4-F-qq-e-f1-3173,4996338019288,LSD BM4 F,CUSCO,LSD type-RS 1WAY,type-RS,リア,純正Cリング必要。,,141000
BMW,E36,BE18/BE19,1991～1998,M42/M44,MT,オープンデフ,318is 1800cc/1900cc,2WAY,124080,,297103,LSD-BM4-L2-qq-e-f1-3174,4996338019318,LSD BM4 L2,CUSCO,LSD type-RS 2WAY,type-RS,リア,純正Cリング必要。,,141000
BMW,E36,BE18/BE19,1991～1998,M42/M44,MT,オープンデフ,318is 1800cc/1900cc,2WAY,124080,,301103,LSD-BM4-F2-qq-e-f1-5062,4996338019295,LSD BM4 F2,CUSCO,LSD type-RS 2WAY,type-RS,リア,純正Cリング必要。,,141000
BMW,E46,AL19/AY20,1998～2005,M43/N42,MT,オープンデフ,318Ci 1900cc/2000cc,1.5WAY,124080,,298594,LSD-BM1-L15-qq-e-f1-1296,4996338019141,LSD BM1 L15,CUSCO,LSD type-RS 1.5WAY,type-RS,リア,純正オイルシール必要。,,141000
BMW,E46,AL19/AY20,1998～2005,M43/N42,MT,オープンデフ,318Ci 1900cc/2000cc,1WAY,124080,,298593,LSD-BM1-F-qq-e-f1-2747,4996338019127,LSD BM1 F,CUSCO,LSD type-RS 1WAY,type-RS,リア,純正オイルシール必要。,,141000
BMW,E46,AL19/AY20,1998～2005,M43/N42,MT,オープンデフ,318Ci 1900cc/2000cc,2WAY,124080,,297605,LSD-BM1-F2-qq-e-f1-5061,4996338019134,LSD BM1 F2,CUSCO,LSD type-RS 2WAY,type-RS,リア,純正オイルシール必要。,,141000
