自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,1.5WAY,102080,,300508,LSD-432-LT15-qq-e-f1-139k,4996338108050,LSD 432 LT15,CUSCO,LSD SPEC-F type-RS 1.5WAY,type-RS Spec-F,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,1WAY,102080,,296562,LSD-432-FT-qq-e-f1-181k,4996338108005,LSD 432 FT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,2WAY,102080,,299541,LSD-432-FT2-qq-e-f1-191k,4996338108029,LSD 432 FT2,CUSCO,LSD SPEC-F type-RS 2WAY,type-RS Spec-F,リア,,,116000
ABARTH,124スパイダー,NF2EK,2016/10～,,6MT,,,2WAY,102080,,302028,LSD-432-LT2-qq-e-f1-192k,4996338108067,LSD 432 LT2,CUSCO,LSD SPEC-F type-RS 2WAY,type-RS Spec-F,リア,,,116000
スズキ,スイフトスポーツ,HT81S,2003/06～2005/05,M15A,MT,オープンデフ,,1.5WAY,83600,,299034,LSD-615-CT15-qq-e-f1-130k,4996338004284,LSD 615 CT15,CUSCO,LSD SPEC-F type-RS 1.5WAY,type-RS Spec-F,フロント,,,95000
スズキ,スイフトスポーツ,HT81S,2003/06～2005/05,M15A,MT,オープンデフ,,1WAY,83600,,299033,LSD-615-CT-qq-e-f1-160k,4996338004277,LSD 615 CT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,フロント,,,95000
スズキ,スイフトスポーツ,HT81S,2003/06～2005/05,M15A,MT,オープンデフ,,1WAY,83600,,299035,LSD-615-FT-qq-e-f1-161k,4996338004291,LSD 615 FT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,フロント,,,95000
スズキ,スイフトスポーツ,ZC31S,2005/09～2010/09,M16A,MT,オープンデフ,,1.5WAY,83600,,297553,LSD-617-CT15-qq-e-f1-131k,4996338004314,LSD 617 CT15,CUSCO,LSD SPEC-F type-RS 1.5WAY,type-RS Spec-F,フロント,,,95000
スズキ,スイフトスポーツ,ZC31S,2005/09～2010/09,M16A,MT,オープンデフ,,1WAY,83600,,298092,LSD-617-FT-qq-e-f1-163k,4996338004321,LSD 617 FT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,フロント,,,95000
スズキ,スイフトスポーツ,ZC31S,2005/09～2010/09,M16A,MT,オープンデフ,,1WAY,83600,,299590,LSD-617-CT-qq-e-f1-162k,4996338004307,LSD 617 CT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,フロント,,,95000
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,MT,オープンデフ,,1.5WAY,95040,,297555,LSD-619-CT15-qq-e-f1-132k,4996338004376,LSD 619 CT15,CUSCO,LSD SPEC-F type-RS 1.5WAY,type-RS Spec-F,フロント,,,108000
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,MT,オープンデフ,,1WAY,95040,,297556,LSD-619-FT-qq-e-f1-165k,4996338004383,LSD 619 FT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,フロント,,,108000
スズキ,スイフトスポーツ,ZC32S,2011/12～2016/12,M16A,MT,オープンデフ,,1WAY,95040,,301078,LSD-619-CT-qq-e-f1-164k,4996338004369,LSD 619 CT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,フロント,,,108000
スズキ,スイフトスポーツ,ZC33S,2017/09～,K14C,MT,オープンデフ,,1.5WAY,95040,,299594,LSD-620-CT15-qq-e-f1-133k,4996338103284,LSD 620 CT15,CUSCO,LSD SPEC-F type-RS 1.5WAY,type-RS Spec-F,フロント,,,108000
スズキ,スイフトスポーツ,ZC33S,2017/09～,K14C,MT,オープンデフ,,1WAY,95040,,299037,LSD-620-CT-qq-e-f1-166k,4996338103277,LSD 620 CT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,フロント,,,108000
スズキ,スイフトスポーツ,ZC33S,2017/09～,K14C,MT,オープンデフ,,1WAY,95040,,302078,LSD-620-FT-qq-e-f1-167k,4996338103291,LSD 620 FT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,フロント,,,108000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1.5WAY,100320,,298587,LSD-986-LT15-qq-e-f1-141k,4996338004826,LSD 986 LT15,CUSCO,LSD SPEC-F type-RS 1.5WAY,type-RS Spec-F,リア,,,114000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1.5WAY,123200,,299097,LSD-987-LT15-qq-e-f1-143k,4996338003355,LSD 987 LT15,CUSCO,LSD SPEC-F type-RS 1.5WAY,type-RS Spec-F,リア,ノーマルファイナルギヤには使用できません。トヨタ純正4.875および5.125ファイナルギヤ用です。取り付けには別途トヨタ純正部品が必要です。詳しくはお問い合わせください。<br>ファイナル変更時はシフトインジケーターが正確に表示されなくなります。,,140000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1.5WAY,123200,,301097,LSD-987-VT15-qq-e-f1-144k,4996338003812,LSD 987 VT15,CUSCO,LSD SPEC-F type-RS 1.5WAY,type-RS Spec-F,リア,ノーマルファイナルギヤには使用できません。トヨタ純正4.875および5.125ファイナルギヤ用です。取り付けには別途トヨタ純正部品が必要です。詳しくはお問い合わせください。<br>ファイナル変更時はシフトインジケーターが正確に表示されなくなります。<br>サーキットスペックLSD,,140000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1.5WAY,100320,,302182,LSD-986-VT15-qq-e-f1-142k,4996338003799,LSD 986 VT15,CUSCO,LSD SPEC-F type-RS 1.5WAY,type-RS Spec-F,リア,サーキットスペックLSD,,114000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1WAY,100320,,300092,LSD-986-FT-qq-e-f1-182k,4996338004789,LSD 986 FT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,リア,,,114000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,1WAY,123200,,300098,LSD-987-FT-qq-e-f1-183k,4996338003317,LSD 987 FT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,リア,ノーマルファイナルギヤには使用できません。トヨタ純正4.875および5.125ファイナルギヤ用です。取り付けには別途トヨタ純正部品が必要です。詳しくはお問い合わせください。<br>ファイナル変更時はシフトインジケーターが正確に表示されなくなります。,,140000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,2WAY,100320,,297092,LSD-986-FT2-qq-e-f1-193k,4996338004796,LSD 986 FT2,CUSCO,LSD SPEC-F type-RS 2WAY,type-RS Spec-F,リア,,,114000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,2WAY,123200,,300099,LSD-987-FT2-qq-e-f1-195k,4996338003324,LSD 987 FT2,CUSCO,LSD SPEC-F type-RS 2WAY,type-RS Spec-F,リア,ノーマルファイナルギヤには使用できません。トヨタ純正4.875および5.125ファイナルギヤ用です。取り付けには別途トヨタ純正部品が必要です。詳しくはお問い合わせください。<br>ファイナル変更時はシフトインジケーターが正確に表示されなくなります。,,140000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,2WAY,100320,,301091,LSD-986-LT2-qq-e-f1-194k,4996338004833,LSD 986 LT2,CUSCO,LSD SPEC-F type-RS 2WAY,type-RS Spec-F,リア,,,114000
スバル,BRZ,ZC6,2012/03～,FA20,MT/AT,オープンデフ/トルセン,前期/後期,2WAY,123200,,302183,LSD-987-LT2-qq-e-f1-196k,4996338003362,LSD 987 LT2,CUSCO,LSD SPEC-F type-RS 2WAY,type-RS Spec-F,リア,ノーマルファイナルギヤには使用できません。トヨタ純正4.875および5.125ファイナルギヤ用です。取り付けには別途トヨタ純正部品が必要です。詳しくはお問い合わせください。<br>ファイナル変更時はシフトインジケーターが正確に表示されなくなります。,,140000
スバル,WRX S4,VAG,2014/08～,FA20,AT,オープンデフ,ターボ,1.5WAY,92400,,301855,LSD-183-LT15-qq-e-f1-2316,4996338006868,LSD 183 LT15,CUSCO,LSD SPEC-F type-RS 1.5WAY,type-RS Spec-F,リア,,,105000
スバル,WRX S4,VAG,2014/08～,FA20,AT,オープンデフ,ターボ,1WAY,92400,,301384,LSD-183-FT-qq-e-f1-3479,4996338006820,LSD 183 FT,CUSCO,LSD SPEC-F type-RS 1WAY,type-RS Spec-F,リア,,,105000
