自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,ストリートトップマウント(F/R),バネレート(F/R),仕様,注意事項,定価,取付売価
ACURA,CL,YA1,96～00 ,,,170912,,170127,D-AC-01-qq-e-1k,出さない,D-AC-01,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,22.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,218000,出さない
ACURA,CL,YA4,01～03 ,,,170912,,170128,D-AC-02-qq-e-2k,出さない,D-AC-02,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,22.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,218000,出さない
ACURA,NSX,NA1,90～05 ,,,163072,,170143,D-AC-18-qq-e-29k,出さない,D-AC-18,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,22.0/24.8,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,RSX,DC5,01～06 ,,,163072,,170137,D-AC-11-qq-e-19k,出さない,D-AC-11,D2JAPAN,サスペンションシステム サーキット,ピロボール+ラバー/アルミ,18.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,RSX,DC5,05～UP ,,,163072,,170138,D-AC-12-qq-e-21k,出さない,D-AC-12,D2JAPAN,サスペンションシステム サーキット,ピロボール+ラバー/アルミ,18.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,TL,UA5,99～03 ,,,170912,,170139,D-AC-13-qq-e-23k,出さない,D-AC-13,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,22.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,218000,出さない
ACURA,TL,,04～08 ,,,163072,,170140,D-AC-14-qq-e-25k,出さない,D-AC-14,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,26.0/22.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,TL,,09～UP ,,,170912,,170141,D-AC-15-qq-e-26k,出さない,D-AC-15,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,26.0/22.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,218000,出さない
ACURA,インテグラ,DA6,89～93 ,シングルカム<br>リア:アイ,,163072,,170129,D-AC-03-qq-e-3k,出さない,D-AC-03,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,18.0/16.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DA6,89～93 ,シングルカム<br>リア:フォーク,,163072,,170131,D-AC-05-qq-e-7k,出さない,D-AC-05,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,18.0/16.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DA6,89～93 ,ツインカム<br>リア:アイ,,163072,,170130,D-AC-04-qq-e-5k,出さない,D-AC-04,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,18.0/16.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DA6,89～93 ,ツインカム<br>リア:フォーク,,163072,,170132,D-AC-06-qq-e-9k,出さない,D-AC-06,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,18.0/16.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DC2,93～01 ,シングルカム<br>リア:アイ,,163072,,170133,D-AC-07-qq-e-11k,出さない,D-AC-07,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,20.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DC2,93～01 ,シングルカム<br>リア:フォーク,,163072,,170135,D-AC-09-qq-e-15k,出さない,D-AC-09,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,20.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DC2,93～01 ,ツインカム<br>リア:アイ,,163072,,170134,D-AC-08-qq-e-13k,出さない,D-AC-08,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,20.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DC2,93～01 ,ツインカム<br>リア:フォーク,,163072,,170136,D-AC-10-qq-e-17k,出さない,D-AC-10,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,20.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,レジェンド,KA7,91～95 ,,,170912,,170142,D-AC-17-qq-e-27k,出さない,D-AC-17,D2JAPAN,サスペンションシステム サーキット,アルミ/アルミ,22.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,218000,出さない
ALFAROMEO,147,,00～10,4気筒,,225792,,168934,D-AL-03-qq-e-31k,D-AL-03-qq-e-d-31k,D-AL-03,D2JAPAN,サスペンションシステム サーキット,アルミ/純正,20.0/12.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,288000,294200
ALFAROMEO,147,,00～10,6気筒,,225792,,168935,D-AL-04-qq-e-32k,D-AL-04-qq-e-d-32k,D-AL-04,D2JAPAN,サスペンションシステム サーキット,アルミ/純正,20.0/12.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,288000,294200
