自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,ストリートトップマウント(F/R),バネレート(F/R),仕様,注意事項,定価,取付売価
ACURA,インテグラ,DA6,89～93 ,シングルカム<br>リア:アイ,,163072,,169208,D-AC-03-qq-e-53,出さない,D-AC-03,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,アルミ/アルミ,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DA6,89～93 ,シングルカム<br>リア:フォーク,,163072,,169215,D-AC-05-qq-e-56,出さない,D-AC-05,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,アルミ/アルミ,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DA6,89～93 ,ツインカム<br>リア:アイ,,163072,,169213,D-AC-04-qq-e-809,出さない,D-AC-04,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,アルミ/アルミ,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DA6,89～93 ,ツインカム<br>リア:フォーク,,163072,,169220,D-AC-06-qq-e-55,出さない,D-AC-06,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,アルミ/アルミ,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DC2,93～01 ,シングルカム<br>リア:アイ,,163072,,169224,D-AC-07-qq-e-59,出さない,D-AC-07,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,アルミ/アルミ,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DC2,93～01 ,シングルカム<br>リア:フォーク,,163072,,169235,D-AC-09-qq-e-57,出さない,D-AC-09,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,アルミ/アルミ,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DC2,93～01 ,ツインカム<br>リア:アイ,,163072,,169231,D-AC-08-qq-e-58,出さない,D-AC-08,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,アルミ/アルミ,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
ACURA,インテグラ,DC2,93～01 ,ツインカム<br>リア:フォーク,,163072,,169245,D-AC-10-qq-e-814,出さない,D-AC-10,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,アルミ/アルミ,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,208000,出さない
BMW,3シリーズ E36,,90～98,4気筒,,186592,,168800,D-BM-16-qq-e-405,D-BM-16-qq-e-d-405,D-BM-16,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,ピロボール+ラバー/アルミ,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,238000,249200
BMW,3シリーズ E36,,90～98,4気筒<br>リア:一体型,,186592,,168794,D-BM-16-1-qq-e-474,D-BM-16-1-qq-e-d-474,D-BM-16-1,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,ピロボール+ラバー/ピロボール,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,238000,249200
BMW,3シリーズ E36,,90～98,6気筒,,186592,,168813,D-BM-17-qq-e-403,D-BM-17-qq-e-d-403,D-BM-17,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,ピロボール+ラバー/アルミ,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,238000,249200
BMW,3シリーズ E36,,90～98,6気筒<br>リア:一体型,,186592,,168807,D-BM-17-1-qq-e-479,D-BM-17-1-qq-e-d-479,D-BM-17-1,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,ピロボール+ラバー/ピロボール,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,238000,249200
BMW,M3 E36,,94～98,リア:一体型,,186592,,169376,D-BM-18-1-qq-e-477,出さない,D-BM-18-1,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,ピロボール+ラバー/ピロボール,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,238000,出さない
BMW,M3 E36,,94～98,,,186592,,169382,D-BM-18-qq-e-404,出さない,D-BM-18,D2JAPAN,サスペンションシステム ラリーグラベル/ラリースノー,ピロボール+ラバー/アルミ,,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,238000,出さない
