自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,ストリートトップマウント(F/R),バネレート(F/R),仕様,注意事項,定価,取付売価
ACURA,RSX,DC5,01～06 ,,,421792,,169248,D-AC-11-qq-e-637,出さない,D-AC-11,D2JAPAN,サスペンションシステム スーパーレーシング,ピロボール+ラバー/アルミ,18.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,538000,出さない
ACURA,RSX,DC5,05～UP ,,,421792,,169254,D-AC-12-qq-e-7,出さない,D-AC-12,D2JAPAN,サスペンションシステム スーパーレーシング,ピロボール+ラバー/アルミ,18.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,538000,出さない
ACURA,インテグラ,DC2,93～01 ,シングルカム<br>リア:アイ,,421792,,169226,D-AC-07-qq-e-633,出さない,D-AC-07,D2JAPAN,サスペンションシステム スーパーレーシング,アルミ/アルミ,20.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,538000,出さない
ACURA,インテグラ,DC2,93～01 ,シングルカム<br>リア:フォーク,,421792,,169237,D-AC-09-qq-e-635,出さない,D-AC-09,D2JAPAN,サスペンションシステム スーパーレーシング,アルミ/アルミ,20.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,538000,出さない
ACURA,インテグラ,DC2,93～01 ,ツインカム<br>リア:アイ,,421792,,169228,D-AC-08-qq-e-11,出さない,D-AC-08,D2JAPAN,サスペンションシステム スーパーレーシング,アルミ/アルミ,20.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,538000,出さない
ACURA,インテグラ,DC2,93～01 ,ツインカム<br>リア:フォーク,,421792,,169240,D-AC-10-qq-e-10,出さない,D-AC-10,D2JAPAN,サスペンションシステム スーパーレーシング,アルミ/アルミ,20.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,538000,出さない
AUDI,A3,8V1,12～UP,2WD<br>ショック差込径Φ50<br>リア:マルチリンクサスペンション<br>リア:一体型,,437472,,169285,D-AU-13-5-qq-e-86,出さない,D-AU-13-5,D2JAPAN,サスペンションシステム スーパーレーシング,,16.0/14.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,558000,出さない
AUDI,A3,8V1,12～UP,2WD<br>ショック差込径Φ55<br>リア:マルチリンクサスペンション<br>リア:一体型,,437472,,169287,D-AU-13-6-qq-e-87,出さない,D-AU-13-6,D2JAPAN,サスペンションシステム スーパーレーシング,,16.0/14.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,558000,出さない
AUDI,A3 MK2 ハッチ,3D 8P1,03～12,2WD<br>ショック差込径φ50,,421792,,169055,D-AU-11-qq-e-85,D-AU-11-qq-e-d-85,D-AU-11,D2JAPAN,サスペンションシステム スーパーレーシング,ピロボール+ラバー/純正,16.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,538000,524200
AUDI,A3 MK2 ハッチ,3D 8P1,03～12,2WD<br>ショック差込径φ55,,421792,,169058,D-AU-12-qq-e-88,D-AU-12-qq-e-d-88,D-AU-12,D2JAPAN,サスペンションシステム スーパーレーシング,ピロボール+ラバー/純正,16.0/18.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,538000,524200
