自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,ストリートトップマウント(F/R),バネレート(F/R),仕様,注意事項,定価,取付売価
ACURA,RSX,DC5,01～06 ,,,264992,,169247,D-AC-11-qq-e-608,出さない,D-AC-11,D2JAPAN,サスペンションシステム スーパースポーツ,ピロボール+ラバー/アルミ,9.8/10.5,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,出さない
ACURA,RSX,DC5,05～UP ,,,264992,,169253,D-AC-12-qq-e-609,出さない,D-AC-12,D2JAPAN,サスペンションシステム スーパースポーツ,ピロボール+ラバー/アルミ,9.8/10.5,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,出さない
ACURA,インテグラ,DC2,93～01 ,シングルカム<br>リア:アイ,,264992,,169225,D-AC-07-qq-e-604,出さない,D-AC-07,D2JAPAN,サスペンションシステム スーパースポーツ,アルミ/アルミ,12.0/6.3,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,出さない
ACURA,インテグラ,DC2,93～01 ,シングルカム<br>リア:フォーク,,264992,,169236,D-AC-09-qq-e-607,出さない,D-AC-09,D2JAPAN,サスペンションシステム スーパースポーツ,アルミ/アルミ,12.0/6.3,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,出さない
ACURA,インテグラ,DC2,93～01 ,ツインカム<br>リア:アイ,,264992,,169232,D-AC-08-qq-e-605,出さない,D-AC-08,D2JAPAN,サスペンションシステム スーパースポーツ,アルミ/アルミ,14.0/6.3,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,出さない
ACURA,インテグラ,DC2,93～01 ,ツインカム<br>リア:フォーク,,264992,,169242,D-AC-10-qq-e-6,出さない,D-AC-10,D2JAPAN,サスペンションシステム スーパースポーツ,アルミ/アルミ,14.0/6.3,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,出さない
AUDI,A3,8V1,12～UP,2WD<br>ショック差込径Φ50<br>リア:マルチリンクサスペンション<br>リア:別体型,,264992,,169280,D-AU-13-3-qq-e-82,出さない,D-AU-13-3,D2JAPAN,サスペンションシステム スーパースポーツ,ピロボール+ラバー/純正,10.5/4.5,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,出さない
AUDI,A3,8V1,12～UP,2WD<br>ショック差込径Φ55<br>リア:マルチリンクサスペンション<br>リア:別体型,,264992,,169282,D-AU-13-4-qq-e-80,出さない,D-AU-13-4,D2JAPAN,サスペンションシステム スーパースポーツ,ピロボール+ラバー/純正,10.5/4.5,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,出さない
AUDI,A3 MK2 ハッチ,3D 8P1,03～12,2WD<br>ショック差込径φ50,,264992,,169113,D-AU-11-qq-e-394k,D-AU-11-qq-e-d-394k,D-AU-11,D2JAPAN,サスペンションシステム スーパースポーツ,ピロボール+ラバー/純正,10.5/6.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,344200
AUDI,A3 MK2 ハッチ,3D 8P1,03～12,2WD<br>ショック差込径φ55,,264992,,169057,D-AU-12-qq-e-84,D-AU-12-qq-e-d-84,D-AU-12,D2JAPAN,サスペンションシステム スーパースポーツ,ピロボール+ラバー/純正,10.5/6.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,344200
AUDI,A3 MK2 ハッチ,5D 8PA,04～12,2WD<br>ショック差込径φ50,,264992,,169111,D-AU-07-qq-e-392k,D-AU-07-qq-e-d-392k,D-AU-07,D2JAPAN,サスペンションシステム スーパースポーツ,ピロボール+ラバー/純正,10.5/6.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,344200
AUDI,A3 MK2 ハッチ,5D 8PA,04～12,2WD<br>ショック差込径φ55,,264992,,169112,D-AU-08-qq-e-393k,D-AU-08-qq-e-d-393k,D-AU-08,D2JAPAN,サスペンションシステム スーパースポーツ,ピロボール+ラバー/純正,10.5/6.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,344200
AUDI,A3 スポーツバック,8VA,12～UP,2WD<br>ショック差込径Φ50<br>リア:マルチリンクサスペンション<br>リア:別体型,,264992,,169276,D-AU-13-1-qq-e-81,出さない,D-AU-13-1,D2JAPAN,サスペンションシステム スーパースポーツ,ピロボール+ラバー/純正,10.5/6.0,フルタップ全長調整式<br>減衰36段調整式<br>鉄チューブアルミブラケット(紫アルマイト)<br>ブレーキホースブラケット<br>アッパーマウントアルミ<br>ストラット車ピロUPマウント付,スプリングレート変更ご希望の場合には、ご注文前にお問い合わせください<br>一部車種では車高調整機能が無い、もしくは全長調整式では無い場合があります<br>ご不明な点はメーカーまでお問合せ下さい,338000,出さない
