自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ASTONMARTIN,DB7,AMV7,99～03,5.9 V12 GT/GTA,リア,8000,,88237,EC9910849-qq-e-5135k,出さない,4547726315248,9910849,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,10000,出さない
CADILLAC,ATS,A1SL,13/03～,クーペ 2.0 ターボ,フロント,6400,,113177,EC341225-qq-e-5137k,出さない,4547726313350,341225,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,8000,出さない
CADILLAC,ATS,A1SL,13/03～,セダン 2.0 ターボ,フロント,6400,,87116,EC341225-qq-e-5136k,出さない,4547726313350,341225,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,8000,出さない
CADILLAC,CTS,A1LL,14/04～,2.0 ターボ,フロント,6400,,99901,EC341225-qq-e-5139k,出さない,4547726313350,341225,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,8000,出さない
CADILLAC,CTS,A1LLV,16/01～,V 6.2 スーパーチャージャー<br>CTS-V,リア,8000,,88238,EC9910849-qq-e-5140k,出さない,4547726315248,9910849,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,10000,出さない
CADILLAC,CTS,X322V,08/01～14/03,V 6.2 スーパーチャージャー,リア,8000,,100975,EC9910849-qq-e-5138k,出さない,4547726315248,9910849,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,10000,出さない
CADILLAC,STS,295V,06/01～11,4.4 スーパーチャージャー,フロント,6400,,106504,EC341225-qq-e-5141k,出さない,4547726313350,341225,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,8000,出さない
CADILLAC,STS,295V,06/01～11,4.4 スーパーチャージャー,リア,8000,,120903,EC9910849-qq-e-5142k,出さない,4547726315248,9910849,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,10000,出さない
CADILLAC,XTS,,12/06～,3.6 FF&4WD,フロント,6400,,113178,EC341225-qq-e-5143k,出さない,4547726313350,341225,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,8000,出さない
CHEVROLET,カマロ,,09/12～,6.2 V8<br>フロント:4ポット,フロント,6400,,81233,EC341225-qq-e-5144k,出さない,4547726313350,341225,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,8000,出さない
CHEVROLET,カマロ,,09/12～,6.2 V8<br>フロント:4ポット,リア,8000,,100976,EC9910849-qq-e-5145k,出さない,4547726315248,9910849,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,10000,出さない
CHEVROLET,コルベット C7,,14/04～,6.2,フロント,6400,,113904,EC341225-qq-e-5146k,出さない,4547726313350,341225,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,8000,出さない
CHRYSLER,300,,12/12～,SRT8,リア,8000,,88239,EC9910849-qq-e-5147k,出さない,4547726315248,9910849,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,10000,出さない
CHRYSLER,300C/ツーリング,,06～11,6.1 SRT8,リア,8000,,94448,EC9910849-qq-e-5148k,出さない,4547726315248,9910849,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,10000,出さない
CHRYSLER,ダッジ バイパー,,92～01,8.0 V10,フロント,8000,,107598,EC9910849-qq-e-5152k,出さない,4547726315248,9910849,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,,10000,出さない
