自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,フロント,9600,,120610,ES2511007-qq-e-5262k,出さない,4547726427040,2511007,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,リア,8000,,121579,ES2650522-qq-e-5263k,出さない,4547726427187,2650522,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,フロント,9600,,120611,ES2511007-qq-e-5264k,出さない,4547726427040,2511007,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,リア,8000,,116042,ES2551472-qq-e-5265k,出さない,4547726427118,2551472,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,フロント,9600,,102751,ES2511007-qq-e-5300k,出さない,4547726427040,2511007,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,リア,8000,,82590,ES2551685-qq-e-5301k,出さない,4547726427125,2551685,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,フロント,12800,,96226,ES2910849-qq-e-5302k,出さない,4547726427248,2910849,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,16000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,リア,8000,,88924,ES2551685-qq-e-5303k,出さない,4547726427125,2551685,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,リア,8000,,108637,ES2551685-qq-e-5304k,出さない,4547726427125,2551685,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,147,937BXB,04/03～,1.6 ツインスパーク,フロント,9600,,116036,ES2511007-qq-e-5298k,出さない,4547726427040,2511007,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,147,937BXB,04/03～,1.6 ツインスパーク,リア,8000,,76055,ES2551685-qq-e-5299k,出さない,4547726427125,2551685,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,155,167A2A/167A2D,92～95,2.0i ツインスパーク 8V,フロント,9600,,121584,ES2710459-qq-e-5305k,出さない,4547726427200,2710459,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,155,167A2A/167A2D,92～95,2.0i ツインスパーク 8V,リア,8000,,101977,ES2650522-qq-e-5306k,出さない,4547726427187,2650522,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,155,167A2C/167A1E,92～98,2.0 Q4 ターボ/2.5 V6<br>LUCAS,フロント,9600,,76840,ES2910856-qq-e-5309k,出さない,4547726427255,2910856,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,155,167A2C/167A1E,92～98,2.0 Q4 ターボ/2.5 V6<br>LUCAS,リア,8000,,121580,ES2650522-qq-e-5310k,出さない,4547726427187,2650522,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,155,167A2G,95～98,2.0i ツインスパーク 16V,フロント,9600,,89967,ES2910856-qq-e-5307k,出さない,4547726427255,2910856,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,155,167A2G,95～98,2.0i ツインスパーク 16V,リア,8000,,88929,ES2650522-qq-e-5308k,出さない,4547726427187,2650522,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
ALFAROMEO,156,932A1,02/01～02/07,2.5 V6,フロント,9600,,75103,ES2511007-qq-e-5274k,出さない,4547726427040,2511007,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,12000,出さない
ALFAROMEO,156,932A1,02/01～02/07,2.5 V6,リア,8000,,101974,ES2551685-qq-e-5275k,出さない,4547726427125,2551685,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,,10000,出さない
