自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,フロント,14400,,92392,M2511007-qq-e-9107k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,リア,14400,,84305,M2650522-qq-e-9108k,出さない,4547726227183,2650522,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,フロント,14400,,85692,M2511007-qq-e-9109k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,リア,14400,,91672,M2551472-qq-e-9110k,出さない,4547726227114,2551472,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,フロント,14400,,98471,M2511007-qq-e-9158k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,リア,12800,,78407,M2551685-qq-e-9159k,出さない,4547726227121,2551685,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,16000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,フロント,17600,,79112,M2910849-qq-e-9160k,出さない,4547726227244,2910849,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,22000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,リア,12800,,84628,M2551685-qq-e-9161k,出さない,4547726227121,2551685,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,16000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,フロント,17600,,125094,M2513092-qq-e-9162k,出さない,4547726223086,2513092,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,22000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,リア,12800,,117277,M2551685-qq-e-9163k,出さない,4547726227121,2551685,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,16000,出さない
ALFAROMEO,147,937BXB,04/03～,1.6 ツインスパーク,フロント,14400,,125090,M2511007-qq-e-9156k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,147,937BXB,04/03～,1.6 ツインスパーク,リア,12800,,104361,M2551685-qq-e-9157k,出さない,4547726227121,2551685,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,16000,出さない
ALFAROMEO,155,167A2A/167A2D,92～95,2.0i ツインスパーク 8V,フロント,14400,,104040,M2710459-qq-e-9164k,出さない,4547726227206,2710459,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,155,167A2A/167A2D,92～95,2.0i ツインスパーク 8V,リア,14400,,123593,M2650522-qq-e-9165k,出さない,4547726227183,2650522,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,155,167A2C/167A1E,92～98,2.0 Q4 ターボ/2.5 V6<br>LUCAS,フロント,16000,,79116,M2910856-qq-e-9168k,出さない,4547726227251,2910856,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,20000,出さない
ALFAROMEO,155,167A2C/167A1E,92～98,2.0 Q4 ターボ/2.5 V6<br>LUCAS,リア,14400,,116977,M2650522-qq-e-9169k,出さない,4547726227183,2650522,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,155,167A2G,95～98,2.0i ツインスパーク 16V,フロント,16000,,85709,M2910856-qq-e-9166k,出さない,4547726227251,2910856,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,20000,出さない
ALFAROMEO,155,167A2G,95～98,2.0i ツインスパーク 16V,リア,14400,,97139,M2650522-qq-e-9167k,出さない,4547726227183,2650522,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156,932A1,02/01～02/07,2.5 V6,フロント,14400,,79552,M2511007-qq-e-9119k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156,932A1,02/01～02/07,2.5 V6,リア,12800,,96901,M2551685-qq-e-9120k,出さない,4547726227121,2551685,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,16000,出さない
ALFAROMEO,156,932A1,98～01/12,2.5 V6,フロント,14400,,125088,M2511007-qq-e-9117k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156,932A1,98～01/12,2.5 V6,リア,14400,,104358,M2551018-qq-e-9118k,出さない,4547726227107,2551018,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156,932A2,02/01～02/07,2.0 ツインスパーク 16V,フロント,14400,,111803,M2511007-qq-e-9113k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156,932A2,02/01～02/07,2.0 ツインスパーク 16V,リア,12800,,77530,M2551685-qq-e-9114k,出さない,4547726227121,2551685,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,16000,出さない
ALFAROMEO,156,932A2,98～01/12,2.0 ツインスパーク 16V,フロント,14400,,98469,M2511007-qq-e-9111k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156,932A2,98～01/12,2.0 ツインスパーク 16V,リア,14400,,104357,M2551018-qq-e-9112k,出さない,4547726227107,2551018,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156,932AC,02/07～,2.5 V6,フロント,14400,,98470,M2511007-qq-e-9121k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156,932AC,02/07～,2.5 V6,リア,12800,,77531,M2551685-qq-e-9122k,出さない,4547726227121,2551685,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,16000,出さない
ALFAROMEO,156,932AXA,02/07～06/02,2.0 JTS,フロント,14400,,125087,M2511007-qq-e-9115k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156,932AXA,02/07～06/02,2.0 JTS,リア,12800,,123046,M2551685-qq-e-9116k,出さない,4547726227121,2551685,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,16000,出さない
ALFAROMEO,156,932AXB,02/07～03/11,3.2 GTA,フロント,17600,,111812,M2910849-qq-e-9123k,出さない,4547726227244,2910849,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,22000,出さない
ALFAROMEO,156,932AXB,02/07～03/11,3.2 GTA,リア,12800,,90584,M2551685-qq-e-9124k,出さない,4547726227121,2551685,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,16000,出さない
ALFAROMEO,156,932AXB,03/11～,3.2 GTA<br>VET No.0588973→,フロント,17600,,118387,M2513092-qq-e-9125k,出さない,4547726223086,2513092,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,22000,出さない
ALFAROMEO,156,932AXB,03/11～,3.2 GTA<br>VET No.0588973→,リア,12800,,77532,M2551685-qq-e-9126k,出さない,4547726227121,2551685,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,16000,出さない
ALFAROMEO,156 スポーツワゴン,932B1,01/01～01/12,2.5 V6 Qシステム,フロント,14400,,79553,M2511007-qq-e-9133k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156 スポーツワゴン,932B1,01/01～01/12,2.5 V6 Qシステム,リア,14400,,85006,M2551018-qq-e-9134k,出さない,4547726227107,2551018,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156 スポーツワゴン,932B1,02/01～02/09,2.5 V6 Qシステム,フロント,14400,,92393,M2511007-qq-e-9135k,出さない,4547726227046,2511007,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,18000,出さない
ALFAROMEO,156 スポーツワゴン,932B1,02/01～02/09,2.5 V6 Qシステム,リア,12800,,103477,M2551685-qq-e-9136k,出さない,4547726227121,2551685,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,,16000,出さない
