自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,フロント,8000,,77828,P2511007-qq-e-1k,出さない,4547726217047,2511007,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,10000,出さない
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,リア,6400,,118434,P2650522-qq-e-2k,出さない,4547726217184,2650522,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,8000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,フロント,8000,,117103,P2511007-qq-e-3k,出さない,4547726217047,2511007,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,10000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,リア,6400,,84449,P2551472-qq-e-4k,出さない,4547726217115,2551472,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,8000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,フロント,8000,,84433,P2511007-qq-e-53k,出さない,4547726217047,2511007,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,10000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,リア,6400,,125121,P2551685-qq-e-54k,出さない,4547726217122,2551685,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,8000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,フロント,12000,,123759,P2910849-qq-e-55k,出さない,4547726217245,2910849,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,15000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,リア,6400,,118423,P2551685-qq-e-56k,出さない,4547726217122,2551685,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,8000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,フロント,12000,,91063,P2513092-qq-e-57k,出さない,4547726213087,2513092,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,15000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,リア,6400,,92421,P2551685-qq-e-58k,出さない,4547726217122,2551685,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,8000,出さない
ALFAROMEO,147,937BXB,04/03～,1.6 ツインスパーク,フロント,8000,,91059,P2511007-qq-e-51k,出さない,4547726217047,2511007,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,10000,出さない
ALFAROMEO,147,937BXB,04/03～,1.6 ツインスパーク,リア,6400,,91078,P2551685-qq-e-52k,出さない,4547726217122,2551685,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,8000,出さない
ALFAROMEO,155,167A2A/167A2D,92～95,2.0i ツインスパーク 8V,フロント,8000,,90680,P2710459-qq-e-59k,出さない,4547726217207,2710459,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,10000,出さない
ALFAROMEO,155,167A2A/167A2D,92～95,2.0i ツインスパーク 8V,リア,6400,,111842,P2650522-qq-e-60k,出さない,4547726217184,2650522,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,8000,出さない
ALFAROMEO,155,167A2C/167A1E,92～98,2.0 Q4 ターボ/2.5 V6<br>LUCAS,フロント,8000,,86608,P2910856-qq-e-63k,出さない,4547726217252,2910856,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,10000,出さない
ALFAROMEO,155,167A2C/167A1E,92～98,2.0 Q4 ターボ/2.5 V6<br>LUCAS,リア,6400,,118435,P2650522-qq-e-64k,出さない,4547726217184,2650522,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,8000,出さない
ALFAROMEO,155,167A2G,95～98,2.0i ツインスパーク 16V,フロント,8000,,106278,P2910856-qq-e-61k,出さない,4547726217252,2910856,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,10000,出さない
ALFAROMEO,155,167A2G,95～98,2.0i ツインスパーク 16V,リア,6400,,125134,P2650522-qq-e-62k,出さない,4547726217184,2650522,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,8000,出さない
ALFAROMEO,156,932A1,02/01～02/07,2.5 V6,フロント,8000,,103802,P2511007-qq-e-13k,出さない,4547726217047,2511007,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,10000,出さない
ALFAROMEO,156,932A1,02/01～02/07,2.5 V6,リア,6400,,104203,P2551685-qq-e-14k,出さない,4547726217122,2551685,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,8000,出さない
ALFAROMEO,156,932A1,98～01/12,2.5 V6,フロント,8000,,97234,P2511007-qq-e-11k,出さない,4547726217047,2511007,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,10000,出さない
ALFAROMEO,156,932A1,98～01/12,2.5 V6,リア,6400,,84445,P2551018-qq-e-12k,出さない,4547726217108,2551018,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,8000,出さない
ALFAROMEO,156,932A2,02/01～02/07,2.0 ツインスパーク 16V,フロント,8000,,97237,P2511007-qq-e-7k,出さない,4547726217047,2511007,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,,10000,出さない
