自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,フロント,26400,,117828,R012511007-qq-e-3687k,出さない,4547726257043,2511007,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,フロント,26400,,117829,R012511007-qq-e-3688k,出さない,4547726257043,2511007,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,フロント,26400,,78859,R012511007-qq-e-3724k,出さない,4547726257043,2511007,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,リア,26400,,118852,R012551685-qq-e-3725k,出さない,4547726257128,2551685,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,リア,26400,,92858,R012551685-qq-e-3726k,出さない,4547726257128,2551685,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,リア,26400,,118853,R012551685-qq-e-3727k,出さない,4547726257128,2551685,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,147,937BXB,04/03～,1.6 ツインスパーク,フロント,26400,,78858,R012511007-qq-e-3722k,出さない,4547726257043,2511007,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,147,937BXB,04/03～,1.6 ツインスパーク,リア,26400,,86153,R012551685-qq-e-3723k,出さない,4547726257128,2551685,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,155,167A2A/167A2D,92～95,2.0i ツインスパーク 8V,フロント,26400,,112272,R012710459-qq-e-3728k,出さない,4547726257203,2710459,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,155,167A2C/167A1E,92～98,2.0 Q4 ターボ/2.5 V6<br>LUCAS,フロント,26400,,110527,R012910856-qq-e-3730k,出さない,4547726257258,2910856,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,155,167A2G,95～98,2.0i ツインスパーク 16V,フロント,26400,,117119,R012910856-qq-e-3729k,出さない,4547726257258,2910856,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,156,932A1,02/01～02/07,2.5 V6,フロント,26400,,91417,R012511007-qq-e-3697k,出さない,4547726257043,2511007,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,156,932A1,02/01～02/07,2.5 V6,リア,26400,,76599,R012551685-qq-e-3698k,出さない,4547726257128,2551685,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,156,932A1,98～01/12,2.5 V6,フロント,26400,,97987,R012511007-qq-e-3695k,出さない,4547726257043,2511007,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,156,932A1,98～01/12,2.5 V6,リア,26400,,95270,R012551018-qq-e-3696k,出さない,4547726257104,2551018,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,156,932A2,02/01～02/07,2.0 ツインスパーク 16V,フロント,26400,,117830,R012511007-qq-e-3691k,出さない,4547726257043,2511007,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,156,932A2,02/01～02/07,2.0 ツインスパーク 16V,リア,26400,,82726,R012551685-qq-e-3692k,出さない,4547726257128,2551685,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,156,932A2,98～01/12,2.0 ツインスパーク 16V,フロント,26400,,124087,R012511007-qq-e-3689k,出さない,4547726257043,2511007,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,156,932A2,98～01/12,2.0 ツインスパーク 16V,リア,26400,,108442,R012551018-qq-e-3690k,出さない,4547726257104,2551018,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,156,932AC,02/07～,2.5 V6,フロント,26400,,117831,R012511007-qq-e-3699k,出さない,4547726257043,2511007,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
ALFAROMEO,156,932AC,02/07～,2.5 V6,リア,26400,,76600,R012551685-qq-e-3700k,出さない,4547726257128,2551685,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,,33000,出さない
