自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,フロント,30400,,112304,RA2910849-qq-e-4544k,出さない,4547726267240,2910849,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,フロント,38400,,86200,RA2513092-qq-e-4545k,出さない,4547726263082,2513092,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,48000,出さない
ALFAROMEO,156,932AXB,02/07～03/11,3.2 GTA,フロント,30400,,105604,RA2910849-qq-e-4539k,出さない,4547726267240,2910849,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALFAROMEO,156,932AXB,03/11～,3.2 GTA<br>VET No.0588973→,フロント,38400,,79652,RA2513092-qq-e-4540k,出さない,4547726263082,2513092,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,48000,出さない
ALFAROMEO,156 スポーツワゴン,932BXB,02/07～03/11,3.2 GTA<br>左ハンドル・MT車(並行車),フロント,30400,,112303,RA2910849-qq-e-4541k,出さない,4547726267240,2910849,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALFAROMEO,156 スポーツワゴン,932BXB,03/11～,3.2 GTA<br>右ハンドル・AT車(VET No.0588973→),フロント,38400,,92477,RA2513092-qq-e-4542k,出さない,4547726263082,2513092,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,48000,出さない
ALFAROMEO,159,93922,08/03～,2.2 JTS TI<br>フロント:ブレンボ VET No.→7115379,フロント,38400,,118477,RA2513092-qq-e-4546k,出さない,4547726263082,2513092,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,48000,出さない
ALFAROMEO,159,93932,06/02～,3.2 JTS Q4<br>VET No.→7115379 ブレンボ,フロント,38400,,118478,RA2513092-qq-e-4548k,出さない,4547726263082,2513092,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,48000,出さない
ALFAROMEO,GT,93732L,04/06～12/04,3.2 GTA<br>ブレンボ,フロント,38400,,118479,RA2513092-qq-e-4552k,出さない,4547726263082,2513092,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,48000,出さない
ALFAROMEO,GTV,916C1/916C1B,95～98/02,3.0 V6<br>ブレンボ,フロント,30400,,99046,RA2910849-qq-e-4553k,出さない,4547726267240,2910849,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALFAROMEO,GTV,916C1/916C1B,98/03～,3.0 V6<br>ブレンボ,フロント,30400,,112305,RA2910849-qq-e-4554k,出さない,4547726267240,2910849,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALFAROMEO,GTV,916CXB,03/07～,3.2 V6 24V,フロント,30400,,92480,RA2910849-qq-e-4555k,出さない,4547726267240,2910849,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALFAROMEO,スパイダー,916S1B/916SXB,01/09～06/09,3.0/3.2 V6 24V<br>ブレンボ,フロント,30400,,99047,RA2910849-qq-e-4558k,出さない,4547726267240,2910849,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALFAROMEO,スパイダー,93932S,06/10～,3.2 JTS Q4,フロント,38400,,92478,RA2513092-qq-e-4559k,出さない,4547726263082,2513092,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,48000,出さない
ALFAROMEO,ブレラ,93932S,06/04～,3.2 JTS Q4<br>ブレンボ,フロント,38400,,112301,RA2513092-qq-e-4551k,出さない,4547726263082,2513092,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,48000,出さない
ALPINA,E30,BA5,86～90,B6 3.5S,リア,18400,,113698,RA1250555-qq-e-4560k,出さない,4547726261453,1250555,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,23000,出さない
ALPINA,E32,BB1/BB3/F10,87～95,B11 3.5/4.0,フロント,30400,,117449,RA1210602-qq-e-4561k,出さない,4547726261361,1210602,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALPINA,E32,BB1/BB3/F10,87～95,B11 3.5/4.0,リア,18400,,100432,RA1250555-qq-e-4562k,出さない,4547726261453,1250555,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,23000,出さない
ALPINA,E32,D10,88～90/1,B12 5.0,フロント,30400,,123774,RA1210602-qq-e-4563k,出さない,4547726261361,1210602,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALPINA,E32,D10,88～90/1,B12 5.0,リア,18400,,113699,RA1250555-qq-e-4564k,出さない,4547726261453,1250555,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,23000,出さない
ALPINA,E32,D10,90/1～94,B12 5.0,リア,18400,,81015,RA1250555-qq-e-4565k,出さない,4547726261453,1250555,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,23000,出さない
ALPINA,E34,BB3,88～92,B10 3.5/1,フロント,30400,,123775,RA1210602-qq-e-4566k,出さない,4547726261361,1210602,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALPINA,E34,BB3,88～92,B10 3.5/1,リア,18400,,120346,RA1250555-qq-e-4567k,出さない,4547726261453,1250555,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,23000,出さない
ALPINA,E34,E31/HE31,93～95,B10 3.0 オールロード,フロント,30400,,104232,RA1210602-qq-e-4569k,出さない,4547726261361,1210602,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALPINA,E34,E31/HE31,93～95,B10 3.0 オールロード,リア,18400,,87636,RA1250555-qq-e-4570k,出さない,4547726261453,1250555,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,23000,出さない
ALPINA,E34,F10/KF0,93～94,B10 4.0,フロント,30400,,84777,RA1210602-qq-e-4571k,出さない,4547726261361,1210602,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,38000,出さない
ALPINA,E34,F10/KF0,93～94,B10 4.0,リア,18400,,126535,RA1250555-qq-e-4572k,出さない,4547726261453,1250555,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,23000,出さない
ALPINA,E34,,89～93,B10 ビターボ,リア,18400,,93892,RA1250555-qq-e-4568k,出さない,4547726261453,1250555,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,23000,出さない
ALPINA,E36,E10/E13/CE42,92～93,B6 2.8/2.8 ツーリング,フロント,26400,,110917,RA1210710-qq-e-4577k,出さない,4547726261378,1210710,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,33000,出さない
ALPINA,E36,E10/E13/CE42,92～93,B6 2.8/2.8 ツーリング,リア,26400,,126537,RA1250907-qq-e-4578k,出さない,4547726261477,1250907,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,33000,出さない
ALPINA,E36,WE40/XE40/ZE40/YE40,96～99,B3 3.2,フロント,26400,,117450,RA1210710-qq-e-4575k,出さない,4547726261378,1210710,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,33000,出さない
ALPINA,E36,WE40/XE40/ZE40/YE40,96～99,B3 3.2,リア,26400,,113703,RA1250907-qq-e-4576k,出さない,4547726261477,1250907,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,33000,出さない
ALPINA,E36,,93～96,B3 3.0(325/328)<br>325&328 ベース,フロント,26400,,91129,RA1210710-qq-e-4573k,出さない,4547726261378,1210710,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,33000,出さない
ALPINA,E36,,93～96,B3 3.0(325/328)<br>325&328 ベース,リア,26400,,94219,RA1250907-qq-e-4574k,出さない,4547726261477,1250907,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,,33000,出さない
