自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
FIAT,124スパイダー,NF2EK,16/10～,アバルト 124 スパイダー 1.4 ターボ,リア,20800,,123130,RD355270-qq-e-6940k,出さない,4547726184028,355270,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
LOTUS,エキシージ,,00～01,フェーズI,フロント,20800,,91957,RD325499-qq-e-6945k,出さない,4547726182345,325499,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
LOTUS,エキシージ,,04～13,フェーズII,フロント,20800,,79126,RD325499-qq-e-6946k,出さない,4547726182345,325499,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
LOTUS,エリーゼ,1117/1120,01/05～,フェーズII<br>120/111/R/SC/CR/SCR etc,フロント,20800,,118004,RD325499-qq-e-6942k,出さない,4547726182345,325499,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
LOTUS,エリーゼ,,03～,ELISE S<br>AP 2ポット,フロント,20800,,85778,RD325499-qq-e-6943k,出さない,4547726182345,325499,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
LOTUS,エリーゼ,,99/3～01/05,フェーズI<br>340R含む,フロント,20800,,98506,RD325499-qq-e-6941k,出さない,4547726182345,325499,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
LOTUS,ヨーロッパS,121,06/07～,ベースグレード/225,フロント,20800,,105072,RD325499-qq-e-6944k,出さない,4547726182345,325499,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
MASERATI,ギブリ,,93～98,GHIBLI<br>フロント:4ポット 2ポット,リア,20800,,98507,RD325499-qq-e-6947k,出さない,4547726182345,325499,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
MASERATI,クアトロポルテ,QP6/MQ,94～01,2.8 V6<br>フロント:4ポット リア:2ポット,リア,20800,,79127,RD325499-qq-e-6948k,出さない,4547726182345,325499,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
MASERATI,クアトロポルテ,QP8,94～01,3.2 V8,リア,20800,,98508,RD325499-qq-e-6949k,出さない,4547726182345,325499,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
OPEL,スピードスター,,03～,2.2,フロント,20800,,85779,RD325499-qq-e-6950k,出さない,4547726182345,325499,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
ROVER,200シリーズ,RF16/RF18,96/9～99/12,200 Si/SLi/Vi,リア,20800,,102145,RD335036-qq-e-6956k,出さない,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
ROVER,200シリーズ,XW16/XW16K,96/9～99/12,216 クーペ/カブリオレ,リア,20800,,82744,RD335036-qq-e-6954k,出さない,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
ROVER,200シリーズ,XW20T/XW20TS,93～96/8,220 GTi ターボ,リア,20800,,122142,RD335036-qq-e-6952k,出さない,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
ROVER,200シリーズ,XW20T/XW20TS,93～99/12,220 クーペ,リア,20800,,76621,RD335036-qq-e-6955k,出さない,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
ROVER,200シリーズ,XWD16/XWD16S,93～96/8,216 GTi,リア,20800,,115409,RD335036-qq-e-6951k,出さない,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
ROVER,200シリーズ,XWD16/XWD16S/XWD16K/XWD16KS,93～96/8,216 クーペ/カブリオレ,リア,20800,,82743,RD335036-qq-e-6953k,出さない,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
ROVER,400シリーズ,RTD16,96/6～99/12,416 Si/SLi,リア,20800,,95546,RD335036-qq-e-6960k,出さない,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
ROVER,400シリーズ,XW16W,97/2～99,416 ツアラー,リア,20800,,89448,RD335036-qq-e-6959k,出さない,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
ROVER,400シリーズ,XWD16,93～96/5,416 Si/SLi,リア,20800,,89447,RD335036-qq-e-6957k,出さない,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
ROVER,400シリーズ,XWD16W,95～97/1,416 ツアラー,リア,20800,,82745,RD335036-qq-e-6958k,出さない,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
ROVER,600シリーズ,RHF18/RHF20/RHH23,96～99,618/620/623,リア,20800,,98153,RD335112-qq-e-6961k,出さない,4547726182901,335112,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,出さない
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,リア,20800,,122141,RD335036-qq-e-4312k,RD335036-qq-e-d-4312k,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,23800
スズキ,Keiワークス,HN22S,02/11～,ターボ,リア,20800,,102144,RD335036-qq-e-4300k,RD335036-qq-e-d-4300k,4547726182895,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,,26000,23800
