自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,リア,16000,,85345,RN2650522-qq-e-6564k,出さない,4547726277188,2650522,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,,20000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,リア,16000,,85339,RN2551472-qq-e-6565k,出さない,4547726277119,2551472,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,,20000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,リア,16000,,124395,RN2551685-qq-e-6583k,出さない,4547726277126,2551685,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,,20000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,リア,16000,,78890,RN2551685-qq-e-6584k,出さない,4547726277126,2551685,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,,20000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,リア,16000,,104841,RN2551685-qq-e-6585k,出さない,4547726277126,2551685,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,,20000,出さない
ALFAROMEO,147,937BXB,04/03～,1.6 ツインスパーク,リア,16000,,98189,RN2551685-qq-e-6582k,出さない,4547726277126,2551685,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,,20000,出さない
ALFAROMEO,155,167A2A/167A2D,92～95,2.0i ツインスパーク 8V,リア,16000,,91743,RN2650522-qq-e-6586k,出さない,4547726277188,2650522,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,,20000,出さない
ALFAROMEO,155,167A2C/167A1E,92～98,2.0 Q4 ターボ/2.5 V6<br>LUCAS,リア,16000,,124397,RN2650522-qq-e-6588k,出さない,4547726277188,2650522,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,,20000,出さない
ALFAROMEO,155,167A2G,95～98,2.0i ツインスパーク 16V,リア,16000,,104842,RN2650522-qq-e-6587k,出さない,4547726277188,2650522,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,,20000,出さない
ALFAROMEO,156,932A1,02/01～02/07,2.5 V6,リア,16000,,78887,RN2551685-qq-e-6570k,出さない,4547726277126,2551685,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,,20000,出さない
