自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,フロント,43200,,126574,SPa2910849-qq-e-5590k,出さない,4547726477243,2910849,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,48000,出さない
ALFAROMEO,156,932AXB,02/07～03/11,3.2 GTA,フロント,43200,,100463,SPa2910849-qq-e-5588k,出さない,4547726477243,2910849,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,48000,出さない
ALFAROMEO,156 スポーツワゴン,932BXB,02/07～03/11,3.2 GTA<br>左ハンドル・MT車(並行車),フロント,43200,,113401,SPa2910849-qq-e-5589k,出さない,4547726477243,2910849,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,48000,出さない
ALFAROMEO,GTV,916C1/916C1B,95～98/02,3.0 V6<br>ブレンボ,フロント,43200,,119997,SPa2910849-qq-e-5591k,出さない,4547726477243,2910849,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,48000,出さない
ALFAROMEO,GTV,916C1/916C1B,98/03～,3.0 V6<br>ブレンボ,フロント,43200,,100464,SPa2910849-qq-e-5592k,出さない,4547726477243,2910849,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,48000,出さない
ALFAROMEO,GTV,916CXB,03/07～,3.2 V6 24V,フロント,43200,,100465,SPa2910849-qq-e-5593k,出さない,4547726477243,2910849,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,48000,出さない
ALFAROMEO,スパイダー,916S1B/916SXB,01/09～06/09,3.0/3.2 V6 24V<br>ブレンボ,フロント,43200,,100466,SPa2910849-qq-e-5594k,出さない,4547726477243,2910849,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,48000,出さない
ALPINA,E32,BB1/BB3/F10,87～95,B11 3.5/4.0,フロント,36000,,90456,SPa1210602-qq-e-5595k,出さない,4547726471364,1210602,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
ALPINA,E32,D10,88～90/1,B12 5.0,フロント,36000,,110266,SPa1210602-qq-e-5596k,出さない,4547726471364,1210602,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
ALPINA,E34,BB3,88～92,B10 3.5/1,フロント,36000,,116832,SPa1210602-qq-e-5597k,出さない,4547726471364,1210602,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
ALPINA,E34,E31/HE31,93～95,B10 3.0 オールロード,フロント,36000,,113390,SPa1210602-qq-e-5598k,出さない,4547726471364,1210602,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
ALPINA,E34,F10/KF0,93～94,B10 4.0,フロント,36000,,100136,SPa1210602-qq-e-5599k,出さない,4547726471364,1210602,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,40000,出さない
ALPINA,E36,E10/E13/CE42,92～93,B6 2.8/2.8 ツーリング,フロント,34200,,94978,SPa1210710-qq-e-5604k,出さない,4547726471371,1210710,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
ALPINA,E36,E10/E13/CE42,92～93,B6 2.8/2.8 ツーリング,リア,34200,,107821,SPa1250907-qq-e-5605k,出さない,4547726471470,1250907,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
ALPINA,E36,WE40/XE40/ZE40/YE40,96～99,B3 3.2,フロント,34200,,101521,SPa1210710-qq-e-5602k,出さない,4547726471371,1210710,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
ALPINA,E36,WE40/XE40/ZE40/YE40,96～99,B3 3.2,リア,34200,,81819,SPa1250907-qq-e-5603k,出さない,4547726471470,1250907,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
ALPINA,E36,,93～96,B3 3.0(325/328)<br>325&328 ベース,フロント,34200,,121121,SPa1210710-qq-e-5600k,出さない,4547726471371,1210710,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
ALPINA,E36,,93～96,B3 3.0(325/328)<br>325&328 ベース,リア,34200,,81818,SPa1250907-qq-e-5601k,出さない,4547726471470,1250907,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,,38000,出さない
