自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,フロント,19200,,77250,X2511007-qq-e-9447k,出さない,4547726237045,2511007,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,24000,出さない
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,リア,16000,,125606,X2650522-qq-e-9448k,出さない,4547726237182,2650522,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,20000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,フロント,19200,,103143,X2511007-qq-e-9449k,出さない,4547726237045,2511007,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,24000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,リア,17600,,126359,X2551472-qq-e-9450k,出さない,4547726237113,2551472,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,22000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,フロント,19200,,96612,X2511007-qq-e-9497k,出さない,4547726237045,2511007,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,24000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,リア,17600,,99442,X2551685-qq-e-9498k,出さない,4547726237120,2551685,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,22000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,フロント,19200,,106053,X2910849-qq-e-9499k,出さない,4547726237243,2910849,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,24000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,リア,17600,,99443,X2551685-qq-e-9500k,出さない,4547726237120,2551685,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,22000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,フロント,19200,,77253,X2513092-qq-e-9501k,出さない,4547726233085,2513092,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,24000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,リア,17600,,92918,X2551685-qq-e-9502k,出さない,4547726237120,2551685,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,22000,出さない
ALFAROMEO,147,937BXB,04/03～,1.6 ツインスパーク,フロント,19200,,90117,X2511007-qq-e-9495k,出さない,4547726237045,2511007,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,24000,出さない
ALFAROMEO,147,937BXB,04/03～,1.6 ツインスパーク,リア,17600,,80065,X2551685-qq-e-9496k,出さない,4547726237120,2551685,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,22000,出さない
ALFAROMEO,155,167A2A/167A2D,92～95,2.0i ツインスパーク 8V,フロント,22400,,118946,X2710459-qq-e-9503k,出さない,4547726237205,2710459,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,28000,出さない
ALFAROMEO,155,167A2A/167A2D,92～95,2.0i ツインスパーク 8V,リア,16000,,112361,X2650522-qq-e-9504k,出さない,4547726237182,2650522,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,20000,出さない
ALFAROMEO,155,167A2C/167A1E,92～98,2.0 Q4 ターボ/2.5 V6<br>LUCAS,フロント,22400,,86275,X2910856-qq-e-9507k,出さない,4547726237250,2910856,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,,28000,出さない
