自動車メーカー,車種,型式,年式,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,フロント,19200,,81863,Z2511007-qq-e-4335k,出さない,4547726247044,2511007,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,,24000,出さない
ALFAROMEO,145/146,930A5,95～98,2.0 16V ツインスパーク<br>VET No.→3170310,リア,16000,,78959,Z2650522-qq-e-4336k,出さない,4547726247181,2650522,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,,20000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,フロント,19200,,101234,Z2511007-qq-e-4337k,出さない,4547726247044,2511007,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,,24000,出さない
ALFAROMEO,145/146,930A5/930A534,98～01/09,2.0 16V ツインスパーク<br>VET No.3170311→,リア,17600,,98277,Z2551472-qq-e-4338k,出さない,4547726247112,2551472,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,,22000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,フロント,19200,,88504,Z2511007-qq-e-4386k,出さない,4547726247044,2511007,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,,24000,出さない
ALFAROMEO,147,937AB,01/12～,2.0 ツインスパーク,リア,17600,,78954,Z2551685-qq-e-4387k,出さない,4547726247129,2551685,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,,22000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,フロント,19200,,119753,Z2910849-qq-e-4388k,出さない,4547726247242,2910849,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,,24000,出さない
ALFAROMEO,147,937AXL,03/05～03/10,3.2 GTA<br>フロント:ディスク 304x28mm,リア,17600,,124476,Z2551685-qq-e-4389k,出さない,4547726247129,2551685,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,,22000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,フロント,19200,,122878,Z2513092-qq-e-4390k,出さない,4547726243084,2513092,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,,24000,出さない
ALFAROMEO,147,937AXL,03/10～,3.2 GTA<br>フロント:ディスク 330x32mm,リア,17600,,98285,Z2551685-qq-e-4391k,出さない,4547726247129,2551685,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,,22000,出さない
