自動車メーカー,車種,型式,適合詳細,H/S,シートタイプ,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,商品名DB,スプリングタイプ,アッパーマウント(F/R),スプリングレート(F/R),仕様,備考,注意事項,定価,SET価格
スズキ,スイフト,ZC32S,,,Bタイプ,250200,,259695,ZS802P07B-qq-e-429k,ZS802P07B-qq-e-d-429k,ZS802P07B,ENDLESS,ZEAL FUNCTION プラス7 Bタイプ,ZEAL FUNCTION プラス7,X COILS,,ID60-203-6K/ID65-152-4KT,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>スポーツ走行も重視したいユーザーにオススメ(7ミリ厚ラバー採用),フロントアッパーマウント:純正サポートを再使用(ベアリング付属)<br>リアマウントブッシュは純正品を再使用<br>オプションにてフロント専用ピロアッパーマウント仕様が可能(ご希望の場合はご購入前にお問い合わせください),,278000,237400
スズキ,スイフト,ZC32S,,,Fタイプ,248400,,259696,ZS802P07F-qq-e-430k,ZS802P07F-qq-e-d-430k,ZS802P07F,ENDLESS,ZEAL FUNCTION プラス7 Fタイプ,ZEAL FUNCTION プラス7,X COILS,,ID60-203-6K/ID65-152-4KT,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>スポーツ走行も重視したいユーザーにオススメ(7ミリ厚ラバー採用),フロントアッパーマウント:純正サポートを再使用(ベアリング付属)<br>リアマウントブッシュは純正品を再使用<br>オプションにてフロント専用ピロアッパーマウント仕様が可能(ご希望の場合はご購入前にお問い合わせください),,276000,235800
スバル,BRZ,ZC6,,,Bタイプ,275400,,259662,ZS741P07B2-qq-e-396k,ZS741P07B2-qq-e-d-396k,ZS741P07B2,ENDLESS,ZEAL FUNCTION プラス7 Bタイプ,ZEAL FUNCTION プラス7,X COILS,調整式ピロ/アルミリジット,ID60-178-8K/ID60-152-7K+FELzS70,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>スポーツ走行も重視したいユーザーにオススメ(7ミリ厚ラバー採用),,,306000,259800
スバル,WRX STI,VAB,,,Bタイプ,267300,,259655,ZS709P07B-qq-e-389k,ZS709P07B-qq-e-d-389k,ZS709P07B,ENDLESS,ZEAL FUNCTION プラス7 Bタイプ,ZEAL FUNCTION プラス7,X COILS,調整式ピロ/アルミリジット,ID65-178-8K+1.5K/ID65-178-6K+FELzS70,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>スポーツ走行も重視したいユーザーにオススメ(7ミリ厚ラバー採用),,,297000,255600
スバル,WRX STI,VAB,,,Cタイプ,269100,,259656,ZS709P07C-qq-e-390k,ZS709P07C-qq-e-d-390k,ZS709P07C,ENDLESS,ZEAL FUNCTION プラス7 Cタイプ,ZEAL FUNCTION プラス7,X COILS,調整式ピロ/アルミリジット,ID65-178-8K+1.5K/ID65-178-6K+FELzS70,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>スポーツ走行も重視したいユーザーにオススメ(7ミリ厚ラバー採用),,,299000,257200
スバル,インプレッサ,GDB,アプライドA/B/C/D,,Bタイプ,284400,,259616,ZS703P07B-qq-e-350k,ZS703P07B-qq-e-d-350k,ZS703P07B,ENDLESS,ZEAL FUNCTION プラス7 Bタイプ,ZEAL FUNCTION プラス7,X COILS,調整式ピロ/調整式ピロ,ID60-203-9K/ID60-203-6K,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>スポーツ走行も重視したいユーザーにオススメ(7ミリ厚ラバー採用),,,316000,270800
スバル,インプレッサ,GDB,アプライドA/B/C/D,,Cタイプ,286200,,259617,ZS703P07C-qq-e-351k,ZS703P07C-qq-e-d-351k,ZS703P07C,ENDLESS,ZEAL FUNCTION プラス7 Cタイプ,ZEAL FUNCTION プラス7,X COILS,調整式ピロ/調整式ピロ,ID60-203-9K/ID60-203-6K,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>スポーツ走行も重視したいユーザーにオススメ(7ミリ厚ラバー採用),,,318000,272400
スバル,インプレッサ,GDB,アプライドE/F/G,,Bタイプ,284400,,259623,ZS705P07B-qq-e-357k,ZS705P07B-qq-e-d-357k,ZS705P07B,ENDLESS,ZEAL FUNCTION プラス7 Bタイプ,ZEAL FUNCTION プラス7,X COILS,調整式ピロ/調整式ピロ,ID60-203-9K/ID60-203-6K,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>スポーツ走行も重視したいユーザーにオススメ(7ミリ厚ラバー採用),,,316000,270800
スバル,インプレッサ,GDB,アプライドE/F/G,,Cタイプ,286200,,259624,ZS705P07C-qq-e-358k,ZS705P07C-qq-e-d-358k,ZS705P07C,ENDLESS,ZEAL FUNCTION プラス7 Cタイプ,ZEAL FUNCTION プラス7,X COILS,調整式ピロ/調整式ピロ,ID60-203-9K/ID60-203-6K,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>スポーツ走行も重視したいユーザーにオススメ(7ミリ厚ラバー採用),,,318000,272400
スバル,インプレッサ,GRB,アプライドA/B,,Bタイプ,250200,,259630,ZS706P07B-qq-e-364k,ZS706P07B-qq-e-d-364k,ZS706P07B,ENDLESS,ZEAL FUNCTION プラス7 Bタイプ,ZEAL FUNCTION プラス7,X COILS,調整式ピロ/アルミリジット,ID60-203-10K/ID60-203-8K,全長調整式<br>減衰20段調整<br>単筒式<br>オーバーホールOK<br>スポーツ走行も重視したいユーザーにオススメ(7ミリ厚ラバー採用),,,278000,240400
