自動車メーカー,車種,型式,適合詳細,H/S,シートタイプ,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,商品名DB,スプリングタイプ,アッパーマウント(F/R),スプリングレート(F/R),仕様,備考,注意事項,定価,SET価格
スズキ,スイフト,ZC31S,,ソフトタイプ,,211500,,259691,ZS801XPS-qq-e-425k,ZS801XPS-qq-e-d-425k,ZS801XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,,ID60-203-6K/ID60-152-4K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,フロントアッパーマウント:純正サポートを再使用(ベアリング付属)<br>リアマウント部は専用のブッシュが付属,,235000,191250
スズキ,スイフト,ZC31S,,ハードタイプ,,211500,,259692,ZS801XPH-qq-e-426k,ZS801XPH-qq-e-d-426k,ZS801XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,,ID60-203-8K/ID60-152-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,フロントアッパーマウント:純正サポートを再使用(ベアリング付属)<br>リアマウント部は専用のブッシュが付属,,235000,191250
スズキ,スイフト,ZC32S,,ソフトタイプ,,223200,,259693,ZS802XPS-qq-e-427k,ZS802XPS-qq-e-d-427k,ZS802XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,,ID60-203-5K/ID65-152-5T,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,フロントアッパーマウント:純正サポートを再使用(ベアリング付属)<br>リアマウントブッシュは純正品を再使用<br>オプションにてフロント専用ピロアッパーマウント仕様が可能(ご希望の場合はご購入前にお問い合わせください),,248000,201000
スズキ,スイフト,ZC32S,,ハードタイプ,,223200,,259694,ZS802XPH-qq-e-428k,ZS802XPH-qq-e-d-428k,ZS802XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,,ID60-203-6K/ID65-152-6T,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,フロントアッパーマウント:純正サポートを再使用(ベアリング付属)<br>リアマウントブッシュは純正品を再使用<br>オプションにてフロント専用ピロアッパーマウント仕様が可能(ご希望の場合はご購入前にお問い合わせください),,248000,201000
スバル,BRZ,ZC6,,ソフトタイプ,,223200,,259660,ZS741XPS2-qq-e-394k,ZS741XPS2-qq-e-d-394k,ZS741XPS2,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-178-8K/ID60-178-7K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,248000,201000
スバル,BRZ,ZC6,,ハードタイプ,,223200,,259661,ZS741XPH2-qq-e-395k,ZS741XPH2-qq-e-d-395k,ZS741XPH2,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID60-178-10K/ID60-178-9K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,248000,201000
スバル,WRX STI,VAB,,ソフトタイプ,,211500,,259653,ZS709XPS-qq-e-387k,ZS709XPS-qq-e-d-387k,ZS709XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID65-203-8K/ID65-203-6K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,235000,194250
スバル,WRX STI,VAB,,ハードタイプ,,211500,,259654,ZS709XPH-qq-e-388k,ZS709XPH-qq-e-d-388k,ZS709XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/アルミリジット,ID65-203-10K/ID65-203-8K,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,235000,194250
スバル,インプレッサ,GC8,,ソフトタイプ,,226800,,259611,ZS701XPS-qq-e-345k,ZS701XPS-qq-e-d-345k,ZS701XPS,ENDLESS,ZEAL FUNCTION Xプラス ソフトタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-178-6K/ID60-203-4K+FELzS70,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
スバル,インプレッサ,GC8,,ハードタイプ,,226800,,259612,ZS701XPH-qq-e-346k,ZS701XPH-qq-e-d-346k,ZS701XPH,ENDLESS,ZEAL FUNCTION Xプラス ハードタイプ,ZEAL FUNCTION Xプラス,X COILS,調整式ピロ/調整式ピロ,ID60-178-8K/ID60-203-6K+FELzS70,全長調整式<br>減衰20段調整<br>オーバーホールOK<br>単筒正立式(ストラットタイプは単筒倒立式)<br>スチールシェルケース,,,252000,207000
