自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
イスズ,ジェミニ,MJ1,H5/9～H6/5,1600,G/G・4輪ディスク,リア,11786,,287493,MX72k-EP210-qq-e-9257k,出さない,4515693830187,EP210,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,出さない
スズキ,Kei,HN11S/HN21S,H10/10～H21/10,660,,フロント,11786,,272608,MX72k-EP361-qq-e-4518k,MX72k-EP361-qq-e-d-4518k,4515693834871,EP361,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
スズキ,Kei,HN22S,H10/10～H21/10,660,NA ～620000,フロント,11786,,272611,MX72k-EP361-qq-e-4521k,MX72k-EP361-qq-e-d-4521k,4515693834871,EP361,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
スズキ,Kei,HN22S,H10/10～H21/10,660,NA 620001～643168,フロント,11786,,272612,MX72k-EP361-qq-e-4522k,MX72k-EP361-qq-e-d-4522k,4515693834871,EP361,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
スズキ,Kei,HN22S,H10/10～H21/10,660,NA 643169～,フロント,11786,,272742,MX72k-EP441-qq-e-4523k,MX72k-EP441-qq-e-d-4523k,4515693837704,EP441,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
スズキ,Kei,HN22S,H10/10～H21/10,660,ターボ 770001～,フロント,11786,,272610,MX72k-EP361-qq-e-4520k,MX72k-EP361-qq-e-d-4520k,4515693834871,EP361,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
スズキ,Kei,HN22S,H10/10～H21/10,660,ターボ No.～770000,フロント,11786,,272609,MX72k-EP361-qq-e-4519k,MX72k-EP361-qq-e-d-4519k,4515693834871,EP361,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
スズキ,Keiワークス,HN22S,H14/11～H21/10,660,,フロント,11786,,272613,MX72k-EP361-qq-e-4524k,MX72k-EP361-qq-e-d-4524k,4515693834871,EP361,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
スズキ,Keiワークス,HN22S,H14/11～H21/10,660,,リア,11786,,272560,MX72k-EP210-qq-e-9082k,MX72k-EP210-qq-e-d-9082k,4515693830187,EP210,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
スズキ,MRワゴン,MF21S,H13/12～H18/1,660,型式指定:11180(No.～140469)/11181(No.～531118)/11364(No.～354147),フロント,11786,,272606,MX72k-EP361-qq-e-4510k,MX72k-EP361-qq-e-d-4510k,4515693834871,EP361,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
スズキ,MRワゴン,MF21S,H13/12～H18/1,660,型式指定:11180(No.140470～163579)/11181(No.531119～)/11364(No.354148～409137)/12362(No.～409137)/12363(No.～163579),フロント,11786,,272607,MX72k-EP361-qq-e-4511k,MX72k-EP361-qq-e-d-4511k,4515693834871,EP361,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
スズキ,MRワゴン,MF21S,H13/12～H18/1,660,型式指定:11180(No.163580～)/11364(No.409138～)/12362(No.409138～)/12363(No.163580～),フロント,11786,,272738,MX72k-EP441-qq-e-4512k,MX72k-EP441-qq-e-d-4512k,4515693837704,EP441,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
スズキ,MRワゴン,MF22S,H18/1～H23/1,660,リアドラム,フロント,11786,,272739,MX72k-EP441-qq-e-4513k,MX72k-EP441-qq-e-d-4513k,4515693837704,EP441,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,13800
