自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,掛け,SET価格
イスズ,アスカ,CJ1,H6/3～H9/11,2000,,リア,18766,,289599,MX72P-EP312-qq-e-9309k,出さない,4515693323122,EP312,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,出さない
イスズ,ジェミニ,MJ1,H5/9～H6/5,1600,G/G・4輪ディスク,フロント,18766,,287663,MX72P-EP280-qq-e-8374k,出さない,4515693322804,EP280,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,出さない
イスズ,ジェミニ,MJ2,H5/9～H6/5,1600,ABS付,フロント,18766,,290409,MX72P-EP280-qq-e-8375k,出さない,4515693322804,EP280,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,出さない
スズキ,SX4,YA11S/YA41S/YB11S/YB41S,H18/7～H26/11,1500～2000,,リア,18766,,273090,MX72P-EP312-qq-e-9357k,MX72P-EP312-qq-e-d-9357k,4515693323122,EP312,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,エスクード/エスクードノマド,YD21S/YE21S,H27/10～,1600,,リア,18766,,273465,MX72P-EP488-qq-e-9358k,MX72P-EP488-qq-e-d-9358k,4515693324884,EP488,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,キザシ,RE91S/RF91S,H21/10～,2400,,リア,18766,,273091,MX72P-EP312-qq-e-9359k,MX72P-EP312-qq-e-d-9359k,4515693323122,EP312,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZC11S/ZC21S,H16/11～H22/9,1300～1500,,フロント,18766,,273383,MX72P-EP430-qq-e-5002k,MX72P-EP430-qq-e-d-5002k,4515693324303,EP430,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZC13S,H29/7～,1000,,フロント,18766,,273463,MX72P-EP487-qq-e-5011k,MX72P-EP487-qq-e-d-5011k,4515693324877,EP487,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZC13S,H29/7～,1000,,リア,18766,,273470,MX72P-EP488-qq-e-9366k,MX72P-EP488-qq-e-d-9366k,4515693324884,EP488,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZC43S/ZC83S/ZD83S,H29/2～,1300,4輪ディスク,フロント,18766,,273462,MX72P-EP487-qq-e-5010k,MX72P-EP487-qq-e-d-5010k,4515693324877,EP487,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZC43S/ZC83S/ZD83S,H29/2～,1300,4輪ディスク,リア,18766,,273469,MX72P-EP488-qq-e-9365k,MX72P-EP488-qq-e-d-9365k,4515693324884,EP488,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZC53S/ZD53S,H29/2～,1300,,フロント,18766,,273461,MX72P-EP487-qq-e-5009k,MX72P-EP487-qq-e-d-5009k,4515693324877,EP487,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZC53S/ZD53S,H29/2～,1300,,リア,18766,,273468,MX72P-EP488-qq-e-9364k,MX72P-EP488-qq-e-d-9364k,4515693324884,EP488,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZC71S,H19/5～H29/1,1200,リアドラム,フロント,18766,,273386,MX72P-EP430-qq-e-5005k,MX72P-EP430-qq-e-d-5005k,4515693324303,EP430,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZC72S,H22/9～H29/1,1200,リアドラム,フロント,18766,,273387,MX72P-EP430-qq-e-5006k,MX72P-EP430-qq-e-d-5006k,4515693324303,EP430,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZC72S/ZD72S,H22/9～H29/1,1200,ZC72S(4輪ディスク),フロント,18766,,273459,MX72P-EP487-qq-e-5007k,MX72P-EP487-qq-e-d-5007k,4515693324877,EP487,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZC72S/ZD72S,H22/9～H29/1,1200,ZC72S(4輪ディスク),リア,18766,,273466,MX72P-EP488-qq-e-9362k,MX72P-EP488-qq-e-d-9362k,4515693324884,EP488,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフト,ZD11S/ZD21S,H16/11～H22/9,1300～1500,,フロント,18766,,273384,MX72P-EP430-qq-e-5003k,MX72P-EP430-qq-e-d-5003k,4515693324303,EP430,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフトスポーツ,HT81S,H15/6～H17/5,1500,,リア,18766,,273332,MX72P-EP399-qq-e-9360k,MX72P-EP399-qq-e-d-9360k,4515693323993,EP399,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
スズキ,スイフトスポーツ,ZC31S,H17/11～H22/9,1600,,フロント,18766,,273385,MX72P-EP430-qq-e-5004k,MX72P-EP430-qq-e-d-5004k,4515693324303,EP430,ENDLESS,ブレーキパッド,MX72PLUS,ローター適正温度域:50～750℃<br>平均摩擦係数:0.39～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,26000,60,20500
