自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
イスズ,アスカ,BCL/BCM,H2/6～H6/3,2000,4輪ディスク,リア,14578,,285858,TYPER-EP223-qq-e-9149k,出さない,4515693342239,EP223,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
イスズ,アスカ,CJ1,H6/3～H9/11,2000,,リア,14578,,287884,TYPER-EP312-qq-e-9150k,出さない,4515693343120,EP312,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
イスズ,ジェミニ,MJ1,H5/9～H6/5,1600,G/G・4輪ディスク,フロント,14578,,282257,TYPER-EP280-qq-e-8524k,出さない,4515693342802,EP280,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
イスズ,ジェミニ,MJ1,H5/9～H6/5,1600,G/G・4輪ディスク,リア,14578,,282252,TYPER-EP210-qq-e-9151k,出さない,4515693342109,EP210,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
イスズ,ジェミニ,MJ2,H5/9～H6/5,1600,ABS付,フロント,14578,,286868,TYPER-EP280-qq-e-8525k,出さない,4515693342802,EP280,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
スズキ,Keiワークス,HN22S,H14/11～H21/10,660,,リア,14578,,280954,TYPER-EP210-qq-e-8466k,TYPER-EP210-qq-e-d-8466k,4515693342109,EP210,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,SX4,YA11S/YA41S/YB11S/YB41S,H18/7～H26/11,1500～2000,,リア,14578,,281315,TYPER-EP312-qq-e-8462k,TYPER-EP312-qq-e-d-8462k,4515693343120,EP312,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,アルト/アルトハッスル,CL11V,S63/9～H2/3,550,FF・RS-R・DOHCターボ,フロント,14578,,283372,TYPER-EP237-qq-e-8526k,出さない,4515693342376,EP237,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
スズキ,アルト/アルトハッスル,CM11V,S63/9～H2/3,550,4WD・RS-R・DOHCターボ,フロント,14578,,282445,TYPER-EP237-qq-e-8527k,出さない,4515693342376,EP237,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
スズキ,アルト/アルトハッスル,CM22S,H2/3～H6/9,660,4WD・DOHCターボ・3型・No.100001～250000,フロント,14578,,283373,TYPER-EP237-qq-e-8531k,出さない,4515693342376,EP237,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,出さない
