自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,145/146,930A5,1995～1998,,2.0 16V ツインスパーク,フロント,19763,,288844,Premium-EIP080-qq-e-2240k,出さない,,EIP080,ENDLESS,ブレーキパッド,Premium,ローター適正温度域:0～500℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,145/146,930A5/930A534,1998～,,2.0 16V ツインスパーク,フロント,19763,,285151,Premium-EIP080-qq-e-2241k,出さない,,EIP080,ENDLESS,ブレーキパッド,Premium,ローター適正温度域:0～500℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,145/146,930A5/930A534,1998～,,2.0 16V ツインスパーク,リア,19763,,282025,Premium-EIP093-qq-e-4616k,出さない,,EIP093,ENDLESS,ブレーキパッド,Premium,ローター適正温度域:0～500℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,147,937AB,2001/12～2011/03,,2.0 ツインスパーク,フロント,19763,,283239,Premium-EIP080-qq-e-2242k,出さない,,EIP080,ENDLESS,ブレーキパッド,Premium,ローター適正温度域:0～500℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,147,937AB,2001/12～2011/03,,2.0 ツインスパーク,リア,19763,,287363,Premium-EIP115-qq-e-4617k,出さない,,EIP115,ENDLESS,ブレーキパッド,Premium,ローター適正温度域:0～500℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,147,,2003/05～2011/03,,GTA(ローター径:φ304),フロント,19763,,288162,Premium-EIP112-qq-e-2244k,出さない,,EIP112,ENDLESS,ブレーキパッド,Premium,ローター適正温度域:0～500℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,147,,2003/05～2011/03,,GTA(ローター径:φ304),リア,19763,,287364,Premium-EIP115-qq-e-4619k,出さない,,EIP115,ENDLESS,ブレーキパッド,Premium,ローター適正温度域:0～500℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,147,,2004/05～2011/03,,GTA(ローター径:φ330),フロント,19763,,286265,Premium-EIP111-qq-e-2245k,出さない,,EIP111,ENDLESS,ブレーキパッド,Premium,ローター適正温度域:0～500℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,147,,2004/05～2011/03,,GTA(ローター径:φ330),リア,19763,,285162,Premium-EIP115-qq-e-4620k,出さない,,EIP115,ENDLESS,ブレーキパッド,Premium,ローター適正温度域:0～500℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,147,,2004～2011/03,,1.6 ツインスパーク,フロント,19763,,288845,Premium-EIP080-qq-e-2243k,出さない,,EIP080,ENDLESS,ブレーキパッド,Premium,ローター適正温度域:0～500℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
