自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,掛け,SET価格
イスズ,アスカ,BCK,H2/6～H6/3,1800,リアドラム,フロント,16672,,289544,SSM-EP272-qq-e-8064k,出さない,4515693022728,EP272,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
イスズ,アスカ,BCL/BCM,H2/6～H6/3,2000,4輪ディスク,フロント,16672,,286926,SSM-EP222-qq-e-8065k,出さない,4515693022223,EP222,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
イスズ,アスカ,BCL/BCM,H2/6～H6/3,2000,4輪ディスク,リア,16672,,283272,SSM-EP223-qq-e-9085k,出さない,4515693022230,EP223,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
イスズ,アスカ,CJ1,H6/3～H9/11,2000,リアドラム,フロント,16672,,287970,SSM-EP252-qq-e-8067k,出さない,4515693022520,EP252,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
イスズ,アスカ,CJ1,H6/3～H9/11,2000,,フロント,16672,,285078,SSM-EP252-qq-e-8066k,出さない,4515693022520,EP252,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
イスズ,アスカ,CJ1,H6/3～H9/11,2000,,リア,16672,,284684,SSM-EP312-qq-e-9086k,出さない,4515693023121,EP312,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
イスズ,ジェミニ,MJ1,H5/9～H6/5,1600,C/C・G/G・MT,フロント,16672,,289794,SSM-EP288-qq-e-8068k,出さない,4515693022889,EP288,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
イスズ,ジェミニ,MJ1,H5/9～H6/5,1600,G/G・4輪ディスク,フロント,16672,,287971,SSM-EP280-qq-e-8070k,出さない,4515693022803,EP280,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
イスズ,ジェミニ,MJ1,H5/9～H6/5,1600,G/G・4輪ディスク,リア,16672,,286310,SSM-EP210-qq-e-9087k,出さない,4515693022100,EP210,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
イスズ,ジェミニ,MJ1,H5/9～H6/5,1600,G/G・AT,フロント,16672,,287974,SSM-EP288-qq-e-8069k,出さない,4515693022889,EP288,ENDLESS,ブレーキパッド,SSM,超低ダストタイプ<br>ローター適正温度域:0～530℃<br>平均摩擦係数:0.30～0.40<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,23000,60,出さない
