自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
イスズ,117クーペ,PA95/PA96,S54/8～S56/5,1800～2000,リアドラム,フロント,8994,,288703,SSY-EP015-qq-e-7458k,出さない,4515693310153,EP015,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,出さない
イスズ,117クーペ,PAD96/PA96,S43/8～S56/5,1800～2000,4輪ディスク,フロント,8994,,282170,SSY-EP015-qq-e-7457k,出さない,4515693310153,EP015,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,出さない
イスズ,117クーペ,PAD96/PA96,S43/8～S56/5,1800～2000,4輪ディスク,リア,8994,,282176,SSY-EP046-qq-e-8777k,出さない,4515693310467,EP046,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,出さない
イスズ,アスカ,BCK,H2/6～H6/3,1800,リアドラム,フロント,8994,,285088,SSY-EP272-qq-e-7453k,出さない,4515693312720,EP272,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,出さない
イスズ,アスカ,BCL/BCM,H2/6～H6/3,2000,4輪ディスク,フロント,8994,,286643,SSY-EP222-qq-e-7454k,出さない,4515693312225,EP222,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,出さない
イスズ,アスカ,BCL/BCM,H2/6～H6/3,2000,4輪ディスク,リア,8994,,287997,SSY-EP223-qq-e-8775k,出さない,4515693312232,EP223,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,出さない
イスズ,アスカ,CJ1,H6/3～H9/11,2000,リアドラム,フロント,8994,,289635,SSY-EP252-qq-e-7456k,出さない,4515693312522,EP252,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,出さない
イスズ,アスカ,CJ1,H6/3～H9/11,2000,,フロント,8994,,285938,SSY-EP252-qq-e-7455k,出さない,4515693312522,EP252,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,出さない
イスズ,アスカ,CJ1,H6/3～H9/11,2000,,リア,8994,,287713,SSY-EP312-qq-e-8776k,出さない,4515693313123,EP312,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,出さない
イスズ,アスカ,JJ110/JJ120/JJ510,S58/4～H2/6,1800～2000,,フロント,8994,,286848,SSY-EP204-qq-e-7452k,出さない,4515693312041,EP204,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,出さない
