自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,掛け,SET価格
イスズ,アスカ,CJ1,H6/3～H9/11,2000,リアドラム,リア,11786,,283841,TYPENA-ES520-qq-e-1779k,出さない,4515693841954,ES520,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,16000,60,出さない
イスズ,ジェミニ,MJ1,H5/9～H6/5,1600,G/G・AT,リア,11786,,284613,TYPENA-ES520-qq-e-1780k,出さない,4515693841954,ES520,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,16000,60,出さない
イスズ,ジェミニ,MJ2,H5/9～H6/5,1600,ABS付,リア,11786,,283701,TYPENA-ES520-qq-e-1782k,出さない,4515693841954,ES520,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,16000,60,出さない
イスズ,ジェミニ,MJ2,H5/9～H6/5,1600,ABS無,リア,11786,,284448,TYPENA-ES520-qq-e-1781k,出さない,4515693841954,ES520,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,16000,60,出さない
イスズ,フィリー,JAPE50/JATE50/JAPWE50/JATWE50,H12/10～H14/5,3000～3500,,リア,15974,,284406,TYPENA-ES174-qq-e-1783k,出さない,4515693841510,ES174,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,22000,60,出さない
スズキ,Kei,HN11S/HN21S,H10/10～H21/10,660,,リア,11087,,284211,TYPENA-ES9959-qq-e-1827k,出さない,4515693842203,ES9959,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,Kei,HN22S,H10/10～H21/10,660,NA ～620000,リア,11087,,284511,TYPENA-ES9959-qq-e-1830k,出さない,4515693842203,ES9959,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,Kei,HN22S,H10/10～H21/10,660,NA 620001～643168,リア,11087,,283487,TYPENA-ES9967-qq-e-1831k,出さない,4515693842210,ES9967,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,Kei,HN22S,H10/10～H21/10,660,NA 643169～,リア,11087,,283798,TYPENA-ES9967-qq-e-1832k,出さない,4515693842210,ES9967,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,Kei,HN22S,H10/10～H21/10,660,ターボ 770001～,リア,11087,,283642,TYPENA-ES9967-qq-e-1829k,出さない,4515693842210,ES9967,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,Kei,HN22S,H10/10～H21/10,660,ターボ No.～770000,リア,11087,,283896,TYPENA-ES9959-qq-e-1828k,出さない,4515693842203,ES9959,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,MRワゴン,MF21S,H13/12～H18/1,660,型式指定:11180(No.～140469)/11181(No.～531118)/11364(No.～354147),リア,11087,,284053,TYPENA-ES9959-qq-e-1822k,出さない,4515693842203,ES9959,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,MRワゴン,MF21S,H13/12～H18/1,660,型式指定:11180(No.140470～163579)/11181(No.531119～)/11364(No.354148～409137)/12362(No.～409137)/12363(No.～163579),リア,11087,,283486,TYPENA-ES9967-qq-e-1823k,出さない,4515693842210,ES9967,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,MRワゴン,MF21S,H13/12～H18/1,660,型式指定:11180(No.163580～)/11364(No.409138～)/12362(No.409138～)/12363(No.163580～),リア,11087,,283641,TYPENA-ES9967-qq-e-1824k,出さない,4515693842210,ES9967,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,MRワゴン,MF22S,H18/1～H23/1,660,リアドラム,リア,11087,,283946,TYPENA-ES9967-qq-e-1825k,出さない,4515693842210,ES9967,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,アルト,HA24S,H18/1～H21/12,660,EII,リア,11087,,284097,TYPENA-ES9967-qq-e-1816k,出さない,4515693842210,ES9967,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,アルト/アルトハッスル,CA71V/CA72V,S59/6～S63/9,550,,リア,11087,,284202,TYPENA-ES728-qq-e-1784k,出さない,4515693842104,ES728,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,アルト/アルトハッスル,CC71V/CC72V,S59/12～S63/9,550,4WD,リア,11087,,284366,TYPENA-ES920-qq-e-1785k,出さない,4515693842173,ES920,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,アルト/アルトハッスル,CL11V,S63/9～H2/3,550,FF・RS-R・DOHCターボ,リア,11087,,284205,TYPENA-ES931-qq-e-1788k,出さない,4515693842197,ES931,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,アルト/アルトハッスル,CL11V/CN11S,S63/9～H2/3,550,FF,リア,11087,,284050,TYPENA-ES931-qq-e-1786k,出さない,4515693842197,ES931,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,アルト/アルトハッスル,CL21V/CN21S,H2/3～H6/9,660,FF,リア,11087,,283760,TYPENA-ES931-qq-e-1790k,出さない,4515693842197,ES931,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
スズキ,アルト/アルトハッスル,CL22V,H2/3～H6/9,660,FF・NA,リア,11087,,283588,TYPENA-ES931-qq-e-1795k,出さない,4515693842197,ES931,ENDLESS,ブレーキシュー,TYPE-NA,材質:ノンアスベスト,,,15000,60,出さない
